block_duration,coded_response,experiment_exp_id,item_coding,item_text,key_press,options,possible_responses,response,rt,stim_duration,survey,text,time_elapsed,timing_post_trial,trial_id,trial_type,worker_id
13316.0,,survey_medley,,,32,,32,,13316,13316.0,,,-41428,0.0,instruction,poldrack-single-stim,s445
9204.0,1.0,survey_medley,reverse,Pleasure and fun sometimes keep me from getting work done.,77,"<span style=""font-weight: normal; font-size: 30px"">Not at all</span>,1,2,3,4,5,<span style=""font-weight: normal; font-size: 30px"">Very much</span>","66,89,71,82,77",5.0,3811,8500.0,brief,,10210,0.0,,poldrack-single-stim,s445
9204.0,3.0,survey_medley,forward,"Sometimes when I feel bad, I can't seem to stop what I am doing even though it is making me feel worse.",71,"<span style=""font-size: 30px"">Disagree Strongly</span>,<span style=""font-size: 30px"">Disagree Some</span>,<span style=""font-size: 30px"">Agree Some</span>,<span style=""font-size: 30px"">Agree Strongly</span>","66,89,71,82",3.0,5173,8500.0,upps,,19416,0.0,,poldrack-single-stim,s445
9272.0,4.0,survey_medley,forward,I am good at resisting temptation.,82,"<span style=""font-weight: normal; font-size: 30px"">Not at all</span>,1,2,3,4,5,<span style=""font-weight: normal; font-size: 30px"">Very much</span>","66,89,71,82,77",4.0,3448,8500.0,brief,,28691,0.0,,poldrack-single-stim,s445
9204.0,4.0,survey_medley,reverse,New ideas and projects sometimes distract me from previous ones.,89,"<span style=""font-weight: normal; font-size: 30px"">Not at all like me</span>,1,2,3,4,5,<span style=""font-weight: normal; font-size: 30px"">Very much like me</span>","66,89,71,82,77",2.0,4249,8500.0,grit,,37896,0.0,,poldrack-single-stim,s445
9408.0,1.0,survey_medley,forward,There are only limited possibilities in my future.,66,"<span style=""font-weight: normal; font-size: 30px"">Very Untrue</span>,1,2,3,4,5,<span style=""font-weight: normal; font-size: 30px"">Very True</span>","66,89,71,82,77",1.0,2716,8500.0,future_time,,47307,0.0,,poldrack-single-stim,s445
9136.0,4.0,survey_medley,forward,I refuse things that are bad for me.,82,"<span style=""font-weight: normal; font-size: 30px"">Not at all</span>,1,2,3,4,5,<span style=""font-weight: normal; font-size: 30px"">Very much</span>","66,89,71,82,77",4.0,4418,8500.0,brief,,56445,0.0,,poldrack-single-stim,s445
9272.0,2.0,survey_medley,reverse,I have difficulty maintaining my focus on projects that take more than a few months to complete.,82,"<span style=""font-weight: normal; font-size: 30px"">Not at all like me</span>,1,2,3,4,5,<span style=""font-weight: normal; font-size: 30px"">Very much like me</span>","66,89,71,82,77",4.0,5930,8500.0,grit,,65719,0.0,,poldrack-single-stim,s445
9340.0,4.0,survey_medley,forward,I could do anything I want in the future.,82,"<span style=""font-weight: normal; font-size: 30px"">Very Untrue</span>,1,2,3,4,5,<span style=""font-weight: normal; font-size: 30px"">Very True</span>","66,89,71,82,77",4.0,2678,8500.0,future_time,,75062,0.0,,poldrack-single-stim,s445
9136.0,3.0,survey_medley,forward,People would say that I have iron self-discipline.,71,"<span style=""font-weight: normal; font-size: 30px"">Not at all</span>,1,2,3,4,5,<span style=""font-weight: normal; font-size: 30px"">Very much</span>","66,89,71,82,77",3.0,2425,8500.0,brief,,84199,0.0,,poldrack-single-stim,s445
9340.0,4.0,survey_medley,forward,I tend to act without thinking when I am really excited.,82,"<span style=""font-size: 30px"">Disagree Strongly</span>,<span style=""font-size: 30px"">Disagree Some</span>,<span style=""font-size: 30px"">Agree Some</span>,<span style=""font-size: 30px"">Agree Strongly</span>","66,89,71,82",4.0,5712,8500.0,upps,,93541,0.0,,poldrack-single-stim,s445
9068.0,4.0,survey_medley,forward,I finish whatever I begin.,82,"<span style=""font-weight: normal; font-size: 30px"">Not at all like me</span>,1,2,3,4,5,<span style=""font-weight: normal; font-size: 30px"">Very much like me</span>","66,89,71,82,77",4.0,5546,8500.0,grit,,102611,0.0,,poldrack-single-stim,s445
9000.0,3.0,survey_medley,reverse,I often set a goal but later choose to pursue a different one.,71,"<span style=""font-weight: normal; font-size: 30px"">Not at all like me</span>,1,2,3,4,5,<span style=""font-weight: normal; font-size: 30px"">Very much like me</span>","66,89,71,82,77",3.0,2851,8500.0,grit,,111613,0.0,,poldrack-single-stim,s445
9204.0,2.0,survey_medley,forward,"As I get older, I begin to experience time as limited.",89,"<span style=""font-weight: normal; font-size: 30px"">Very Untrue</span>,1,2,3,4,5,<span style=""font-weight: normal; font-size: 30px"">Very True</span>","66,89,71,82,77",2.0,3249,8500.0,future_time,,120819,0.0,,poldrack-single-stim,s445
10020.0,4.0,survey_medley,forward,My future is filled with possibilities.,82,"<span style=""font-weight: normal; font-size: 30px"">Very Untrue</span>,1,2,3,4,5,<span style=""font-weight: normal; font-size: 30px"">Very True</span>","66,89,71,82,77",4.0,2908,8500.0,future_time,,130841,0.0,,poldrack-single-stim,s445
9000.0,4.0,survey_medley,forward,My future seems infinite to me.,82,"<span style=""font-weight: normal; font-size: 30px"">Very Untrue</span>,1,2,3,4,5,<span style=""font-weight: normal; font-size: 30px"">Very True</span>","66,89,71,82,77",4.0,4011,8500.0,future_time,,139842,0.0,,poldrack-single-stim,s445
