,choice,exp_stage,experiment_exp_id,key_press,large_amount,later_delay,possible_responses,rt,small_amount,text,time_elapsed,trial_id,trial_type,worker_id
4,,practice,discount_fixed,71,,,"89,71",1194,,,-42340,stim,poldrack-single-stim,s445
24,smaller_sooner,,discount_fixed,71,31.0,76.0,"89,71",1299,20.0,,8324,,poldrack-single-stim,s445
25,larger_later,,discount_fixed,89,43.0,19.0,"89,71",1700,20.0,,12894,,poldrack-single-stim,s445
26,smaller_sooner,,discount_fixed,71,60.0,124.0,"89,71",1471,20.0,,17531,,poldrack-single-stim,s445
27,larger_later,,discount_fixed,89,27.0,142.0,"89,71",1667,20.0,,22440,,poldrack-single-stim,s445
28,smaller_sooner,,discount_fixed,71,25.0,70.0,"89,71",1726,20.0,,26943,,poldrack-single-stim,s445
29,smaller_sooner,,discount_fixed,71,44.0,92.0,"89,71",1254,20.0,,31921,,poldrack-single-stim,s445
30,smaller_sooner,,discount_fixed,71,41.0,27.0,"89,71",2543,20.0,,36831,,poldrack-single-stim,s445
31,smaller_sooner,,discount_fixed,71,64.0,89.0,"89,71",1668,20.0,,41401,,poldrack-single-stim,s445
32,smaller_sooner,,discount_fixed,71,78.0,108.0,"89,71",2036,20.0,,45903,,poldrack-single-stim,s445
33,smaller_sooner,,discount_fixed,71,80.0,145.0,"89,71",1305,20.0,,52104,,poldrack-single-stim,s445
34,smaller_sooner,,discount_fixed,71,41.0,174.0,"89,71",1322,20.0,,56810,,poldrack-single-stim,s445
35,smaller_sooner,,discount_fixed,71,42.0,145.0,"89,71",1633,20.0,,61856,,poldrack-single-stim,s445
36,smaller_sooner,,discount_fixed,71,36.0,114.0,"89,71",1240,20.0,,66901,,poldrack-single-stim,s445
37,smaller_sooner,,discount_fixed,71,58.0,55.0,"89,71",1837,20.0,,72082,,poldrack-single-stim,s445
38,larger_later,,discount_fixed,89,81.0,58.0,"89,71",1945,20.0,,77061,,poldrack-single-stim,s445
39,smaller_sooner,,discount_fixed,71,32.0,111.0,"89,71",1359,20.0,,81835,,poldrack-single-stim,s445
40,smaller_sooner,,discount_fixed,71,25.0,141.0,"89,71",1295,20.0,,86608,,poldrack-single-stim,s445
41,larger_later,,discount_fixed,89,67.0,23.0,"89,71",1724,20.0,,91790,,poldrack-single-stim,s445
42,smaller_sooner,,discount_fixed,71,77.0,161.0,"89,71",1023,20.0,,96971,,poldrack-single-stim,s445
43,smaller_sooner,,discount_fixed,71,55.0,163.0,"89,71",949,20.0,,102221,,poldrack-single-stim,s445
44,smaller_sooner,,discount_fixed,71,40.0,159.0,"89,71",943,20.0,,106792,,poldrack-single-stim,s445
45,smaller_sooner,,discount_fixed,71,76.0,161.0,"89,71",1381,20.0,,111294,,poldrack-single-stim,s445
46,smaller_sooner,,discount_fixed,71,48.0,128.0,"89,71",1291,20.0,,116203,,poldrack-single-stim,s445
47,smaller_sooner,,discount_fixed,71,39.0,95.0,"89,71",1332,20.0,,120774,,poldrack-single-stim,s445
48,smaller_sooner,,discount_fixed,71,83.0,105.0,"89,71",1698,20.0,,126976,,poldrack-single-stim,s445
49,smaller_sooner,,discount_fixed,71,67.0,41.0,"89,71",1770,20.0,,131887,,poldrack-single-stim,s445
50,smaller_sooner,,discount_fixed,71,56.0,172.0,"89,71",1094,20.0,,137137,,poldrack-single-stim,s445
51,smaller_sooner,,discount_fixed,71,28.0,123.0,"89,71",1418,20.0,,142184,,poldrack-single-stim,s445
52,smaller_sooner,,discount_fixed,71,50.0,129.0,"89,71",1087,20.0,,146822,,poldrack-single-stim,s445
