,condition,correct,current_position,exp_stage,experiment_exp_id,goal_state,key_press,min_moves,num_moves_made,possible_responses,problem_id,problem_time,rt,start_state,text,time_elapsed,trial_id,trial_type,worker_id
4,,,,,ward_and_allport,,32,,,32,,,4725,,,-38237,instruction,poldrack-single-stim,s445
23,,,,,ward_and_allport,,-1,,,none,,,-1,,,2504,practice_start_block,poldrack-single-stim,s445
24,UA_with_intermeidate,,"1,0,0,2,0,0,0,0,0",practice,ward_and_allport,"1,2,3,0,0,0,0,0,0",71,3.0,1.0,"89,71",0.0,,4715,"1,0,0,2,3,0,0,0,0",,7722,to_hand,poldrack-single-stim,s445
25,UA_with_intermeidate,,"1,0,0,2,0,0,3,0,0",practice,ward_and_allport,"1,2,3,0,0,0,0,0,0",82,3.0,1.0,"89,71,82",0.0,,1642,"1,0,0,2,3,0,0,0,0",,9364,to_board,poldrack-single-stim,s445
26,UA_with_intermeidate,,"1,0,0,0,0,0,3,0,0",practice,ward_and_allport,"1,2,3,0,0,0,0,0,0",71,3.0,2.0,"89,71,82",0.0,,817,"1,0,0,2,3,0,0,0,0",,10184,to_hand,poldrack-single-stim,s445
27,UA_with_intermeidate,,"1,2,0,0,0,0,3,0,0",practice,ward_and_allport,"1,2,3,0,0,0,0,0,0",89,3.0,2.0,"89,71,82",0.0,,310,"1,0,0,2,3,0,0,0,0",,10495,to_board,poldrack-single-stim,s445
28,UA_with_intermeidate,,"1,2,0,0,0,0,0,0,0",practice,ward_and_allport,"1,2,3,0,0,0,0,0,0",82,3.0,3.0,"89,82",0.0,,1161,"1,0,0,2,3,0,0,0,0",,11658,to_hand,poldrack-single-stim,s445
29,UA_with_intermeidate,,"1,2,3,0,0,0,0,0,0",practice,ward_and_allport,"1,2,3,0,0,0,0,0,0",89,3.0,3.0,"89,71,82",0.0,,324,"1,0,0,2,3,0,0,0,0",,11983,to_board,poldrack-single-stim,s445
30,,True,,practice,ward_and_allport,,-1,3.0,3.0,none,,11983.0,-1,,,14486,feedback,poldrack-single-stim,s445
31,UA_with_intermeidate,,"1,0,0,3,0,0,0,0,0",practice,ward_and_allport,"1,3,2,0,0,0,0,0,0",89,3.0,1.0,"89,71",1.0,,2332,"1,2,0,3,0,0,0,0,0",,16821,to_hand,poldrack-single-stim,s445
32,UA_with_intermeidate,,"1,0,0,3,0,0,2,0,0",practice,ward_and_allport,"1,3,2,0,0,0,0,0,0",82,3.0,1.0,"89,71,82",1.0,,1163,"1,2,0,3,0,0,0,0,0",,17985,to_board,poldrack-single-stim,s445
33,UA_with_intermeidate,,"1,0,0,0,0,0,2,0,0",practice,ward_and_allport,"1,3,2,0,0,0,0,0,0",71,3.0,2.0,"89,71,82",1.0,,464,"1,2,0,3,0,0,0,0,0",,18451,to_hand,poldrack-single-stim,s445
34,UA_with_intermeidate,,"1,3,0,0,0,0,2,0,0",practice,ward_and_allport,"1,3,2,0,0,0,0,0,0",89,3.0,2.0,"89,71,82",1.0,,381,"1,2,0,3,0,0,0,0,0",,18833,to_board,poldrack-single-stim,s445
35,UA_with_intermeidate,,"1,3,0,0,0,0,0,0,0",practice,ward_and_allport,"1,3,2,0,0,0,0,0,0",82,3.0,3.0,"89,82",1.0,,832,"1,2,0,3,0,0,0,0,0",,19666,to_hand,poldrack-single-stim,s445
36,UA_with_intermeidate,,"1,3,2,0,0,0,0,0,0",practice,ward_and_allport,"1,3,2,0,0,0,0,0,0",89,3.0,3.0,"89,71,82",1.0,,221,"1,2,0,3,0,0,0,0,0",,19888,to_board,poldrack-single-stim,s445
37,,True,,practice,ward_and_allport,,-1,3.0,3.0,none,,7504.0,-1,,,21991,feedback,poldrack-single-stim,s445
38,UA_without_intermeidate,,"0,0,0,1,2,0,0,0,0",practice,ward_and_allport,"3,2,1,0,0,0,0,0,0",82,3.0,1.0,"71,82",2.0,,2058,"0,0,0,1,2,0,3,0,0",,24051,to_hand,poldrack-single-stim,s445
39,UA_without_intermeidate,,"3,0,0,1,2,0,0,0,0",practice,ward_and_allport,"3,2,1,0,0,0,0,0,0",89,3.0,1.0,"89,71,82",2.0,,326,"0,0,0,1,2,0,3,0,0",,24377,to_board,poldrack-single-stim,s445
40,UA_without_intermeidate,,"3,0,0,1,0,0,0,0,0",practice,ward_and_allport,"3,2,1,0,0,0,0,0,0",71,3.0,2.0,"89,71",2.0,,1438,"0,0,0,1,2,0,3,0,0",,25817,to_hand,poldrack-single-stim,s445
41,UA_without_intermeidate,,"3,2,0,1,0,0,0,0,0",practice,ward_and_allport,"3,2,1,0,0,0,0,0,0",89,3.0,2.0,"89,71,82",2.0,,289,"0,0,0,1,2,0,3,0,0",,26107,to_board,poldrack-single-stim,s445
42,UA_without_intermeidate,,"3,2,0,0,0,0,0,0,0",practice,ward_and_allport,"3,2,1,0,0,0,0,0,0",71,3.0,3.0,"89,71",2.0,,488,"0,0,0,1,2,0,3,0,0",,26597,to_hand,poldrack-single-stim,s445
43,UA_without_intermeidate,,"3,2,1,0,0,0,0,0,0",practice,ward_and_allport,"3,2,1,0,0,0,0,0,0",89,3.0,3.0,"89,71,82",2.0,,232,"0,0,0,1,2,0,3,0,0",,26830,to_board,poldrack-single-stim,s445
44,,True,,practice,ward_and_allport,,-1,3.0,3.0,none,,7042.0,-1,,,29033,feedback,poldrack-single-stim,s445
45,UA_without_intermeidate,,"0,0,0,1,0,0,3,0,0",practice,ward_and_allport,"2,3,1,0,0,0,0,0,0",71,3.0,1.0,"71,82",3.0,,1886,"0,0,0,1,2,0,3,0,0",,30920,to_hand,poldrack-single-stim,s445
46,UA_without_intermeidate,,"2,0,0,1,0,0,3,0,0",practice,ward_and_allport,"2,3,1,0,0,0,0,0,0",89,3.0,1.0,"89,71,82",3.0,,341,"0,0,0,1,2,0,3,0,0",,31262,to_board,poldrack-single-stim,s445
47,UA_without_intermeidate,,"2,0,0,1,0,0,0,0,0",practice,ward_and_allport,"2,3,1,0,0,0,0,0,0",82,3.0,2.0,"89,71,82",3.0,,965,"0,0,0,1,2,0,3,0,0",,32229,to_hand,poldrack-single-stim,s445
48,UA_without_intermeidate,,"2,3,0,1,0,0,0,0,0",practice,ward_and_allport,"2,3,1,0,0,0,0,0,0",89,3.0,2.0,"89,71,82",3.0,,281,"0,0,0,1,2,0,3,0,0",,32511,to_board,poldrack-single-stim,s445
49,UA_without_intermeidate,,"2,3,0,0,0,0,0,0,0",practice,ward_and_allport,"2,3,1,0,0,0,0,0,0",71,3.0,3.0,"89,71",3.0,,526,"0,0,0,1,2,0,3,0,0",,33038,to_hand,poldrack-single-stim,s445
