block_duration,condition,correct,current_position,exp_stage,experiment_exp_id,goal_state,key_press,min_moves,num_moves_made,possible_responses,problem_id,problem_time,rt,start_state,stim_duration,text,time_elapsed,timing_post_trial,trial_id,trial_type,worker_id
3293.0,UA_with_intermeidate,,"0,0,0,2,3,0,0,0,0",practice,ward_and_allport,"1,2,3,0,0,0,0,0,0",89,3.0,1.0,"89,71",0.0,,3293,"1,0,0,2,3,0,0,0,0",3293.0,,6303,0.0,to_hand,poldrack-single-stim,s471
1162.0,UA_with_intermeidate,,"1,0,0,2,3,0,0,0,0",practice,ward_and_allport,"1,2,3,0,0,0,0,0,0",89,3.0,1.0,"89,71,82",0.0,,1162,"1,0,0,2,3,0,0,0,0",1162.0,,7467,0.0,to_board,poldrack-single-stim,s471
461.0,UA_with_intermeidate,,"1,0,0,2,0,0,0,0,0",practice,ward_and_allport,"1,2,3,0,0,0,0,0,0",71,3.0,2.0,"89,71",0.0,,461,"1,0,0,2,3,0,0,0,0",461.0,,7932,0.0,to_hand,poldrack-single-stim,s471
303.0,UA_with_intermeidate,,"1,3,0,2,0,0,0,0,0",practice,ward_and_allport,"1,2,3,0,0,0,0,0,0",89,3.0,2.0,"89,71,82",0.0,,303,"1,0,0,2,3,0,0,0,0",303.0,,8236,0.0,to_board,poldrack-single-stim,s471
1184.0,UA_with_intermeidate,,"1,3,0,0,0,0,0,0,0",practice,ward_and_allport,"1,2,3,0,0,0,0,0,0",71,3.0,3.0,"89,71",0.0,,1184,"1,0,0,2,3,0,0,0,0",1184.0,,9422,0.0,to_hand,poldrack-single-stim,s471
333.0,UA_with_intermeidate,,"1,3,2,0,0,0,0,0,0",practice,ward_and_allport,"1,2,3,0,0,0,0,0,0",89,3.0,3.0,"89,71,82",0.0,,333,"1,0,0,2,3,0,0,0,0",333.0,,9757,0.0,to_board,poldrack-single-stim,s471
2590.0,UA_with_intermeidate,,"1,3,0,0,0,0,0,0,0",practice,ward_and_allport,"1,2,3,0,0,0,0,0,0",89,3.0,4.0,89,0.0,,2590,"1,0,0,2,3,0,0,0,0",2590.0,,12350,0.0,to_hand,poldrack-single-stim,s471
327.0,UA_with_intermeidate,,"1,3,0,2,0,0,0,0,0",practice,ward_and_allport,"1,2,3,0,0,0,0,0,0",71,3.0,4.0,"89,71,82",0.0,,327,"1,0,0,2,3,0,0,0,0",327.0,,12679,0.0,to_board,poldrack-single-stim,s471
1955.0,UA_with_intermeidate,,"1,0,0,2,0,0,0,0,0",practice,ward_and_allport,"1,2,3,0,0,0,0,0,0",89,3.0,5.0,"89,71",0.0,,1955,"1,0,0,2,3,0,0,0,0",1955.0,,14637,0.0,to_hand,poldrack-single-stim,s471
722.0,UA_with_intermeidate,,"1,0,0,2,0,0,3,0,0",practice,ward_and_allport,"1,2,3,0,0,0,0,0,0",82,3.0,5.0,"89,71,82",0.0,,722,"1,0,0,2,3,0,0,0,0",722.0,,15361,0.0,to_board,poldrack-single-stim,s471
