,CTI,correct,correct_response,cue,cue_switch,exp_stage,experiment_exp_id,key_press,possible_responses,rt,stim_color,stim_number,task,task_switch,text,time_elapsed,trial_id,trial_num,trial_type,worker_id
8,100.0,True,89.0,Color,stay,practice,twobytwo,89.0,"89,71",1178.0,#1F45FC,1.0,color,stay,,-197006,stim,0.0,poldrack-categorize,s471
13,100.0,True,89.0,Magnitude,,practice,twobytwo,89.0,"89,71",746.0,#1F45FC,2.0,magnitude,switch,,-193392,stim,1.0,poldrack-categorize,s471
18,900.0,True,89.0,Magnitude,stay,practice,twobytwo,89.0,"89,71",454.0,orange,2.0,magnitude,stay,,-188977,stim,2.0,poldrack-categorize,s471
23,900.0,True,71.0,Color,,practice,twobytwo,71.0,"89,71",424.0,orange,2.0,color,switch,,-184562,stim,3.0,poldrack-categorize,s471
28,100.0,True,71.0,High-Low,,practice,twobytwo,71.0,"89,71",776.0,orange,7.0,magnitude,switch,,-180948,stim,4.0,poldrack-categorize,s471
33,900.0,True,89.0,High-Low,stay,practice,twobytwo,89.0,"89,71",430.0,orange,2.0,magnitude,stay,,-176535,stim,5.0,poldrack-categorize,s471
38,100.0,True,89.0,High-Low,stay,practice,twobytwo,89.0,"89,71",1088.0,#1F45FC,3.0,magnitude,stay,,-172922,stim,6.0,poldrack-categorize,s471
43,900.0,True,89.0,Magnitude,switch,practice,twobytwo,89.0,"89,71",637.0,#1F45FC,4.0,magnitude,stay,,-168509,stim,7.0,poldrack-categorize,s471
48,900.0,True,71.0,Orange-Blue,,practice,twobytwo,71.0,"89,71",405.0,orange,7.0,color,switch,,-164094,stim,8.0,poldrack-categorize,s471
53,100.0,False,71.0,Color,switch,practice,twobytwo,89.0,"89,71",1015.0,orange,8.0,color,stay,,-160481,stim,9.0,poldrack-categorize,s471
58,100.0,True,71.0,Magnitude,,practice,twobytwo,71.0,"89,71",812.0,#1F45FC,6.0,magnitude,switch,,-156866,stim,10.0,poldrack-categorize,s471
63,900.0,True,71.0,High-Low,switch,practice,twobytwo,71.0,"89,71",515.0,orange,8.0,magnitude,stay,,-152453,stim,11.0,poldrack-categorize,s471
68,900.0,True,71.0,Orange-Blue,,practice,twobytwo,71.0,"89,71",429.0,orange,9.0,color,switch,,-148040,stim,12.0,poldrack-categorize,s471
73,900.0,True,71.0,High-Low,,practice,twobytwo,71.0,"89,71",561.0,orange,6.0,magnitude,switch,,-143625,stim,13.0,poldrack-categorize,s471
78,100.0,False,71.0,Color,,practice,twobytwo,89.0,"89,71",620.0,orange,1.0,color,switch,,-140012,stim,14.0,poldrack-categorize,s471
83,100.0,True,89.0,Orange-Blue,switch,practice,twobytwo,89.0,"89,71",1294.0,#1F45FC,9.0,color,stay,,-136398,stim,15.0,poldrack-categorize,s471
107,900.0,True,89.0,High-Low,stay,test,twobytwo,89.0,"89,71",502.0,#1F45FC,1.0,magnitude,stay,,6688,stim,0.0,poldrack-single-stim,s471
