,block_duration,correct,correct_response,cue,exp_stage,experiment_exp_id,feedback_duration,flanker_location,flanker_middle_direction,flanker_type,key_press,possible_responses,rt,stim_duration,text,time_elapsed,trial_id,trial_num,trial_type,worker_id
6,1700.0,1.0,89.0,spatial,practice,attention_network_task,1000.0,up,left,congruent,89,"89,71",673,1700.0,,-79617,stim,,poldrack-categorize,s471
9,1700.0,1.0,71.0,double,practice,attention_network_task,1000.0,down,right,congruent,71,"89,71",474,1700.0,,-75903,stim,,poldrack-categorize,s471
12,1700.0,1.0,89.0,double,practice,attention_network_task,1000.0,down,left,incongruent,89,"89,71",690,1700.0,,-72193,stim,,poldrack-categorize,s471
15,1700.0,1.0,71.0,spatial,practice,attention_network_task,1000.0,down,right,congruent,71,"89,71",633,1700.0,,-68483,stim,,poldrack-categorize,s471
18,1700.0,1.0,71.0,spatial,practice,attention_network_task,1000.0,up,right,incongruent,71,"89,71",681,1700.0,,-64772,stim,,poldrack-categorize,s471
21,1700.0,1.0,89.0,double,practice,attention_network_task,1000.0,up,left,incongruent,89,"89,71",738,1700.0,,-61062,stim,,poldrack-categorize,s471
24,1700.0,1.0,89.0,double,practice,attention_network_task,1000.0,up,left,congruent,89,"89,71",547,1700.0,,-57351,stim,,poldrack-categorize,s471
27,1700.0,1.0,71.0,spatial,practice,attention_network_task,1000.0,down,right,incongruent,71,"89,71",577,1700.0,,-53640,stim,,poldrack-categorize,s471
30,1700.0,1.0,71.0,spatial,practice,attention_network_task,1000.0,up,right,congruent,71,"89,71",440,1700.0,,-49930,stim,,poldrack-categorize,s471
33,1700.0,1.0,71.0,double,practice,attention_network_task,1000.0,up,right,congruent,71,"89,71",431,1700.0,,-46219,stim,,poldrack-categorize,s471
36,1700.0,1.0,89.0,spatial,practice,attention_network_task,1000.0,up,left,incongruent,89,"89,71",561,1700.0,,-42509,stim,,poldrack-categorize,s471
39,1700.0,1.0,71.0,double,practice,attention_network_task,1000.0,up,right,incongruent,71,"89,71",517,1700.0,,-38798,stim,,poldrack-categorize,s471
61,2100.136,1.0,71.0,double,test,attention_network_task,,up,right,congruent,71,"89,71",454,1700.0,,5616,stim,0.0,poldrack-single-stim,s471
64,2100.0,1.0,71.0,double,test,attention_network_task,,up,right,incongruent,71,"89,71",596,1700.0,,8224,stim,1.0,poldrack-single-stim,s471
67,2100.0,1.0,89.0,spatial,test,attention_network_task,,down,left,congruent,89,"89,71",579,1700.0,,10833,stim,2.0,poldrack-single-stim,s471
70,2100.408,1.0,89.0,double,test,attention_network_task,,up,left,congruent,89,"89,71",499,1700.0,,13442,stim,3.0,poldrack-single-stim,s471
73,2100.544,1.0,89.0,double,test,attention_network_task,,down,left,congruent,89,"89,71",550,1700.0,,16051,stim,4.0,poldrack-single-stim,s471
76,2100.408,1.0,89.0,spatial,test,attention_network_task,,up,left,incongruent,89,"89,71",482,1700.0,,18660,stim,5.0,poldrack-single-stim,s471
79,2100.0,1.0,71.0,spatial,test,attention_network_task,,up,right,congruent,71,"89,71",620,1700.0,,21270,stim,6.0,poldrack-single-stim,s471
82,2100.408,1.0,71.0,double,test,attention_network_task,,up,right,congruent,71,"89,71",622,1700.0,,23880,stim,7.0,poldrack-single-stim,s471
85,2100.0,1.0,71.0,spatial,test,attention_network_task,,down,right,congruent,71,"89,71",640,1700.0,,26487,stim,8.0,poldrack-single-stim,s471
88,2100.408,1.0,89.0,spatial,test,attention_network_task,,down,left,congruent,89,"89,71",596,1700.0,,29098,stim,9.0,poldrack-single-stim,s471
91,2100.0,1.0,89.0,spatial,test,attention_network_task,,down,left,incongruent,89,"89,71",466,1700.0,,31708,stim,10.0,poldrack-single-stim,s471
94,2100.0,1.0,71.0,spatial,test,attention_network_task,,down,right,incongruent,71,"89,71",474,1700.0,,34317,stim,11.0,poldrack-single-stim,s471
97,2100.408,1.0,71.0,spatial,test,attention_network_task,,up,right,incongruent,71,"89,71",742,1700.0,,36926,stim,12.0,poldrack-single-stim,s471
100,2100.136,1.0,89.0,spatial,test,attention_network_task,,up,left,incongruent,89,"89,71",793,1700.0,,39534,stim,13.0,poldrack-single-stim,s471
103,2100.272,1.0,89.0,double,test,attention_network_task,,up,left,incongruent,89,"89,71",555,1700.0,,42143,stim,14.0,poldrack-single-stim,s471
106,2100.544,1.0,89.0,double,test,attention_network_task,,up,left,incongruent,89,"89,71",590,1700.0,,44752,stim,15.0,poldrack-single-stim,s471
109,2100.272,1.0,89.0,spatial,test,attention_network_task,,up,left,incongruent,89,"89,71",473,1700.0,,47361,stim,16.0,poldrack-single-stim,s471
112,2100.0,1.0,89.0,spatial,test,attention_network_task,,down,left,incongruent,89,"89,71",666,1700.0,,49970,stim,17.0,poldrack-single-stim,s471
115,2100.408,1.0,71.0,spatial,test,attention_network_task,,up,right,incongruent,71,"89,71",500,1700.0,,52580,stim,18.0,poldrack-single-stim,s471
118,2100.0,1.0,71.0,spatial,test,attention_network_task,,up,right,congruent,71,"89,71",458,1700.0,,55190,stim,19.0,poldrack-single-stim,s471
121,2100.0,1.0,89.0,double,test,attention_network_task,,down,left,congruent,89,"89,71",530,1700.0,,57798,stim,20.0,poldrack-single-stim,s471
124,2100.544,1.0,89.0,double,test,attention_network_task,,down,left,incongruent,89,"89,71",684,1700.0,,60407,stim,21.0,poldrack-single-stim,s471
127,2100.408,1.0,71.0,spatial,test,attention_network_task,,up,right,congruent,71,"89,71",499,1700.0,,63016,stim,22.0,poldrack-single-stim,s471
130,2100.0,1.0,89.0,spatial,test,attention_network_task,,down,left,congruent,89,"89,71",491,1700.0,,65625,stim,23.0,poldrack-single-stim,s471
133,2100.136,1.0,89.0,spatial,test,attention_network_task,,down,left,congruent,89,"89,71",484,1700.0,,68237,stim,24.0,poldrack-single-stim,s471
136,2100.8160000000003,1.0,71.0,spatial,test,attention_network_task,,down,right,incongruent,71,"89,71",491,1700.0,,70846,stim,25.0,poldrack-single-stim,s471
139,2100.136,1.0,89.0,double,test,attention_network_task,,up,left,congruent,89,"89,71",495,1700.0,,73454,stim,26.0,poldrack-single-stim,s471
142,2100.0,1.0,71.0,spatial,test,attention_network_task,,down,right,congruent,71,"89,71",315,1700.0,,76063,stim,27.0,poldrack-single-stim,s471
145,2100.136,1.0,89.0,double,test,attention_network_task,,up,left,incongruent,89,"89,71",499,1700.0,,78672,stim,28.0,poldrack-single-stim,s471
148,2100.136,1.0,89.0,spatial,test,attention_network_task,,down,left,incongruent,89,"89,71",587,1700.0,,81281,stim,29.0,poldrack-single-stim,s471
151,2100.136,1.0,89.0,double,test,attention_network_task,,up,left,incongruent,89,"89,71",537,1700.0,,83890,stim,30.0,poldrack-single-stim,s471
154,2100.544,1.0,71.0,spatial,test,attention_network_task,,up,right,congruent,71,"89,71",617,1700.0,,86499,stim,31.0,poldrack-single-stim,s471
157,2100.0,1.0,89.0,spatial,test,attention_network_task,,up,left,congruent,89,"89,71",631,1700.0,,89108,stim,32.0,poldrack-single-stim,s471
160,2100.272,1.0,71.0,double,test,attention_network_task,,up,right,incongruent,71,"89,71",673,1700.0,,91717,stim,33.0,poldrack-single-stim,s471
163,2100.0,1.0,89.0,spatial,test,attention_network_task,,up,left,congruent,89,"89,71",463,1700.0,,94325,stim,34.0,poldrack-single-stim,s471
166,2100.136,1.0,71.0,spatial,test,attention_network_task,,down,right,congruent,71,"89,71",561,1700.0,,96933,stim,35.0,poldrack-single-stim,s471
169,2100.408,1.0,89.0,double,test,attention_network_task,,down,left,incongruent,89,"89,71",597,1700.0,,99543,stim,36.0,poldrack-single-stim,s471
172,2100.544,1.0,71.0,double,test,attention_network_task,,up,right,congruent,71,"89,71",482,1700.0,,102153,stim,37.0,poldrack-single-stim,s471
175,2100.0,1.0,71.0,double,test,attention_network_task,,down,right,incongruent,71,"89,71",682,1700.0,,104763,stim,38.0,poldrack-single-stim,s471
178,2100.136,1.0,89.0,spatial,test,attention_network_task,,down,left,incongruent,89,"89,71",532,1700.0,,107373,stim,39.0,poldrack-single-stim,s471
181,2100.136,1.0,89.0,double,test,attention_network_task,,down,left,incongruent,89,"89,71",528,1700.0,,109982,stim,40.0,poldrack-single-stim,s471
184,2100.136,1.0,71.0,spatial,test,attention_network_task,,down,right,incongruent,71,"89,71",490,1700.0,,112591,stim,41.0,poldrack-single-stim,s471
187,2100.136,1.0,89.0,double,test,attention_network_task,,down,left,congruent,89,"89,71",565,1700.0,,115201,stim,42.0,poldrack-single-stim,s471
190,2100.272,1.0,71.0,spatial,test,attention_network_task,,down,right,incongruent,71,"89,71",478,1700.0,,117810,stim,43.0,poldrack-single-stim,s471
193,2100.136,1.0,89.0,spatial,test,attention_network_task,,up,left,incongruent,89,"89,71",430,1700.0,,120420,stim,44.0,poldrack-single-stim,s471
196,2100.408,1.0,71.0,spatial,test,attention_network_task,,up,right,incongruent,71,"89,71",676,1700.0,,123029,stim,45.0,poldrack-single-stim,s471
199,2100.0,1.0,71.0,double,test,attention_network_task,,down,right,incongruent,71,"89,71",566,1700.0,,125638,stim,46.0,poldrack-single-stim,s471
202,2100.136,1.0,89.0,double,test,attention_network_task,,up,left,congruent,89,"89,71",497,1700.0,,128246,stim,47.0,poldrack-single-stim,s471
205,2100.0,1.0,71.0,spatial,test,attention_network_task,,down,right,congruent,71,"89,71",412,1700.0,,130855,stim,48.0,poldrack-single-stim,s471
208,2100.136,1.0,71.0,double,test,attention_network_task,,down,right,incongruent,71,"89,71",569,1700.0,,133463,stim,49.0,poldrack-single-stim,s471
211,2100.952,1.0,71.0,spatial,test,attention_network_task,,down,right,congruent,71,"89,71",391,1700.0,,136072,stim,50.0,poldrack-single-stim,s471
214,2100.272,1.0,89.0,double,test,attention_network_task,,up,left,congruent,89,"89,71",444,1700.0,,138682,stim,51.0,poldrack-single-stim,s471
217,2100.136,1.0,71.0,double,test,attention_network_task,,up,right,congruent,71,"89,71",452,1700.0,,141291,stim,52.0,poldrack-single-stim,s471
220,2100.0,1.0,71.0,double,test,attention_network_task,,down,right,incongruent,71,"89,71",552,1700.0,,143901,stim,53.0,poldrack-single-stim,s471
223,2100.136,1.0,89.0,spatial,test,attention_network_task,,down,left,incongruent,89,"89,71",508,1700.0,,146510,stim,54.0,poldrack-single-stim,s471
226,2100.0,1.0,71.0,double,test,attention_network_task,,down,right,congruent,71,"89,71",458,1700.0,,149119,stim,55.0,poldrack-single-stim,s471
229,2100.136,1.0,71.0,spatial,test,attention_network_task,,up,right,incongruent,71,"89,71",486,1700.0,,151727,stim,56.0,poldrack-single-stim,s471
232,2100.272,1.0,71.0,double,test,attention_network_task,,up,right,incongruent,71,"89,71",436,1700.0,,154336,stim,57.0,poldrack-single-stim,s471
235,2100.272,1.0,71.0,spatial,test,attention_network_task,,up,right,incongruent,71,"89,71",444,1700.0,,156945,stim,58.0,poldrack-single-stim,s471
238,2100.136,1.0,89.0,double,test,attention_network_task,,down,left,congruent,89,"89,71",668,1700.0,,159553,stim,59.0,poldrack-single-stim,s471
241,2100.0,1.0,89.0,double,test,attention_network_task,,down,left,incongruent,89,"89,71",688,1700.0,,162164,stim,60.0,poldrack-single-stim,s471
244,2100.136,1.0,89.0,double,test,attention_network_task,,down,left,incongruent,89,"89,71",538,1700.0,,164773,stim,61.0,poldrack-single-stim,s471
247,2100.0,1.0,89.0,spatial,test,attention_network_task,,down,left,congruent,89,"89,71",374,1700.0,,167381,stim,62.0,poldrack-single-stim,s471
250,2100.272,1.0,71.0,double,test,attention_network_task,,down,right,congruent,71,"89,71",455,1700.0,,169990,stim,63.0,poldrack-single-stim,s471
251,7500.0,,,,,attention_network_task,,,,,-1,none,-1,7500.0,,177494,rest_block,,poldrack-single-stim,s471
255,2100.0,1.0,89.0,spatial,test,attention_network_task,,down,left,incongruent,89,"89,71",629,1700.0,,183110,stim,64.0,poldrack-single-stim,s471
258,2100.0,1.0,89.0,spatial,test,attention_network_task,,up,left,incongruent,89,"89,71",563,1700.0,,185719,stim,65.0,poldrack-single-stim,s471
261,2100.136,1.0,89.0,spatial,test,attention_network_task,,up,left,congruent,89,"89,71",616,1700.0,,188327,stim,66.0,poldrack-single-stim,s471
264,2100.272,1.0,71.0,spatial,test,attention_network_task,,up,right,congruent,71,"89,71",446,1700.0,,190935,stim,67.0,poldrack-single-stim,s471
267,2100.408,1.0,71.0,double,test,attention_network_task,,up,right,incongruent,71,"89,71",522,1700.0,,193544,stim,68.0,poldrack-single-stim,s471
270,2100.0,1.0,89.0,double,test,attention_network_task,,up,left,congruent,89,"89,71",491,1700.0,,196153,stim,69.0,poldrack-single-stim,s471
273,2100.136,1.0,71.0,double,test,attention_network_task,,down,right,congruent,71,"89,71",498,1700.0,,198762,stim,70.0,poldrack-single-stim,s471
276,2100.136,1.0,89.0,spatial,test,attention_network_task,,up,left,congruent,89,"89,71",361,1700.0,,201371,stim,71.0,poldrack-single-stim,s471
