,choice,exp_stage,experiment_exp_id,key_press,large_amount,later_delay,possible_responses,rt,small_amount,text,time_elapsed,trial_id,trial_type,worker_id
4,,practice,discount_fixed,89,,,"89,71",1193,,,-43653,stim,poldrack-single-stim,s471
24,larger_later,,discount_fixed,89,67.0,74.0,"89,71",1220,20.0,,7642,,poldrack-single-stim,s471
25,smaller_sooner,,discount_fixed,71,29.0,58.0,"89,71",1086,20.0,,12959,,poldrack-single-stim,s471
26,smaller_sooner,,discount_fixed,71,39.0,104.0,"89,71",906,20.0,,17936,,poldrack-single-stim,s471
27,smaller_sooner,,discount_fixed,71,33.0,103.0,"89,71",993,20.0,,22505,,poldrack-single-stim,s471
28,smaller_sooner,,discount_fixed,71,33.0,78.0,"89,71",1003,20.0,,28026,,poldrack-single-stim,s471
29,larger_later,,discount_fixed,89,74.0,52.0,"89,71",1238,20.0,,33616,,poldrack-single-stim,s471
30,smaller_sooner,,discount_fixed,71,28.0,132.0,"89,71",1006,20.0,,39409,,poldrack-single-stim,s471
31,smaller_sooner,,discount_fixed,71,28.0,59.0,"89,71",993,20.0,,43978,,poldrack-single-stim,s471
32,larger_later,,discount_fixed,89,28.0,163.0,"89,71",1156,20.0,,49091,,poldrack-single-stim,s471
33,smaller_sooner,,discount_fixed,71,32.0,74.0,"89,71",1688,20.0,,53592,,poldrack-single-stim,s471
34,larger_later,,discount_fixed,89,57.0,89.0,"89,71",1270,20.0,,58434,,poldrack-single-stim,s471
35,larger_later,,discount_fixed,89,70.0,108.0,"89,71",884,20.0,,63004,,poldrack-single-stim,s471
36,larger_later,,discount_fixed,89,72.0,95.0,"89,71",698,20.0,,68389,,poldrack-single-stim,s471
37,smaller_sooner,,discount_fixed,71,30.0,36.0,"89,71",978,20.0,,73435,,poldrack-single-stim,s471
38,larger_later,,discount_fixed,89,41.0,129.0,"89,71",1202,20.0,,78140,,poldrack-single-stim,s471
39,larger_later,,discount_fixed,89,78.0,129.0,"89,71",838,20.0,,83049,,poldrack-single-stim,s471
40,larger_later,,discount_fixed,89,71.0,88.0,"89,71",804,20.0,,87958,,poldrack-single-stim,s471
41,larger_later,,discount_fixed,89,65.0,159.0,"89,71",858,20.0,,92799,,poldrack-single-stim,s471
42,smaller_sooner,,discount_fixed,71,24.0,125.0,"89,71",626,20.0,,97912,,poldrack-single-stim,s471
43,larger_later,,discount_fixed,89,58.0,36.0,"89,71",656,20.0,,103026,,poldrack-single-stim,s471
44,larger_later,,discount_fixed,89,63.0,37.0,"89,71",791,20.0,,107731,,poldrack-single-stim,s471
45,larger_later,,discount_fixed,89,75.0,41.0,"89,71",699,20.0,,112572,,poldrack-single-stim,s471
46,smaller_sooner,,discount_fixed,71,45.0,72.0,"89,71",1521,20.0,,117413,,poldrack-single-stim,s471
47,smaller_sooner,,discount_fixed,71,25.0,74.0,"89,71",1207,20.0,,124294,,poldrack-single-stim,s471
48,larger_later,,discount_fixed,89,65.0,137.0,"89,71",720,20.0,,128863,,poldrack-single-stim,s471
49,larger_later,,discount_fixed,89,49.0,140.0,"89,71",1027,20.0,,133636,,poldrack-single-stim,s471
50,larger_later,,discount_fixed,89,67.0,103.0,"89,71",986,20.0,,140654,,poldrack-single-stim,s471
51,larger_later,,discount_fixed,89,69.0,172.0,"89,71",610,20.0,,145360,,poldrack-single-stim,s471
52,larger_later,,discount_fixed,89,66.0,71.0,"89,71",841,20.0,,150541,,poldrack-single-stim,s471
53,larger_later,,discount_fixed,89,71.0,176.0,"89,71",503,20.0,,155587,,poldrack-single-stim,s471
54,smaller_sooner,,discount_fixed,71,31.0,76.0,"89,71",782,20.0,,160904,,poldrack-single-stim,s471
55,larger_later,,discount_fixed,89,43.0,19.0,"89,71",1194,20.0,,165473,,poldrack-single-stim,s471
56,smaller_sooner,,discount_fixed,71,60.0,124.0,"89,71",1599,20.0,,170110,,poldrack-single-stim,s471
57,larger_later,,discount_fixed,89,27.0,142.0,"89,71",2360,20.0,,175020,,poldrack-single-stim,s471
58,smaller_sooner,,discount_fixed,71,25.0,70.0,"89,71",731,20.0,,179521,,poldrack-single-stim,s471
59,larger_later,,discount_fixed,89,44.0,92.0,"89,71",1198,20.0,,184498,,poldrack-single-stim,s471
60,larger_later,,discount_fixed,89,41.0,27.0,"89,71",997,20.0,,189407,,poldrack-single-stim,s471
61,larger_later,,discount_fixed,89,64.0,89.0,"89,71",1033,20.0,,193976,,poldrack-single-stim,s471
62,larger_later,,discount_fixed,89,78.0,108.0,"89,71",581,20.0,,198478,,poldrack-single-stim,s471
63,larger_later,,discount_fixed,89,80.0,145.0,"89,71",914,20.0,,204679,,poldrack-single-stim,s471
64,larger_later,,discount_fixed,89,41.0,174.0,"89,71",944,20.0,,209384,,poldrack-single-stim,s471
65,larger_later,,discount_fixed,89,42.0,145.0,"89,71",767,20.0,,214429,,poldrack-single-stim,s471
66,smaller_sooner,,discount_fixed,71,36.0,114.0,"89,71",1166,20.0,,219475,,poldrack-single-stim,s471
67,larger_later,,discount_fixed,89,58.0,55.0,"89,71",809,20.0,,224657,,poldrack-single-stim,s471
68,larger_later,,discount_fixed,89,81.0,58.0,"89,71",704,20.0,,229634,,poldrack-single-stim,s471
69,smaller_sooner,,discount_fixed,71,32.0,111.0,"89,71",944,20.0,,234408,,poldrack-single-stim,s471
70,smaller_sooner,,discount_fixed,71,25.0,141.0,"89,71",749,20.0,,239181,,poldrack-single-stim,s471
71,larger_later,,discount_fixed,89,67.0,23.0,"89,71",750,20.0,,244362,,poldrack-single-stim,s471
72,larger_later,,discount_fixed,89,77.0,161.0,"89,71",839,20.0,,249543,,poldrack-single-stim,s471
73,larger_later,,discount_fixed,89,55.0,163.0,"89,71",974,20.0,,254792,,poldrack-single-stim,s471
74,larger_later,,discount_fixed,89,40.0,159.0,"89,71",952,20.0,,259362,,poldrack-single-stim,s471
75,larger_later,,discount_fixed,89,76.0,161.0,"89,71",653,20.0,,263863,,poldrack-single-stim,s471
76,larger_later,,discount_fixed,89,48.0,128.0,"89,71",828,20.0,,268772,,poldrack-single-stim,s471
77,larger_later,,discount_fixed,89,39.0,95.0,"89,71",1532,20.0,,273342,,poldrack-single-stim,s471
78,larger_later,,discount_fixed,89,83.0,105.0,"89,71",690,20.0,,279543,,poldrack-single-stim,s471
79,larger_later,,discount_fixed,89,67.0,41.0,"89,71",577,20.0,,284452,,poldrack-single-stim,s471
80,larger_later,,discount_fixed,89,56.0,172.0,"89,71",975,20.0,,289701,,poldrack-single-stim,s471
81,smaller_sooner,,discount_fixed,71,28.0,123.0,"89,71",784,20.0,,294746,,poldrack-single-stim,s471
82,larger_later,,discount_fixed,89,50.0,129.0,"89,71",956,20.0,,299384,,poldrack-single-stim,s471
83,smaller_sooner,,discount_fixed,71,23.0,61.0,"89,71",873,20.0,,304089,,poldrack-single-stim,s471
84,larger_later,,discount_fixed,89,79.0,92.0,"89,71",1435,20.0,,308726,,poldrack-single-stim,s471
85,,,discount_fixed,-1,,,none,-1,,,316227,rest_block,poldrack-single-stim,s471
86,larger_later,,discount_fixed,89,61.0,141.0,"89,71",1921,20.0,,321797,,poldrack-single-stim,s471
87,larger_later,,discount_fixed,89,43.0,38.0,"89,71",642,20.0,,326366,,poldrack-single-stim,s471
88,larger_later,,discount_fixed,89,66.0,145.0,"89,71",1064,20.0,,331275,,poldrack-single-stim,s471
89,smaller_sooner,,discount_fixed,71,30.0,23.0,"89,71",752,20.0,,336116,,poldrack-single-stim,s471
90,smaller_sooner,,discount_fixed,71,32.0,57.0,"89,71",1157,20.0,,341366,,poldrack-single-stim,s471
91,smaller_sooner,,discount_fixed,71,27.0,91.0,"89,71",771,20.0,,346139,,poldrack-single-stim,s471
92,larger_later,,discount_fixed,89,43.0,120.0,"89,71",557,20.0,,352137,,poldrack-single-stim,s471
93,larger_later,,discount_fixed,89,75.0,60.0,"89,71",513,20.0,,357726,,poldrack-single-stim,s471
94,smaller_sooner,,discount_fixed,71,34.0,176.0,"89,71",1345,20.0,,362295,,poldrack-single-stim,s471
95,smaller_sooner,,discount_fixed,71,24.0,38.0,"89,71",1200,20.0,,367408,,poldrack-single-stim,s471
96,larger_later,,discount_fixed,89,82.0,74.0,"89,71",931,20.0,,373066,,poldrack-single-stim,s471
97,larger_later,,discount_fixed,89,58.0,53.0,"89,71",2584,20.0,,377635,,poldrack-single-stim,s471
