,correct,correct_response,cue,exp_stage,experiment_exp_id,flanker_location,flanker_middle_direction,flanker_type,key_press,possible_responses,rt,text,time_elapsed,trial_id,trial_num,trial_type,worker_id
6,1.0,89.0,spatial,practice,attention_network_task,up,left,congruent,89,"89,71",673,,-79617,stim,,poldrack-categorize,s471
9,1.0,71.0,double,practice,attention_network_task,down,right,congruent,71,"89,71",474,,-75903,stim,,poldrack-categorize,s471
12,1.0,89.0,double,practice,attention_network_task,down,left,incongruent,89,"89,71",690,,-72193,stim,,poldrack-categorize,s471
15,1.0,71.0,spatial,practice,attention_network_task,down,right,congruent,71,"89,71",633,,-68483,stim,,poldrack-categorize,s471
18,1.0,71.0,spatial,practice,attention_network_task,up,right,incongruent,71,"89,71",681,,-64772,stim,,poldrack-categorize,s471
21,1.0,89.0,double,practice,attention_network_task,up,left,incongruent,89,"89,71",738,,-61062,stim,,poldrack-categorize,s471
24,1.0,89.0,double,practice,attention_network_task,up,left,congruent,89,"89,71",547,,-57351,stim,,poldrack-categorize,s471
27,1.0,71.0,spatial,practice,attention_network_task,down,right,incongruent,71,"89,71",577,,-53640,stim,,poldrack-categorize,s471
30,1.0,71.0,spatial,practice,attention_network_task,up,right,congruent,71,"89,71",440,,-49930,stim,,poldrack-categorize,s471
33,1.0,71.0,double,practice,attention_network_task,up,right,congruent,71,"89,71",431,,-46219,stim,,poldrack-categorize,s471
36,1.0,89.0,spatial,practice,attention_network_task,up,left,incongruent,89,"89,71",561,,-42509,stim,,poldrack-categorize,s471
39,1.0,71.0,double,practice,attention_network_task,up,right,incongruent,71,"89,71",517,,-38798,stim,,poldrack-categorize,s471
61,1.0,71.0,double,test,attention_network_task,up,right,congruent,71,"89,71",454,,5616,stim,0.0,poldrack-single-stim,s471
64,1.0,71.0,double,test,attention_network_task,up,right,incongruent,71,"89,71",596,,8224,stim,1.0,poldrack-single-stim,s471
67,1.0,89.0,spatial,test,attention_network_task,down,left,congruent,89,"89,71",579,,10833,stim,2.0,poldrack-single-stim,s471
70,1.0,89.0,double,test,attention_network_task,up,left,congruent,89,"89,71",499,,13442,stim,3.0,poldrack-single-stim,s471
73,1.0,89.0,double,test,attention_network_task,down,left,congruent,89,"89,71",550,,16051,stim,4.0,poldrack-single-stim,s471
76,1.0,89.0,spatial,test,attention_network_task,up,left,incongruent,89,"89,71",482,,18660,stim,5.0,poldrack-single-stim,s471
79,1.0,71.0,spatial,test,attention_network_task,up,right,congruent,71,"89,71",620,,21270,stim,6.0,poldrack-single-stim,s471
82,1.0,71.0,double,test,attention_network_task,up,right,congruent,71,"89,71",622,,23880,stim,7.0,poldrack-single-stim,s471
85,1.0,71.0,spatial,test,attention_network_task,down,right,congruent,71,"89,71",640,,26487,stim,8.0,poldrack-single-stim,s471
88,1.0,89.0,spatial,test,attention_network_task,down,left,congruent,89,"89,71",596,,29098,stim,9.0,poldrack-single-stim,s471
91,1.0,89.0,spatial,test,attention_network_task,down,left,incongruent,89,"89,71",466,,31708,stim,10.0,poldrack-single-stim,s471
