,block_duration,choice,exp_stage,experiment_exp_id,key_press,large_amount,later_delay,possible_responses,rt,small_amount,stim_duration,text,time_elapsed,trial_id,trial_type,worker_id
4,2540.0,,practice,discount_fixed,89,,,"89,71",2540,,2540.0,,-101556,stim,poldrack-single-stim,s483
24,5316.0,smaller_sooner,,discount_fixed,71,31.0,76.0,"89,71",2017,20.0,4000.0,,8325,,poldrack-single-stim,s483
25,4568.0,larger_later,,discount_fixed,89,43.0,19.0,"89,71",1227,20.0,4000.0,,12896,,poldrack-single-stim,s483
26,4636.0,smaller_sooner,,discount_fixed,71,60.0,124.0,"89,71",1801,20.0,4000.0,,17533,,poldrack-single-stim,s483
27,4908.0,smaller_sooner,,discount_fixed,71,27.0,142.0,"89,71",1492,20.0,4000.0,,22443,,poldrack-single-stim,s483
28,4500.0,smaller_sooner,,discount_fixed,71,25.0,70.0,"89,71",2255,20.0,4000.0,,26944,,poldrack-single-stim,s483
29,4976.0,smaller_sooner,,discount_fixed,71,44.0,92.0,"89,71",1905,20.0,4000.0,,31922,,poldrack-single-stim,s483
30,4908.0,larger_later,,discount_fixed,89,41.0,27.0,"89,71",1334,20.0,4000.0,,36832,,poldrack-single-stim,s483
31,4568.0,smaller_sooner,,discount_fixed,71,64.0,89.0,"89,71",1866,20.0,4000.0,,41403,,poldrack-single-stim,s483
32,4500.0,smaller_sooner,,discount_fixed,71,78.0,108.0,"89,71",2224,20.0,4000.0,,45904,,poldrack-single-stim,s483
33,6200.0,smaller_sooner,,discount_fixed,71,80.0,145.0,"89,71",1325,20.0,4000.0,,52107,,poldrack-single-stim,s483
34,4704.0,smaller_sooner,,discount_fixed,71,41.0,174.0,"89,71",1219,20.0,4000.0,,56813,,poldrack-single-stim,s483
35,5044.0,smaller_sooner,,discount_fixed,71,42.0,145.0,"89,71",1867,20.0,4000.0,,61859,,poldrack-single-stim,s483
36,5044.0,smaller_sooner,,discount_fixed,71,36.0,114.0,"89,71",1166,20.0,4000.0,,66905,,poldrack-single-stim,s483
37,5180.0,larger_later,,discount_fixed,89,58.0,55.0,"89,71",3323,20.0,4000.0,,72087,,poldrack-single-stim,s483
38,4976.0,larger_later,,discount_fixed,89,81.0,58.0,"89,71",1862,20.0,4000.0,,77065,,poldrack-single-stim,s483
39,4772.0,smaller_sooner,,discount_fixed,71,32.0,111.0,"89,71",850,20.0,4000.0,,81840,,poldrack-single-stim,s483
40,4772.0,smaller_sooner,,discount_fixed,71,25.0,141.0,"89,71",1223,20.0,4000.0,,86614,,poldrack-single-stim,s483
41,5180.0,larger_later,,discount_fixed,89,67.0,23.0,"89,71",1140,20.0,4000.0,,91796,,poldrack-single-stim,s483
42,5180.0,smaller_sooner,,discount_fixed,71,77.0,161.0,"89,71",1634,20.0,4000.0,,96979,,poldrack-single-stim,s483
43,5248.0,smaller_sooner,,discount_fixed,71,55.0,163.0,"89,71",1098,20.0,4000.0,,102229,,poldrack-single-stim,s483
