,correct,correct_response,cue,exp_stage,experiment_exp_id,flanker_location,flanker_middle_direction,flanker_type,key_press,possible_responses,rt,text,time_elapsed,trial_id,trial_num,trial_type,worker_id
6,1.0,71.0,spatial,practice,attention_network_task,up,right,congruent,71,"89,71",611,,-231243,stim,,poldrack-categorize,s491
9,1.0,71.0,double,practice,attention_network_task,down,right,incongruent,71,"89,71",793,,-227531,stim,,poldrack-categorize,s491
12,1.0,89.0,spatial,practice,attention_network_task,up,left,congruent,89,"89,71",576,,-223818,stim,,poldrack-categorize,s491
15,1.0,71.0,spatial,practice,attention_network_task,up,right,incongruent,71,"89,71",680,,-220107,stim,,poldrack-categorize,s491
18,1.0,89.0,spatial,practice,attention_network_task,down,left,congruent,89,"89,71",550,,-216396,stim,,poldrack-categorize,s491
21,1.0,71.0,double,practice,attention_network_task,down,right,congruent,71,"89,71",672,,-212687,stim,,poldrack-categorize,s491
24,1.0,71.0,spatial,practice,attention_network_task,down,right,congruent,71,"89,71",594,,-208975,stim,,poldrack-categorize,s491
27,1.0,89.0,spatial,practice,attention_network_task,down,left,incongruent,89,"89,71",636,,-205262,stim,,poldrack-categorize,s491
30,1.0,89.0,double,practice,attention_network_task,down,left,incongruent,89,"89,71",637,,-201552,stim,,poldrack-categorize,s491
33,1.0,89.0,double,practice,attention_network_task,up,left,congruent,89,"89,71",617,,-197838,stim,,poldrack-categorize,s491
36,1.0,89.0,double,practice,attention_network_task,down,left,congruent,89,"89,71",629,,-194126,stim,,poldrack-categorize,s491
39,1.0,89.0,spatial,practice,attention_network_task,up,left,incongruent,89,"89,71",599,,-190412,stim,,poldrack-categorize,s491
61,1.0,71.0,spatial,test,attention_network_task,up,right,congruent,71,"89,71",539,,5618,stim,0.0,poldrack-single-stim,s491
64,1.0,71.0,double,test,attention_network_task,up,right,incongruent,71,"89,71",718,,8227,stim,1.0,poldrack-single-stim,s491
67,1.0,71.0,spatial,test,attention_network_task,down,right,congruent,71,"89,71",718,,10838,stim,2.0,poldrack-single-stim,s491
70,1.0,71.0,spatial,test,attention_network_task,down,right,congruent,71,"89,71",601,,13447,stim,3.0,poldrack-single-stim,s491
73,1.0,71.0,double,test,attention_network_task,down,right,incongruent,71,"89,71",599,,16057,stim,4.0,poldrack-single-stim,s491
76,1.0,89.0,double,test,attention_network_task,down,left,congruent,89,"89,71",495,,18666,stim,5.0,poldrack-single-stim,s491
79,1.0,71.0,double,test,attention_network_task,up,right,incongruent,71,"89,71",567,,21276,stim,6.0,poldrack-single-stim,s491
82,1.0,71.0,spatial,test,attention_network_task,up,right,incongruent,71,"89,71",733,,23884,stim,7.0,poldrack-single-stim,s491
85,1.0,89.0,double,test,attention_network_task,down,left,incongruent,89,"89,71",680,,26492,stim,8.0,poldrack-single-stim,s491
88,1.0,89.0,spatial,test,attention_network_task,down,left,incongruent,89,"89,71",645,,29105,stim,9.0,poldrack-single-stim,s491
91,1.0,71.0,double,test,attention_network_task,down,right,congruent,71,"89,71",715,,31715,stim,10.0,poldrack-single-stim,s491
94,1.0,71.0,spatial,test,attention_network_task,up,right,incongruent,71,"89,71",620,,34324,stim,11.0,poldrack-single-stim,s491
97,1.0,71.0,spatial,test,attention_network_task,down,right,incongruent,71,"89,71",672,,36933,stim,12.0,poldrack-single-stim,s491
100,1.0,71.0,spatial,test,attention_network_task,down,right,incongruent,71,"89,71",663,,39542,stim,13.0,poldrack-single-stim,s491
103,1.0,89.0,double,test,attention_network_task,down,left,incongruent,89,"89,71",669,,42153,stim,14.0,poldrack-single-stim,s491
106,1.0,89.0,double,test,attention_network_task,down,left,congruent,89,"89,71",669,,44764,stim,15.0,poldrack-single-stim,s491
109,1.0,89.0,spatial,test,attention_network_task,up,left,congruent,89,"89,71",652,,47373,stim,16.0,poldrack-single-stim,s491
112,1.0,89.0,double,test,attention_network_task,up,left,incongruent,89,"89,71",765,,49984,stim,17.0,poldrack-single-stim,s491
115,1.0,71.0,spatial,test,attention_network_task,down,right,congruent,71,"89,71",647,,52594,stim,18.0,poldrack-single-stim,s491
118,1.0,71.0,double,test,attention_network_task,down,right,congruent,71,"89,71",598,,55206,stim,19.0,poldrack-single-stim,s491
121,1.0,71.0,double,test,attention_network_task,down,right,congruent,71,"89,71",660,,57817,stim,20.0,poldrack-single-stim,s491
124,1.0,71.0,double,test,attention_network_task,down,right,incongruent,71,"89,71",649,,60428,stim,21.0,poldrack-single-stim,s491
127,1.0,71.0,spatial,test,attention_network_task,up,right,incongruent,71,"89,71",598,,63040,stim,22.0,poldrack-single-stim,s491
130,1.0,71.0,double,test,attention_network_task,down,right,congruent,71,"89,71",592,,65651,stim,23.0,poldrack-single-stim,s491
133,1.0,89.0,spatial,test,attention_network_task,down,left,incongruent,89,"89,71",639,,68266,stim,24.0,poldrack-single-stim,s491
136,1.0,89.0,double,test,attention_network_task,up,left,incongruent,89,"89,71",636,,70874,stim,25.0,poldrack-single-stim,s491
139,1.0,89.0,spatial,test,attention_network_task,down,left,incongruent,89,"89,71",576,,73484,stim,26.0,poldrack-single-stim,s491
142,1.0,89.0,double,test,attention_network_task,up,left,congruent,89,"89,71",617,,76094,stim,27.0,poldrack-single-stim,s491
145,1.0,71.0,double,test,attention_network_task,up,right,incongruent,71,"89,71",811,,78705,stim,28.0,poldrack-single-stim,s491
148,1.0,71.0,double,test,attention_network_task,down,right,incongruent,71,"89,71",655,,81314,stim,29.0,poldrack-single-stim,s491
151,1.0,71.0,spatial,test,attention_network_task,up,right,congruent,71,"89,71",601,,83925,stim,30.0,poldrack-single-stim,s491
