,CTI,correct,correct_response,cue,cue_switch,exp_stage,experiment_exp_id,key_press,possible_responses,rt,stim_color,stim_number,task,task_switch,text,time_elapsed,trial_id,trial_num,trial_type,worker_id
8,900.0,True,89.0,Color,,practice,twobytwo,89.0,"89,71",1054.0,orange,2.0,color,switch,,-171294,stim,0.0,poldrack-categorize,s491
13,100.0,True,89.0,High-Low,,practice,twobytwo,89.0,"89,71",928.0,orange,1.0,magnitude,switch,,-167680,stim,1.0,poldrack-categorize,s491
18,900.0,True,89.0,Orange-Blue,,practice,twobytwo,89.0,"89,71",653.0,orange,1.0,color,switch,,-163264,stim,2.0,poldrack-categorize,s491
23,100.0,True,71.0,High-Low,,practice,twobytwo,71.0,"89,71",881.0,orange,8.0,magnitude,switch,,-159650,stim,3.0,poldrack-categorize,s491
28,900.0,True,71.0,Magnitude,switch,practice,twobytwo,71.0,"89,71",690.0,orange,7.0,magnitude,stay,,-155229,stim,4.0,poldrack-categorize,s491
33,100.0,True,71.0,High-Low,switch,practice,twobytwo,71.0,"89,71",663.0,orange,9.0,magnitude,stay,,-151612,stim,5.0,poldrack-categorize,s491
38,100.0,True,71.0,Orange-Blue,,practice,twobytwo,71.0,"89,71",676.0,#1F45FC,8.0,color,switch,,-147997,stim,6.0,poldrack-categorize,s491
43,100.0,True,71.0,Orange-Blue,stay,practice,twobytwo,71.0,"89,71",985.0,#1F45FC,6.0,color,stay,,-144383,stim,7.0,poldrack-categorize,s491
48,100.0,False,89.0,High-Low,,practice,twobytwo,-1.0,"89,71",-1.0,#1F45FC,3.0,magnitude,switch,,-140763,stim,8.0,poldrack-categorize,s491
53,900.0,True,89.0,High-Low,stay,practice,twobytwo,89.0,"89,71",852.0,orange,1.0,magnitude,stay,,-136345,stim,9.0,poldrack-categorize,s491
58,900.0,True,89.0,Magnitude,switch,practice,twobytwo,89.0,"89,71",737.0,orange,1.0,magnitude,stay,,-131927,stim,10.0,poldrack-categorize,s491
63,900.0,True,71.0,Orange-Blue,,practice,twobytwo,71.0,"89,71",739.0,#1F45FC,8.0,color,switch,,-127510,stim,11.0,poldrack-categorize,s491
68,100.0,True,71.0,Color,switch,practice,twobytwo,71.0,"89,71",1058.0,#1F45FC,1.0,color,stay,,-123893,stim,12.0,poldrack-categorize,s491
73,900.0,True,71.0,High-Low,,practice,twobytwo,71.0,"89,71",691.0,#1F45FC,7.0,magnitude,switch,,-119479,stim,13.0,poldrack-categorize,s491
