,SS_delay,SS_duration,SS_stimulus,SS_trial_type,block_duration,condition,correct,correct_response,exp_stage,experiment_exp_id,feedback_duration,key_press,passed_check,possible_responses,rt,stim_duration,stop_response,stopped,text,time_elapsed,trial_id,trial_num,trial_type,worker_id
6,,,,,1850.0,,1.0,89.0,practice,motor_selective_stop_signal,500.0,89.0,True,"89,71",1174,850.0,,False,,-131264,stim,0.0,poldrack-categorize,s495
7,,,,,1850.0,,1.0,89.0,practice,motor_selective_stop_signal,500.0,89.0,True,"89,71",1241,850.0,,False,,-128655,stim,1.0,poldrack-categorize,s495
8,,,,,1850.0,,1.0,89.0,practice,motor_selective_stop_signal,500.0,89.0,True,"89,71",810,850.0,,False,,-126050,stim,2.0,poldrack-categorize,s495
9,,,,,1850.0,,1.0,71.0,practice,motor_selective_stop_signal,500.0,71.0,True,"89,71",497,850.0,,False,,-123444,stim,3.0,poldrack-categorize,s495
10,,,,,1850.0,,1.0,71.0,practice,motor_selective_stop_signal,500.0,71.0,True,"89,71",678,850.0,,False,,-120837,stim,4.0,poldrack-categorize,s495
11,,,,,1850.0,,1.0,71.0,practice,motor_selective_stop_signal,500.0,71.0,True,"89,71",530,850.0,,False,,-118231,stim,5.0,poldrack-categorize,s495
12,,,,,1850.0,,1.0,71.0,practice,motor_selective_stop_signal,500.0,71.0,True,"89,71",579,850.0,,False,,-115625,stim,6.0,poldrack-categorize,s495
13,,,,,1850.0,,1.0,89.0,practice,motor_selective_stop_signal,500.0,89.0,True,"89,71",493,850.0,,False,,-113019,stim,7.0,poldrack-categorize,s495
14,,,,,1850.0,,0.0,71.0,practice,motor_selective_stop_signal,500.0,89.0,True,"89,71",646,850.0,,False,,-110413,stim,8.0,poldrack-categorize,s495
15,,,,,1850.0,,1.0,89.0,practice,motor_selective_stop_signal,500.0,89.0,True,"89,71",776,850.0,,False,,-107805,stim,9.0,poldrack-categorize,s495
16,,,,,1850.0,,1.0,71.0,practice,motor_selective_stop_signal,500.0,71.0,True,"89,71",774,850.0,,False,,-105198,stim,10.0,poldrack-categorize,s495
17,,,,,1850.0,,1.0,89.0,practice,motor_selective_stop_signal,500.0,89.0,True,"89,71",822,850.0,,False,,-102593,stim,11.0,poldrack-categorize,s495
38,350.0,500.0,<div class = coverbox></div><div class = stopbox><div class = centered-shape id = stop-signal></div><div class = centered-shape id = stop-signal-inner></div></div>,go,2250.0,go,1.0,71.0,test,motor_selective_stop_signal,,71.0,True,"89,71",652,850.0,89.0,False,,5767,stim,0.0,stop-signal,s495
