,SS_delay,SS_duration,SS_stimulus,SS_trial_type,condition,correct,correct_response,exp_stage,experiment_exp_id,key_press,passed_check,possible_responses,rt,stop_response,stopped,text,time_elapsed,trial_id,trial_num,trial_type,worker_id
6,,,,,,1.0,89.0,practice,motor_selective_stop_signal,89.0,True,"89,71",1054,,False,,-142418,stim,0.0,poldrack-categorize,s499
7,,,,,,1.0,71.0,practice,motor_selective_stop_signal,71.0,True,"89,71",665,,False,,-139812,stim,1.0,poldrack-categorize,s499
8,,,,,,1.0,89.0,practice,motor_selective_stop_signal,89.0,True,"89,71",624,,False,,-137204,stim,2.0,poldrack-categorize,s499
9,,,,,,1.0,71.0,practice,motor_selective_stop_signal,71.0,True,"89,71",658,,False,,-134596,stim,3.0,poldrack-categorize,s499
10,,,,,,0.0,89.0,practice,motor_selective_stop_signal,71.0,True,"89,71",651,,False,,-131987,stim,4.0,poldrack-categorize,s499
11,,,,,,1.0,71.0,practice,motor_selective_stop_signal,71.0,True,"89,71",793,,False,,-129379,stim,5.0,poldrack-categorize,s499
12,,,,,,1.0,71.0,practice,motor_selective_stop_signal,71.0,True,"89,71",1076,,False,,-126772,stim,6.0,poldrack-categorize,s499
13,,,,,,1.0,89.0,practice,motor_selective_stop_signal,89.0,True,"89,71",534,,False,,-124165,stim,7.0,poldrack-categorize,s499
14,,,,,,1.0,89.0,practice,motor_selective_stop_signal,89.0,True,"89,71",500,,False,,-121556,stim,8.0,poldrack-categorize,s499
15,,,,,,1.0,89.0,practice,motor_selective_stop_signal,89.0,True,"89,71",476,,False,,-118949,stim,9.0,poldrack-categorize,s499
16,,,,,,0.0,71.0,practice,motor_selective_stop_signal,89.0,True,"89,71",604,,False,,-116341,stim,10.0,poldrack-categorize,s499
17,,,,,,1.0,71.0,practice,motor_selective_stop_signal,71.0,True,"89,71",912,,False,,-113736,stim,11.0,poldrack-categorize,s499
38,150.0,500.0,<div class = coverbox></div><div class = stopbox><div class = centered-shape id = stop-signal></div><div class = centered-shape id = stop-signal-inner></div></div>,go,go,1.0,89.0,test,motor_selective_stop_signal,89.0,True,"89,71",1222,89.0,False,,5770,stim,0.0,stop-signal,s499
39,150.0,500.0,<div class = coverbox></div><div class = stopbox><div class = centered-shape id = stop-signal></div><div class = centered-shape id = stop-signal-inner></div></div>,go,go,0.0,71.0,test,motor_selective_stop_signal,-1.0,True,"89,71",-1,89.0,True,,8026,stim,1.0,stop-signal,s499
40,150.0,500.0,<div class = coverbox></div><div class = stopbox><div class = centered-shape id = stop-signal></div><div class = centered-shape id = stop-signal-inner></div></div>,stop,ignore,1.0,71.0,test,motor_selective_stop_signal,71.0,True,"89,71",800,89.0,False,,10379,stim,2.0,stop-signal,s499
41,150.0,500.0,<div class = coverbox></div><div class = stopbox><div class = centered-shape id = stop-signal></div><div class = centered-shape id = stop-signal-inner></div></div>,stop,stop,1.0,89.0,test,motor_selective_stop_signal,89.0,True,"89,71",1413,89.0,False,,12931,stim,3.0,stop-signal,s499
42,100.0,500.0,<div class = coverbox></div><div class = stopbox><div class = centered-shape id = stop-signal></div><div class = centered-shape id = stop-signal-inner></div></div>,go,go,1.0,89.0,test,motor_selective_stop_signal,89.0,True,"89,71",827,89.0,False,,15885,stim,4.0,stop-signal,s499
43,100.0,500.0,<div class = coverbox></div><div class = stopbox><div class = centered-shape id = stop-signal></div><div class = centered-shape id = stop-signal-inner></div></div>,stop,stop,0.0,89.0,test,motor_selective_stop_signal,-1.0,True,"89,71",-1,89.0,True,,18140,stim,5.0,stop-signal,s499
44,150.0,500.0,<div class = coverbox></div><div class = stopbox><div class = centered-shape id = stop-signal></div><div class = centered-shape id = stop-signal-inner></div></div>,go,go,1.0,71.0,test,motor_selective_stop_signal,71.0,True,"89,71",877,89.0,False,,20493,stim,6.0,stop-signal,s499
45,150.0,500.0,<div class = coverbox></div><div class = stopbox><div class = centered-shape id = stop-signal></div><div class = centered-shape id = stop-signal-inner></div></div>,go,go,0.0,89.0,test,motor_selective_stop_signal,71.0,True,"89,71",749,89.0,False,,23047,stim,7.0,stop-signal,s499
46,150.0,500.0,<div class = coverbox></div><div class = stopbox><div class = centered-shape id = stop-signal></div><div class = centered-shape id = stop-signal-inner></div></div>,stop,ignore,1.0,71.0,test,motor_selective_stop_signal,71.0,True,"89,71",1642,89.0,False,,25300,stim,8.0,stop-signal,s499
47,150.0,500.0,<div class = coverbox></div><div class = stopbox><div class = centered-shape id = stop-signal></div><div class = centered-shape id = stop-signal-inner></div></div>,stop,ignore,1.0,71.0,test,motor_selective_stop_signal,71.0,True,"89,71",1243,89.0,False,,27653,stim,9.0,stop-signal,s499
48,150.0,500.0,<div class = coverbox></div><div class = stopbox><div class = centered-shape id = stop-signal></div><div class = centered-shape id = stop-signal-inner></div></div>,stop,ignore,1.0,71.0,test,motor_selective_stop_signal,71.0,True,"89,71",1071,89.0,False,,30208,stim,10.0,stop-signal,s499
49,150.0,500.0,<div class = coverbox></div><div class = stopbox><div class = centered-shape id = stop-signal></div><div class = centered-shape id = stop-signal-inner></div></div>,stop,ignore,1.0,71.0,test,motor_selective_stop_signal,71.0,True,"89,71",1681,89.0,False,,32662,stim,11.0,stop-signal,s499
50,150.0,500.0,<div class = coverbox></div><div class = stopbox><div class = centered-shape id = stop-signal></div><div class = centered-shape id = stop-signal-inner></div></div>,go,go,1.0,89.0,test,motor_selective_stop_signal,89.0,True,"89,71",875,89.0,False,,35015,stim,12.0,stop-signal,s499
51,150.0,500.0,<div class = coverbox></div><div class = stopbox><div class = centered-shape id = stop-signal></div><div class = centered-shape id = stop-signal-inner></div></div>,go,go,1.0,71.0,test,motor_selective_stop_signal,71.0,True,"89,71",796,89.0,False,,37669,stim,13.0,stop-signal,s499
52,150.0,500.0,<div class = coverbox></div><div class = stopbox><div class = centered-shape id = stop-signal></div><div class = centered-shape id = stop-signal-inner></div></div>,go,go,1.0,89.0,test,motor_selective_stop_signal,89.0,True,"89,71",1006,89.0,False,,40223,stim,14.0,stop-signal,s499
53,150.0,500.0,<div class = coverbox></div><div class = stopbox><div class = centered-shape id = stop-signal></div><div class = centered-shape id = stop-signal-inner></div></div>,stop,stop,0.0,89.0,test,motor_selective_stop_signal,-1.0,True,"89,71",-1,89.0,True,,42981,stim,15.0,stop-signal,s499
54,200.0,500.0,<div class = coverbox></div><div class = stopbox><div class = centered-shape id = stop-signal></div><div class = centered-shape id = stop-signal-inner></div></div>,stop,stop,1.0,89.0,test,motor_selective_stop_signal,89.0,True,"89,71",2249,89.0,False,,45534,stim,16.0,stop-signal,s499
55,150.0,500.0,<div class = coverbox></div><div class = stopbox><div class = centered-shape id = stop-signal></div><div class = centered-shape id = stop-signal-inner></div></div>,stop,ignore,1.0,71.0,test,motor_selective_stop_signal,71.0,True,"89,71",966,89.0,False,,47987,stim,17.0,stop-signal,s499
56,150.0,500.0,<div class = coverbox></div><div class = stopbox><div class = centered-shape id = stop-signal></div><div class = centered-shape id = stop-signal-inner></div></div>,go,go,1.0,89.0,test,motor_selective_stop_signal,89.0,True,"89,71",1226,89.0,False,,50741,stim,18.0,stop-signal,s499
57,150.0,500.0,<div class = coverbox></div><div class = stopbox><div class = centered-shape id = stop-signal></div><div class = centered-shape id = stop-signal-inner></div></div>,go,go,1.0,71.0,test,motor_selective_stop_signal,71.0,True,"89,71",1155,89.0,False,,53293,stim,19.0,stop-signal,s499
58,150.0,500.0,<div class = coverbox></div><div class = stopbox><div class = centered-shape id = stop-signal></div><div class = centered-shape id = stop-signal-inner></div></div>,stop,stop,0.0,89.0,test,motor_selective_stop_signal,-1.0,True,"89,71",-1,89.0,True,,55647,stim,20.0,stop-signal,s499
59,200.0,500.0,<div class = coverbox></div><div class = stopbox><div class = centered-shape id = stop-signal></div><div class = centered-shape id = stop-signal-inner></div></div>,go,go,1.0,71.0,test,motor_selective_stop_signal,71.0,True,"89,71",661,89.0,False,,57900,stim,21.0,stop-signal,s499
60,200.0,500.0,<div class = coverbox></div><div class = stopbox><div class = centered-shape id = stop-signal></div><div class = centered-shape id = stop-signal-inner></div></div>,go,go,1.0,71.0,test,motor_selective_stop_signal,71.0,True,"89,71",899,89.0,False,,60552,stim,22.0,stop-signal,s499
