CTI,block_duration,correct,correct_response,cue,cue_switch,exp_stage,experiment_exp_id,feedback_duration,key_press,possible_responses,rt,stim_color,stim_duration,stim_number,task,task_switch,text,time_elapsed,timing_post_trial,trial_id,trial_num,trial_type,worker_id
900.0,2000.0,True,71.0,Color,,practice,twobytwo,500.0,71.0,"89,71",1268.0,orange,1000.0,7.0,color,switch,,-187139,0.0,stim,0.0,poldrack-categorize,s499
900.0,2000.0,True,71.0,Orange-Blue,switch,practice,twobytwo,500.0,71.0,"89,71",685.0,orange,1000.0,9.0,color,stay,,-182719,0.0,stim,1.0,poldrack-categorize,s499
100.0,2000.0,True,89.0,Color,switch,practice,twobytwo,500.0,89.0,"89,71",972.0,#1F45FC,1000.0,1.0,color,stay,,-179101,0.0,stim,2.0,poldrack-categorize,s499
100.0,2000.0,True,71.0,Color,stay,practice,twobytwo,500.0,71.0,"89,71",778.0,orange,1000.0,9.0,color,stay,,-175483,0.0,stim,3.0,poldrack-categorize,s499
100.0,2000.0,True,89.0,Magnitude,,practice,twobytwo,500.0,89.0,"89,71",1604.0,orange,1000.0,6.0,magnitude,switch,,-171865,0.0,stim,4.0,poldrack-categorize,s499
100.0,2000.0,False,89.0,Magnitude,stay,practice,twobytwo,500.0,71.0,"89,71",843.0,#1F45FC,1000.0,9.0,magnitude,stay,,-168248,0.0,stim,5.0,poldrack-categorize,s499
900.0,2000.0,True,89.0,Color,,practice,twobytwo,500.0,89.0,"89,71",659.0,#1F45FC,1000.0,2.0,color,switch,,-163833,0.0,stim,6.0,poldrack-categorize,s499
900.0,2000.0,True,71.0,Orange-Blue,switch,practice,twobytwo,500.0,71.0,"89,71",696.0,orange,1000.0,2.0,color,stay,,-159417,0.0,stim,7.0,poldrack-categorize,s499
100.0,2000.0,True,71.0,Magnitude,,practice,twobytwo,500.0,71.0,"89,71",1690.0,orange,1000.0,2.0,magnitude,switch,,-155801,0.0,stim,8.0,poldrack-categorize,s499
900.0,2000.0,False,89.0,Magnitude,stay,practice,twobytwo,500.0,71.0,"89,71",1143.0,orange,1000.0,8.0,magnitude,stay,,-151382,0.0,stim,9.0,poldrack-categorize,s499
