,condition,correct,current_position,exp_stage,experiment_exp_id,goal_state,key_press,min_moves,num_moves_made,possible_responses,problem_id,problem_time,rt,start_state,text,time_elapsed,trial_id,trial_type,worker_id
4,,,,,ward_and_allport,,32,,,32,,,7287,,,-146158,instruction,poldrack-single-stim,499
23,,,,,ward_and_allport,,-1,,,none,,,-1,,,2508,practice_start_block,poldrack-single-stim,499
24,UA_with_intermeidate,,"1,0,0,2,0,0,0,0,0",practice,ward_and_allport,"1,2,3,0,0,0,0,0,0",71,3.0,1.0,"89,71",0.0,,4972,"1,0,0,2,3,0,0,0,0",,7986,to_hand,poldrack-single-stim,499
25,UA_with_intermeidate,,"1,0,0,2,0,0,3,0,0",practice,ward_and_allport,"1,2,3,0,0,0,0,0,0",82,3.0,1.0,"89,71,82",0.0,,509,"1,0,0,2,3,0,0,0,0",,8500,to_board,poldrack-single-stim,499
26,UA_with_intermeidate,,"1,0,0,0,0,0,3,0,0",practice,ward_and_allport,"1,2,3,0,0,0,0,0,0",71,3.0,2.0,"89,71,82",0.0,,647,"1,0,0,2,3,0,0,0,0",,9151,to_hand,poldrack-single-stim,499
27,UA_with_intermeidate,,"1,2,0,0,0,0,3,0,0",practice,ward_and_allport,"1,2,3,0,0,0,0,0,0",89,3.0,2.0,"89,71,82",0.0,,454,"1,0,0,2,3,0,0,0,0",,9608,to_board,poldrack-single-stim,499
28,UA_with_intermeidate,,"1,2,0,0,0,0,0,0,0",practice,ward_and_allport,"1,2,3,0,0,0,0,0,0",82,3.0,3.0,"89,82",0.0,,623,"1,0,0,2,3,0,0,0,0",,10233,to_hand,poldrack-single-stim,499
29,UA_with_intermeidate,,"1,2,3,0,0,0,0,0,0",practice,ward_and_allport,"1,2,3,0,0,0,0,0,0",89,3.0,3.0,"89,71,82",0.0,,358,"1,0,0,2,3,0,0,0,0",,10594,to_board,poldrack-single-stim,499
30,,True,,practice,ward_and_allport,,-1,3.0,3.0,none,,10596.0,-1,,,13105,feedback,poldrack-single-stim,499
31,UA_with_intermeidate,,"1,2,0,0,0,0,0,0,0",practice,ward_and_allport,"1,3,2,0,0,0,0,0,0",71,3.0,1.0,"89,71",1.0,,4253,"1,2,0,3,0,0,0,0,0",,17362,to_hand,poldrack-single-stim,499
32,UA_with_intermeidate,,"1,2,0,3,0,0,0,0,0",practice,ward_and_allport,"1,3,2,0,0,0,0,0,0",71,3.0,1.0,"89,71,82",1.0,,782,"1,2,0,3,0,0,0,0,0",,18147,to_board,poldrack-single-stim,499
33,UA_with_intermeidate,,"1,0,0,3,0,0,0,0,0",practice,ward_and_allport,"1,3,2,0,0,0,0,0,0",89,3.0,2.0,"89,71",1.0,,1055,"1,2,0,3,0,0,0,0,0",,19205,to_hand,poldrack-single-stim,499
34,UA_with_intermeidate,,"1,0,0,3,0,0,2,0,0",practice,ward_and_allport,"1,3,2,0,0,0,0,0,0",82,3.0,2.0,"89,71,82",1.0,,498,"1,2,0,3,0,0,0,0,0",,19705,to_board,poldrack-single-stim,499
35,UA_with_intermeidate,,"1,0,0,0,0,0,2,0,0",practice,ward_and_allport,"1,3,2,0,0,0,0,0,0",71,3.0,3.0,"89,71,82",1.0,,473,"1,2,0,3,0,0,0,0,0",,20181,to_hand,poldrack-single-stim,499
36,UA_with_intermeidate,,"1,3,0,0,0,0,2,0,0",practice,ward_and_allport,"1,3,2,0,0,0,0,0,0",89,3.0,3.0,"89,71,82",1.0,,369,"1,2,0,3,0,0,0,0,0",,20553,to_board,poldrack-single-stim,499
37,UA_with_intermeidate,,"1,3,0,0,0,0,0,0,0",practice,ward_and_allport,"1,3,2,0,0,0,0,0,0",82,3.0,4.0,"89,82",1.0,,612,"1,2,0,3,0,0,0,0,0",,21168,to_hand,poldrack-single-stim,499
38,UA_with_intermeidate,,"1,3,2,0,0,0,0,0,0",practice,ward_and_allport,"1,3,2,0,0,0,0,0,0",89,3.0,4.0,"89,71,82",1.0,,390,"1,2,0,3,0,0,0,0,0",,21560,to_board,poldrack-single-stim,499
39,,True,,practice,ward_and_allport,,-1,3.0,4.0,none,,10561.0,-1,,,23665,feedback,poldrack-single-stim,499
40,UA_without_intermeidate,,"0,0,0,1,0,0,3,0,0",practice,ward_and_allport,"3,2,1,0,0,0,0,0,0",71,3.0,1.0,"71,82",2.0,,2443,"0,0,0,1,2,0,3,0,0",,26113,to_hand,poldrack-single-stim,499
41,UA_without_intermeidate,,"0,0,0,1,0,0,3,2,0",practice,ward_and_allport,"3,2,1,0,0,0,0,0,0",82,3.0,1.0,"89,71,82",2.0,,424,"0,0,0,1,2,0,3,0,0",,26539,to_board,poldrack-single-stim,499
42,UA_without_intermeidate,,"0,0,0,0,0,0,3,2,0",practice,ward_and_allport,"3,2,1,0,0,0,0,0,0",71,3.0,2.0,"71,82",2.0,,1233,"0,0,0,1,2,0,3,0,0",,27779,to_hand,poldrack-single-stim,499
43,UA_without_intermeidate,,"0,0,0,0,0,0,3,2,1",practice,ward_and_allport,"3,2,1,0,0,0,0,0,0",82,3.0,2.0,"89,71,82",2.0,,425,"0,0,0,1,2,0,3,0,0",,28206,to_board,poldrack-single-stim,499
44,UA_without_intermeidate,,"0,0,0,0,0,0,3,2,0",practice,ward_and_allport,"3,2,1,0,0,0,0,0,0",82,3.0,3.0,82,2.0,,2948,"0,0,0,1,2,0,3,0,0",,31157,to_hand,poldrack-single-stim,499
45,UA_without_intermeidate,,"0,0,0,1,0,0,3,2,0",practice,ward_and_allport,"3,2,1,0,0,0,0,0,0",71,3.0,3.0,"89,71,82",2.0,,418,"0,0,0,1,2,0,3,0,0",,31577,to_board,poldrack-single-stim,499
46,UA_without_intermeidate,,"0,0,0,0,0,0,3,2,0",practice,ward_and_allport,"3,2,1,0,0,0,0,0,0",71,3.0,4.0,"71,82",2.0,,1182,"0,0,0,1,2,0,3,0,0",,32763,to_hand,poldrack-single-stim,499
47,UA_without_intermeidate,,"0,0,0,1,0,0,3,2,0",practice,ward_and_allport,"3,2,1,0,0,0,0,0,0",71,3.0,4.0,"89,71,82",2.0,,966,"0,0,0,1,2,0,3,0,0",,33731,to_board,poldrack-single-stim,499
48,UA_without_intermeidate,,"0,0,0,1,0,0,3,0,0",practice,ward_and_allport,"3,2,1,0,0,0,0,0,0",82,3.0,5.0,"71,82",2.0,,604,"0,0,0,1,2,0,3,0,0",,34340,to_hand,poldrack-single-stim,499
49,UA_without_intermeidate,,"0,0,0,1,2,0,3,0,0",practice,ward_and_allport,"3,2,1,0,0,0,0,0,0",71,3.0,5.0,"89,71,82",2.0,,382,"0,0,0,1,2,0,3,0,0",,34725,to_board,poldrack-single-stim,499
50,UA_without_intermeidate,,"0,0,0,1,2,0,0,0,0",practice,ward_and_allport,"3,2,1,0,0,0,0,0,0",82,3.0,6.0,"71,82",2.0,,653,"0,0,0,1,2,0,3,0,0",,35382,to_hand,poldrack-single-stim,499
51,UA_without_intermeidate,,"3,0,0,1,2,0,0,0,0",practice,ward_and_allport,"3,2,1,0,0,0,0,0,0",89,3.0,6.0,"89,71,82",2.0,,497,"0,0,0,1,2,0,3,0,0",,35881,to_board,poldrack-single-stim,499
52,UA_without_intermeidate,,"3,0,0,1,0,0,0,0,0",practice,ward_and_allport,"3,2,1,0,0,0,0,0,0",71,3.0,7.0,"89,71",2.0,,651,"0,0,0,1,2,0,3,0,0",,36538,to_hand,poldrack-single-stim,499
53,UA_without_intermeidate,,"3,2,0,1,0,0,0,0,0",practice,ward_and_allport,"3,2,1,0,0,0,0,0,0",89,3.0,7.0,"89,71,82",2.0,,695,"0,0,0,1,2,0,3,0,0",,37235,to_board,poldrack-single-stim,499
54,UA_without_intermeidate,,"3,2,0,0,0,0,0,0,0",practice,ward_and_allport,"3,2,1,0,0,0,0,0,0",71,3.0,8.0,"89,71",2.0,,1182,"0,0,0,1,2,0,3,0,0",,38422,to_hand,poldrack-single-stim,499
55,UA_without_intermeidate,,"3,2,1,0,0,0,0,0,0",practice,ward_and_allport,"3,2,1,0,0,0,0,0,0",89,3.0,8.0,"89,71,82",2.0,,535,"0,0,0,1,2,0,3,0,0",,38959,to_board,poldrack-single-stim,499
56,,True,,practice,ward_and_allport,,-1,3.0,8.0,none,,17498.0,-1,,,41164,feedback,poldrack-single-stim,499
57,UA_without_intermeidate,,"0,0,0,1,0,0,3,0,0",practice,ward_and_allport,"2,3,1,0,0,0,0,0,0",71,3.0,1.0,"71,82",3.0,,2306,"0,0,0,1,2,0,3,0,0",,43474,to_hand,poldrack-single-stim,499
58,UA_without_intermeidate,,"2,0,0,1,0,0,3,0,0",practice,ward_and_allport,"2,3,1,0,0,0,0,0,0",89,3.0,1.0,"89,71,82",3.0,,612,"0,0,0,1,2,0,3,0,0",,44088,to_board,poldrack-single-stim,499
59,UA_without_intermeidate,,"2,0,0,1,0,0,0,0,0",practice,ward_and_allport,"2,3,1,0,0,0,0,0,0",82,3.0,2.0,"89,71,82",3.0,,703,"0,0,0,1,2,0,3,0,0",,44796,to_hand,poldrack-single-stim,499
