,coded_response,experiment_exp_id,item_coding,item_text,key_press,options,possible_responses,response,rt,survey,text,time_elapsed,trial_id,trial_type,worker_id
6,,survey_medley,,,32,,32,,66126,,,-35469,instruction,poldrack-single-stim,512
25,3.0,survey_medley,reverse,Pleasure and fun sometimes keep me from getting work done.,71,"<span style=""font-weight: normal; font-size: 30px"">Not at all</span>,1,2,3,4,5,<span style=""font-weight: normal; font-size: 30px"">Very much</span>","66,89,71,82,77",3.0,3311,brief,,10209,,poldrack-single-stim,512
26,3.0,survey_medley,forward,"Sometimes when I feel bad, I can't seem to stop what I am doing even though it is making me feel worse.",71,"<span style=""font-size: 30px"">Disagree Strongly</span>,<span style=""font-size: 30px"">Disagree Some</span>,<span style=""font-size: 30px"">Agree Some</span>,<span style=""font-size: 30px"">Agree Strongly</span>","66,89,71,82",3.0,4955,upps,,19415,,poldrack-single-stim,512
27,2.0,survey_medley,forward,I am good at resisting temptation.,89,"<span style=""font-weight: normal; font-size: 30px"">Not at all</span>,1,2,3,4,5,<span style=""font-weight: normal; font-size: 30px"">Very much</span>","66,89,71,82,77",2.0,4922,brief,,28689,,poldrack-single-stim,512
28,3.0,survey_medley,reverse,New ideas and projects sometimes distract me from previous ones.,71,"<span style=""font-weight: normal; font-size: 30px"">Not at all like me</span>,1,2,3,4,5,<span style=""font-weight: normal; font-size: 30px"">Very much like me</span>","66,89,71,82,77",3.0,4554,grit,,37895,,poldrack-single-stim,512
29,3.0,survey_medley,forward,There are only limited possibilities in my future.,71,"<span style=""font-weight: normal; font-size: 30px"">Very Untrue</span>,1,2,3,4,5,<span style=""font-weight: normal; font-size: 30px"">Very True</span>","66,89,71,82,77",3.0,3712,future_time,,47305,,poldrack-single-stim,512
30,2.0,survey_medley,forward,I refuse things that are bad for me.,89,"<span style=""font-weight: normal; font-size: 30px"">Not at all</span>,1,2,3,4,5,<span style=""font-weight: normal; font-size: 30px"">Very much</span>","66,89,71,82,77",2.0,5272,brief,,56443,,poldrack-single-stim,512
31,2.0,survey_medley,reverse,I have difficulty maintaining my focus on projects that take more than a few months to complete.,82,"<span style=""font-weight: normal; font-size: 30px"">Not at all like me</span>,1,2,3,4,5,<span style=""font-weight: normal; font-size: 30px"">Very much like me</span>","66,89,71,82,77",4.0,5098,grit,,65717,,poldrack-single-stim,512
32,4.0,survey_medley,forward,I could do anything I want in the future.,82,"<span style=""font-weight: normal; font-size: 30px"">Very Untrue</span>,1,2,3,4,5,<span style=""font-weight: normal; font-size: 30px"">Very True</span>","66,89,71,82,77",4.0,3624,future_time,,75060,,poldrack-single-stim,512
33,3.0,survey_medley,forward,People would say that I have iron self-discipline.,71,"<span style=""font-weight: normal; font-size: 30px"">Not at all</span>,1,2,3,4,5,<span style=""font-weight: normal; font-size: 30px"">Very much</span>","66,89,71,82,77",3.0,2651,brief,,84198,,poldrack-single-stim,512
34,2.0,survey_medley,forward,I tend to act without thinking when I am really excited.,89,"<span style=""font-size: 30px"">Disagree Strongly</span>,<span style=""font-size: 30px"">Disagree Some</span>,<span style=""font-size: 30px"">Agree Some</span>,<span style=""font-size: 30px"">Agree Strongly</span>","66,89,71,82",2.0,4351,upps,,93539,,poldrack-single-stim,512
35,3.0,survey_medley,forward,I finish whatever I begin.,71,"<span style=""font-weight: normal; font-size: 30px"">Not at all like me</span>,1,2,3,4,5,<span style=""font-weight: normal; font-size: 30px"">Very much like me</span>","66,89,71,82,77",3.0,3088,grit,,102609,,poldrack-single-stim,512
36,3.0,survey_medley,reverse,I often set a goal but later choose to pursue a different one.,71,"<span style=""font-weight: normal; font-size: 30px"">Not at all like me</span>,1,2,3,4,5,<span style=""font-weight: normal; font-size: 30px"">Very much like me</span>","66,89,71,82,77",3.0,4533,grit,,111611,,poldrack-single-stim,512
37,4.0,survey_medley,forward,"As I get older, I begin to experience time as limited.",82,"<span style=""font-weight: normal; font-size: 30px"">Very Untrue</span>,1,2,3,4,5,<span style=""font-weight: normal; font-size: 30px"">Very True</span>","66,89,71,82,77",4.0,7641,future_time,,120817,,poldrack-single-stim,512
38,4.0,survey_medley,forward,My future is filled with possibilities.,82,"<span style=""font-weight: normal; font-size: 30px"">Very Untrue</span>,1,2,3,4,5,<span style=""font-weight: normal; font-size: 30px"">Very True</span>","66,89,71,82,77",4.0,1948,future_time,,130839,,poldrack-single-stim,512
39,4.0,survey_medley,forward,My future seems infinite to me.,82,"<span style=""font-weight: normal; font-size: 30px"">Very Untrue</span>,1,2,3,4,5,<span style=""font-weight: normal; font-size: 30px"">Very True</span>","66,89,71,82,77",4.0,5097,future_time,,139842,,poldrack-single-stim,512
40,3.0,survey_medley,reverse,I wish I had more self-discipline.,71,"<span style=""font-weight: normal; font-size: 30px"">Not at all</span>,1,2,3,4,5,<span style=""font-weight: normal; font-size: 30px"">Very much</span>","66,89,71,82,77",3.0,4780,brief,,148843,,poldrack-single-stim,512
41,5.0,survey_medley,forward,Most of my life lies ahead of me.,77,"<span style=""font-weight: normal; font-size: 30px"">Very Untrue</span>,1,2,3,4,5,<span style=""font-weight: normal; font-size: 30px"">Very True</span>","66,89,71,82,77",5.0,2047,future_time,,157914,,poldrack-single-stim,512
42,4.0,survey_medley,forward,There is plenty of time left in my life to make new plans.,82,"<span style=""font-weight: normal; font-size: 30px"">Very Untrue</span>,1,2,3,4,5,<span style=""font-weight: normal; font-size: 30px"">Very True</span>","66,89,71,82,77",4.0,3309,future_time,,167392,,poldrack-single-stim,512
43,3.0,survey_medley,forward,I am able to work effectively toward long-term goals.,71,"<span style=""font-weight: normal; font-size: 30px"">Not at all</span>,1,2,3,4,5,<span style=""font-weight: normal; font-size: 30px"">Very much</span>","66,89,71,82,77",3.0,5003,brief,,176530,,poldrack-single-stim,512
44,4.0,survey_medley,reverse,I say inappropriate things.,89,"<span style=""font-weight: normal; font-size: 30px"">Not at all</span>,1,2,3,4,5,<span style=""font-weight: normal; font-size: 30px"">Very much</span>","66,89,71,82,77",2.0,2858,brief,,185599,,poldrack-single-stim,512
45,4.0,survey_medley,forward,Many opportunities await me in the future.,82,"<span style=""font-weight: normal; font-size: 30px"">Very Untrue</span>,1,2,3,4,5,<span style=""font-weight: normal; font-size: 30px"">Very True</span>","66,89,71,82,77",4.0,2911,future_time,,194602,,poldrack-single-stim,512
46,3.0,survey_medley,reverse,I am lazy.,71,"<span style=""font-weight: normal; font-size: 30px"">Not at all</span>,1,2,3,4,5,<span style=""font-weight: normal; font-size: 30px"">Very much</span>","66,89,71,82,77",3.0,2985,brief,,203603,,poldrack-single-stim,512
47,3.0,survey_medley,reverse,I have been obsessed with a certain idea or project for a short time but later lost interest.,71,"<span style=""font-weight: normal; font-size: 30px"">Not at all like me</span>,1,2,3,4,5,<span style=""font-weight: normal; font-size: 30px"">Very much like me</span>","66,89,71,82,77",3.0,4353,grit,,212809,,poldrack-single-stim,512
48,1.0,survey_medley,forward,Would you enjoy the sensation of skiing very fast down a high mountain slope?,66,"No,Yes","66,89",1.0,3818,impulsive_venture,,222014,,poldrack-single-stim,512
