SS_delay,SS_duration,SS_stimulus,SS_trial_type,block_duration,condition,correct,correct_response,exp_stage,experiment_exp_id,feedback_duration,key_press,passed_check,possible_responses,rt,stim_duration,stop_response,stopped,text,time_elapsed,timing_post_trial,trial_id,trial_num,trial_type,worker_id
,,,,1850.0,,1.0,89.0,practice,motor_selective_stop_signal,500.0,89.0,True,"89,71",1157,850.0,,False,,-191757,250.0,stim,0.0,poldrack-categorize,s513
,,,,1850.0,,1.0,89.0,practice,motor_selective_stop_signal,500.0,89.0,True,"89,71",595,850.0,,False,,-189152,250.0,stim,1.0,poldrack-categorize,s513
,,,,1850.0,,1.0,71.0,practice,motor_selective_stop_signal,500.0,71.0,True,"89,71",600,850.0,,False,,-186548,250.0,stim,2.0,poldrack-categorize,s513
,,,,1850.0,,1.0,71.0,practice,motor_selective_stop_signal,500.0,71.0,True,"89,71",531,850.0,,False,,-183945,250.0,stim,3.0,poldrack-categorize,s513
,,,,1850.0,,1.0,71.0,practice,motor_selective_stop_signal,500.0,71.0,True,"89,71",952,850.0,,False,,-181342,250.0,stim,4.0,poldrack-categorize,s513
,,,,1850.0,,1.0,71.0,practice,motor_selective_stop_signal,500.0,71.0,True,"89,71",1115,850.0,,False,,-178739,250.0,stim,5.0,poldrack-categorize,s513
,,,,1850.0,,1.0,71.0,practice,motor_selective_stop_signal,500.0,71.0,True,"89,71",1524,850.0,,False,,-176136,250.0,stim,6.0,poldrack-categorize,s513
,,,,1850.0,,1.0,89.0,practice,motor_selective_stop_signal,500.0,89.0,True,"89,71",620,850.0,,False,,-173532,250.0,stim,7.0,poldrack-categorize,s513
,,,,1850.0,,1.0,89.0,practice,motor_selective_stop_signal,500.0,89.0,True,"89,71",583,850.0,,False,,-170929,250.0,stim,8.0,poldrack-categorize,s513
,,,,1850.0,,1.0,89.0,practice,motor_selective_stop_signal,500.0,89.0,True,"89,71",500,850.0,,False,,-168326,250.0,stim,9.0,poldrack-categorize,s513
,,,,1850.0,,1.0,71.0,practice,motor_selective_stop_signal,500.0,71.0,True,"89,71",880,850.0,,False,,-165722,250.0,stim,10.0,poldrack-categorize,s513
,,,,1850.0,,1.0,89.0,practice,motor_selective_stop_signal,500.0,89.0,True,"89,71",687,850.0,,False,,-163119,250.0,stim,11.0,poldrack-categorize,s513
400.0,500.0,<div class = coverbox></div><div class = stopbox><div class = centered-shape id = stop-signal></div><div class = centered-shape id = stop-signal-inner></div></div>,stop,2250.0,ignore,1.0,71.0,test,motor_selective_stop_signal,,71.0,True,"89,71",1949,850.0,89.0,False,,5257,0.0,stim,0.0,stop-signal,s513
