,SS_delay,SS_duration,SS_stimulus,SS_trial_type,condition,correct,correct_response,exp_stage,experiment_exp_id,key_press,passed_check,possible_responses,rt,stop_response,stopped,text,time_elapsed,trial_id,trial_num,trial_type,worker_id
5,,,,,,1.0,71.0,practice,motor_selective_stop_signal,71.0,True,"89,71",856,,False,,-67805,stim,0.0,poldrack-categorize,s518
6,,,,,,1.0,89.0,practice,motor_selective_stop_signal,89.0,True,"89,71",755,,False,,-65201,stim,1.0,poldrack-categorize,s518
7,,,,,,1.0,89.0,practice,motor_selective_stop_signal,89.0,True,"89,71",949,,False,,-62599,stim,2.0,poldrack-categorize,s518
8,,,,,,1.0,71.0,practice,motor_selective_stop_signal,71.0,True,"89,71",510,,False,,-59996,stim,3.0,poldrack-categorize,s518
9,,,,,,1.0,89.0,practice,motor_selective_stop_signal,89.0,True,"89,71",586,,False,,-57394,stim,4.0,poldrack-categorize,s518
10,,,,,,1.0,89.0,practice,motor_selective_stop_signal,89.0,True,"89,71",544,,False,,-54792,stim,5.0,poldrack-categorize,s518
11,,,,,,1.0,89.0,practice,motor_selective_stop_signal,89.0,True,"89,71",483,,False,,-52189,stim,6.0,poldrack-categorize,s518
12,,,,,,1.0,71.0,practice,motor_selective_stop_signal,71.0,True,"89,71",453,,False,,-49586,stim,7.0,poldrack-categorize,s518
13,,,,,,1.0,71.0,practice,motor_selective_stop_signal,71.0,True,"89,71",461,,False,,-46984,stim,8.0,poldrack-categorize,s518
14,,,,,,1.0,89.0,practice,motor_selective_stop_signal,89.0,True,"89,71",640,,False,,-44381,stim,9.0,poldrack-categorize,s518
15,,,,,,1.0,71.0,practice,motor_selective_stop_signal,71.0,True,"89,71",571,,False,,-41777,stim,10.0,poldrack-categorize,s518
16,,,,,,1.0,71.0,practice,motor_selective_stop_signal,71.0,True,"89,71",435,,False,,-39174,stim,11.0,poldrack-categorize,s518
36,350.0,500.0,<div class = coverbox></div><div class = stopbox><div class = centered-shape id = stop-signal></div><div class = centered-shape id = stop-signal-inner></div></div>,stop,ignore,1.0,71.0,test,motor_selective_stop_signal,71.0,True,"89,71",924,89.0,False,,5255,stim,0.0,stop-signal,s518
37,350.0,500.0,<div class = coverbox></div><div class = stopbox><div class = centered-shape id = stop-signal></div><div class = centered-shape id = stop-signal-inner></div></div>,go,go,1.0,71.0,test,motor_selective_stop_signal,71.0,True,"89,71",617,89.0,False,,7507,stim,1.0,stop-signal,s518
