SS_delay,SS_duration,SS_stimulus,SS_trial_type,block_duration,condition,correct,correct_response,exp_stage,experiment_exp_id,feedback_duration,key_press,passed_check,possible_responses,rt,stim_duration,stop_response,stopped,text,time_elapsed,timing_post_trial,trial_id,trial_num,trial_type,worker_id
,,,,1850.0,,1.0,71.0,practice,motor_selective_stop_signal,500.0,71.0,False,"89,71",972,850.0,,False,,-69139,250.0,stim,0.0,poldrack-categorize,s519
,,,,1850.0,,1.0,89.0,practice,motor_selective_stop_signal,500.0,89.0,False,"89,71",682,850.0,,False,,-66534,250.0,stim,1.0,poldrack-categorize,s519
,,,,1850.0,,1.0,71.0,practice,motor_selective_stop_signal,500.0,71.0,False,"89,71",700,850.0,,False,,-63932,250.0,stim,2.0,poldrack-categorize,s519
,,,,1850.0,,1.0,89.0,practice,motor_selective_stop_signal,500.0,89.0,False,"89,71",615,850.0,,False,,-61329,250.0,stim,3.0,poldrack-categorize,s519
,,,,1850.0,,1.0,71.0,practice,motor_selective_stop_signal,500.0,71.0,False,"89,71",693,850.0,,False,,-58727,250.0,stim,4.0,poldrack-categorize,s519
,,,,1850.0,,1.0,89.0,practice,motor_selective_stop_signal,500.0,89.0,False,"89,71",594,850.0,,False,,-56123,250.0,stim,5.0,poldrack-categorize,s519
,,,,1850.0,,1.0,71.0,practice,motor_selective_stop_signal,500.0,71.0,False,"89,71",544,850.0,,False,,-53520,250.0,stim,6.0,poldrack-categorize,s519
,,,,1850.0,,1.0,89.0,practice,motor_selective_stop_signal,500.0,89.0,False,"89,71",548,850.0,,False,,-50918,250.0,stim,7.0,poldrack-categorize,s519
,,,,1850.0,,1.0,71.0,practice,motor_selective_stop_signal,500.0,71.0,False,"89,71",539,850.0,,False,,-48315,250.0,stim,8.0,poldrack-categorize,s519
,,,,1850.0,,1.0,89.0,practice,motor_selective_stop_signal,500.0,89.0,False,"89,71",479,850.0,,False,,-45713,250.0,stim,9.0,poldrack-categorize,s519
,,,,1850.0,,1.0,71.0,practice,motor_selective_stop_signal,500.0,71.0,False,"89,71",542,850.0,,False,,-43110,250.0,stim,10.0,poldrack-categorize,s519
,,,,1850.0,,1.0,89.0,practice,motor_selective_stop_signal,500.0,89.0,False,"89,71",486,850.0,,False,,-40507,250.0,stim,11.0,poldrack-categorize,s519
