,block_duration,condition,correct,correct_response,exp_stage,experiment_exp_id,key_press,possible_responses,rt,stim_duration,text,time_elapsed,trial_id,trial_num,trial_type,worker_id
7,1700.0,AX,1.0,89.0,practice,dot_pattern_expectancy,89.0,"89,71",877,500.0,,-87450,probe,0.0,poldrack-single-stim,s519
11,1500.0,AX,1.0,89.0,practice,dot_pattern_expectancy,89.0,"89,71",777,500.0,,-82942,probe,1.0,poldrack-single-stim,s519
15,1500.0,BY,1.0,71.0,practice,dot_pattern_expectancy,71.0,"89,71",426,500.0,,-78434,probe,2.0,poldrack-single-stim,s519
19,1500.0,BY,1.0,71.0,practice,dot_pattern_expectancy,71.0,"89,71",688,500.0,,-73928,probe,3.0,poldrack-single-stim,s519
23,1900.0,AY,1.0,71.0,practice,dot_pattern_expectancy,71.0,"89,71",841,500.0,,-69022,probe,4.0,poldrack-single-stim,s519
27,1500.0,AX,1.0,89.0,practice,dot_pattern_expectancy,89.0,"89,71",791,500.0,,-64515,probe,5.0,poldrack-single-stim,s519
31,1500.0,BX,1.0,71.0,practice,dot_pattern_expectancy,71.0,"89,71",707,500.0,,-60007,probe,6.0,poldrack-single-stim,s519
35,2100.0,AX,1.0,89.0,practice,dot_pattern_expectancy,89.0,"89,71",753,500.0,,-54902,probe,7.0,poldrack-single-stim,s519
39,2300.0,BX,1.0,71.0,practice,dot_pattern_expectancy,71.0,"89,71",674,500.0,,-49594,probe,8.0,poldrack-single-stim,s519
43,2500.0,AY,1.0,71.0,practice,dot_pattern_expectancy,71.0,"89,71",756,500.0,,-44087,probe,9.0,poldrack-single-stim,s519
66,1772.0,AX,1.0,89.0,test,dot_pattern_expectancy,89.0,"89,71",830,500.0,,7280,probe,0.0,poldrack-single-stim,s519
69,1500.0,AX,1.0,89.0,test,dot_pattern_expectancy,89.0,"89,71",817,500.0,,11285,probe,1.0,poldrack-single-stim,s519
72,2452.0,AY,1.0,71.0,test,dot_pattern_expectancy,71.0,"89,71",780,500.0,,16242,probe,2.0,poldrack-single-stim,s519
75,1772.0,AY,1.0,71.0,test,dot_pattern_expectancy,71.0,"89,71",748,500.0,,20519,probe,3.0,poldrack-single-stim,s519
78,1908.0,AX,1.0,89.0,test,dot_pattern_expectancy,89.0,"89,71",773,500.0,,24931,probe,4.0,poldrack-single-stim,s519
81,1908.0,AX,1.0,89.0,test,dot_pattern_expectancy,89.0,"89,71",897,500.0,,29345,probe,5.0,poldrack-single-stim,s519
84,2588.0,AX,1.0,89.0,test,dot_pattern_expectancy,89.0,"89,71",727,500.0,,34438,probe,6.0,poldrack-single-stim,s519
87,1500.0,AY,1.0,71.0,test,dot_pattern_expectancy,71.0,"89,71",1103,500.0,,38442,probe,7.0,poldrack-single-stim,s519
90,1500.0,BY,1.0,71.0,test,dot_pattern_expectancy,71.0,"89,71",764,500.0,,42447,probe,8.0,poldrack-single-stim,s519
93,1500.0,BY,1.0,71.0,test,dot_pattern_expectancy,71.0,"89,71",804,500.0,,46454,probe,9.0,poldrack-single-stim,s519
96,1636.0,AX,1.0,89.0,test,dot_pattern_expectancy,89.0,"89,71",834,500.0,,50595,probe,10.0,poldrack-single-stim,s519
99,2044.0,BX,1.0,71.0,test,dot_pattern_expectancy,71.0,"89,71",916,500.0,,55144,probe,11.0,poldrack-single-stim,s519
102,1772.0,AX,1.0,89.0,test,dot_pattern_expectancy,89.0,"89,71",787,500.0,,59421,probe,12.0,poldrack-single-stim,s519
105,2588.0,BX,1.0,71.0,test,dot_pattern_expectancy,71.0,"89,71",766,500.0,,64514,probe,13.0,poldrack-single-stim,s519
108,1500.0,AY,1.0,71.0,test,dot_pattern_expectancy,71.0,"89,71",739,500.0,,68519,probe,14.0,poldrack-single-stim,s519
111,2452.0,AX,1.0,89.0,test,dot_pattern_expectancy,89.0,"89,71",548,500.0,,73477,probe,15.0,poldrack-single-stim,s519
114,1636.0,BY,1.0,71.0,test,dot_pattern_expectancy,71.0,"89,71",859,500.0,,77619,probe,16.0,poldrack-single-stim,s519
117,1636.0,AX,1.0,89.0,test,dot_pattern_expectancy,89.0,"89,71",829,500.0,,81761,probe,17.0,poldrack-single-stim,s519
120,1500.0,AX,1.0,89.0,test,dot_pattern_expectancy,89.0,"89,71",806,500.0,,85766,probe,18.0,poldrack-single-stim,s519
123,1636.0,BY,1.0,71.0,test,dot_pattern_expectancy,71.0,"89,71",786,500.0,,89907,probe,19.0,poldrack-single-stim,s519
126,1500.0,AX,1.0,89.0,test,dot_pattern_expectancy,89.0,"89,71",866,500.0,,93912,probe,20.0,poldrack-single-stim,s519
129,2180.0,AY,1.0,71.0,test,dot_pattern_expectancy,71.0,"89,71",847,500.0,,98597,probe,21.0,poldrack-single-stim,s519
132,1500.0,AX,1.0,89.0,test,dot_pattern_expectancy,89.0,"89,71",871,500.0,,102606,probe,22.0,poldrack-single-stim,s519
135,1908.0,AX,1.0,89.0,test,dot_pattern_expectancy,89.0,"89,71",838,500.0,,107018,probe,23.0,poldrack-single-stim,s519
