block_duration,choice,exp_stage,experiment_exp_id,key_press,large_amount,later_delay,possible_responses,rt,small_amount,stim_duration,text,time_elapsed,timing_post_trial,trial_id,trial_type,worker_id
1353.0,,practice,discount_fixed,89,,,"89,71",1353,,1353.0,,-40775,1000.0,stim,poldrack-single-stim,s524
4636.0,larger_later,,discount_fixed,89,67.0,74.0,"89,71",1134,20.0,4000.0,,7642,0.0,,poldrack-single-stim,s524
5316.0,larger_later,,discount_fixed,89,29.0,58.0,"89,71",925,20.0,4000.0,,12961,0.0,,poldrack-single-stim,s524
4976.0,larger_later,,discount_fixed,89,39.0,104.0,"89,71",1114,20.0,4000.0,,17939,0.0,,poldrack-single-stim,s524
4568.0,larger_later,,discount_fixed,89,33.0,103.0,"89,71",1108,20.0,4000.0,,22510,0.0,,poldrack-single-stim,s524
5520.0,larger_later,,discount_fixed,89,33.0,78.0,"89,71",887,20.0,4000.0,,28032,0.0,,poldrack-single-stim,s524
5588.0,larger_later,,discount_fixed,89,74.0,52.0,"89,71",3808,20.0,4000.0,,33622,0.0,,poldrack-single-stim,s524
5792.0,larger_later,,discount_fixed,89,28.0,132.0,"89,71",556,20.0,4000.0,,37664,0.0,,poldrack-single-stim,s524
4568.0,larger_later,,discount_fixed,89,28.0,59.0,"89,71",970,20.0,4000.0,,42234,0.0,,poldrack-single-stim,s524
5112.0,larger_later,,discount_fixed,89,28.0,163.0,"89,71",752,20.0,4000.0,,47348,0.0,,poldrack-single-stim,s524
4500.0,larger_later,,discount_fixed,89,32.0,74.0,"89,71",1367,20.0,4000.0,,51850,0.0,,poldrack-single-stim,s524
4840.0,larger_later,,discount_fixed,89,57.0,89.0,"89,71",812,20.0,4000.0,,56692,0.0,,poldrack-single-stim,s524
4568.0,larger_later,,discount_fixed,89,70.0,108.0,"89,71",887,20.0,4000.0,,61261,0.0,,poldrack-single-stim,s524
5384.0,larger_later,,discount_fixed,89,72.0,95.0,"89,71",656,20.0,4000.0,,66647,0.0,,poldrack-single-stim,s524
5044.0,larger_later,,discount_fixed,89,30.0,36.0,"89,71",1105,20.0,4000.0,,71693,0.0,,poldrack-single-stim,s524
4704.0,false,,discount_fixed,-1,41.0,129.0,"89,71",-1,20.0,4000.0,,76399,0.0,,poldrack-single-stim,s524
