,SS_delay,SS_duration,SS_stimulus,SS_trial_type,block_duration,correct,correct_response,exp_stage,experiment_exp_id,feedback_duration,key_press,passed_check,possible_responses,rt,stim_duration,stopped,text,time_elapsed,trial_id,trial_num,trial_type,worker_id
5,,,,,1850.0,0.0,89.0,practice,stop_signal,500.0,-1.0,True,"89,71",-1,850.0,True,,-93793,stim,0.0,poldrack-categorize,s526
6,,,,,1850.0,1.0,71.0,practice,stop_signal,500.0,71.0,True,"89,71",788,850.0,False,,-91189,stim,1.0,poldrack-categorize,s526
7,,,,,1850.0,1.0,89.0,practice,stop_signal,500.0,89.0,True,"89,71",647,850.0,False,,-88586,stim,2.0,poldrack-categorize,s526
8,,,,,1850.0,1.0,71.0,practice,stop_signal,500.0,71.0,True,"89,71",481,850.0,False,,-85983,stim,3.0,poldrack-categorize,s526
9,,,,,1850.0,1.0,71.0,practice,stop_signal,500.0,71.0,True,"89,71",614,850.0,False,,-83377,stim,4.0,poldrack-categorize,s526
10,,,,,1850.0,1.0,89.0,practice,stop_signal,500.0,89.0,True,"89,71",604,850.0,False,,-80772,stim,5.0,poldrack-categorize,s526
11,,,,,1850.0,1.0,71.0,practice,stop_signal,500.0,71.0,True,"89,71",536,850.0,False,,-78170,stim,6.0,poldrack-categorize,s526
12,,,,,1850.0,1.0,71.0,practice,stop_signal,500.0,71.0,True,"89,71",495,850.0,False,,-75565,stim,7.0,poldrack-categorize,s526
13,,,,,1850.0,1.0,89.0,practice,stop_signal,500.0,89.0,True,"89,71",729,850.0,False,,-72959,stim,8.0,poldrack-categorize,s526
14,,,,,1850.0,1.0,89.0,practice,stop_signal,500.0,89.0,True,"89,71",692,850.0,False,,-70356,stim,9.0,poldrack-categorize,s526
15,,,,,1850.0,1.0,89.0,practice,stop_signal,500.0,89.0,True,"89,71",781,850.0,False,,-67753,stim,10.0,poldrack-categorize,s526
16,,,,,1850.0,1.0,71.0,practice,stop_signal,500.0,71.0,True,"89,71",872,850.0,False,,-65149,stim,11.0,poldrack-categorize,s526
36,300.0,500.0,<div class = coverbox></div><div class = stopbox><div class = centered-shape id = stop-signal></div><div class = centered-shape id = stop-signal-inner></div></div>,go,2386.0,1.0,71.0,test,stop_signal,,71.0,True,"89,71",445,850.0,False,,5396,stim,0.0,stop-signal,s526
37,300.0,500.0,<div class = coverbox></div><div class = stopbox><div class = centered-shape id = stop-signal></div><div class = centered-shape id = stop-signal-inner></div></div>,go,2522.0,1.0,89.0,test,stop_signal,,89.0,True,"89,71",615,850.0,False,,7921,stim,1.0,stop-signal,s526
38,300.0,500.0,<div class = coverbox></div><div class = stopbox><div class = centered-shape id = stop-signal></div><div class = centered-shape id = stop-signal-inner></div></div>,stop,2930.0,0.0,71.0,test,stop_signal,,-1.0,True,"89,71",-1,850.0,True,,10853,stim,2.0,stop-signal,s526
39,350.0,500.0,<div class = coverbox></div><div class = stopbox><div class = centered-shape id = stop-signal></div><div class = centered-shape id = stop-signal-inner></div></div>,go,2522.0,1.0,71.0,test,stop_signal,,71.0,True,"89,71",626,850.0,False,,13378,stim,3.0,stop-signal,s526
40,350.0,500.0,<div class = coverbox></div><div class = stopbox><div class = centered-shape id = stop-signal></div><div class = centered-shape id = stop-signal-inner></div></div>,go,2522.0,1.0,89.0,test,stop_signal,,89.0,True,"89,71",635,850.0,False,,15903,stim,4.0,stop-signal,s526
41,350.0,500.0,<div class = coverbox></div><div class = stopbox><div class = centered-shape id = stop-signal></div><div class = centered-shape id = stop-signal-inner></div></div>,go,2250.0,1.0,71.0,test,stop_signal,,71.0,True,"89,71",702,850.0,False,,18155,stim,5.0,stop-signal,s526
42,350.0,500.0,<div class = coverbox></div><div class = stopbox><div class = centered-shape id = stop-signal></div><div class = centered-shape id = stop-signal-inner></div></div>,stop,2522.0,0.0,89.0,test,stop_signal,,-1.0,True,"89,71",-1,850.0,True,,20679,stim,6.0,stop-signal,s526
43,400.0,500.0,<div class = coverbox></div><div class = stopbox><div class = centered-shape id = stop-signal></div><div class = centered-shape id = stop-signal-inner></div></div>,go,2386.0,1.0,89.0,test,stop_signal,,89.0,True,"89,71",662,850.0,False,,23068,stim,7.0,stop-signal,s526
44,400.0,500.0,<div class = coverbox></div><div class = stopbox><div class = centered-shape id = stop-signal></div><div class = centered-shape id = stop-signal-inner></div></div>,go,2250.0,1.0,71.0,test,stop_signal,,71.0,True,"89,71",511,850.0,False,,25321,stim,8.0,stop-signal,s526
45,400.0,500.0,<div class = coverbox></div><div class = stopbox><div class = centered-shape id = stop-signal></div><div class = centered-shape id = stop-signal-inner></div></div>,go,2386.0,1.0,89.0,test,stop_signal,,89.0,True,"89,71",651,850.0,False,,27710,stim,9.0,stop-signal,s526
46,400.0,500.0,<div class = coverbox></div><div class = stopbox><div class = centered-shape id = stop-signal></div><div class = centered-shape id = stop-signal-inner></div></div>,go,2250.0,1.0,71.0,test,stop_signal,,71.0,True,"89,71",649,850.0,False,,29962,stim,10.0,stop-signal,s526
47,400.0,500.0,<div class = coverbox></div><div class = stopbox><div class = centered-shape id = stop-signal></div><div class = centered-shape id = stop-signal-inner></div></div>,stop,2386.0,1.0,71.0,test,stop_signal,,71.0,True,"89,71",571,850.0,False,,32352,stim,11.0,stop-signal,s526
48,350.0,500.0,<div class = coverbox></div><div class = stopbox><div class = centered-shape id = stop-signal></div><div class = centered-shape id = stop-signal-inner></div></div>,go,2522.0,1.0,89.0,test,stop_signal,,89.0,True,"89,71",775,850.0,False,,34877,stim,12.0,stop-signal,s526
49,350.0,500.0,<div class = coverbox></div><div class = stopbox><div class = centered-shape id = stop-signal></div><div class = centered-shape id = stop-signal-inner></div></div>,stop,2250.0,0.0,71.0,test,stop_signal,,-1.0,True,"89,71",-1,850.0,True,,37131,stim,13.0,stop-signal,s526
50,400.0,500.0,<div class = coverbox></div><div class = stopbox><div class = centered-shape id = stop-signal></div><div class = centered-shape id = stop-signal-inner></div></div>,stop,2386.0,1.0,89.0,test,stop_signal,,89.0,True,"89,71",589,850.0,False,,39520,stim,14.0,stop-signal,s526
