,SS_delay,SS_duration,SS_stimulus,SS_trial_type,correct,correct_response,exp_stage,experiment_exp_id,key_press,passed_check,possible_responses,rt,stopped,text,time_elapsed,trial_id,trial_num,trial_type,worker_id
5,,,,,1.0,89.0,practice,stop_signal,89.0,True,"89,71",872,False,,-91956,stim,0.0,poldrack-categorize,s533
6,,,,,0.0,71.0,practice,stop_signal,89.0,True,"89,71",792,False,,-89350,stim,1.0,poldrack-categorize,s533
7,,,,,1.0,71.0,practice,stop_signal,71.0,True,"89,71",921,False,,-86745,stim,2.0,poldrack-categorize,s533
8,,,,,1.0,71.0,practice,stop_signal,71.0,True,"89,71",499,False,,-84139,stim,3.0,poldrack-categorize,s533
9,,,,,1.0,89.0,practice,stop_signal,89.0,True,"89,71",534,False,,-81534,stim,4.0,poldrack-categorize,s533
10,,,,,1.0,71.0,practice,stop_signal,71.0,True,"89,71",620,False,,-78927,stim,5.0,poldrack-categorize,s533
11,,,,,1.0,89.0,practice,stop_signal,89.0,True,"89,71",633,False,,-76322,stim,6.0,poldrack-categorize,s533
12,,,,,1.0,89.0,practice,stop_signal,89.0,True,"89,71",610,False,,-73718,stim,7.0,poldrack-categorize,s533
13,,,,,1.0,71.0,practice,stop_signal,71.0,True,"89,71",478,False,,-71113,stim,8.0,poldrack-categorize,s533
14,,,,,1.0,89.0,practice,stop_signal,89.0,True,"89,71",952,False,,-68508,stim,9.0,poldrack-categorize,s533
15,,,,,1.0,71.0,practice,stop_signal,71.0,True,"89,71",532,False,,-65904,stim,10.0,poldrack-categorize,s533
16,,,,,1.0,89.0,practice,stop_signal,89.0,True,"89,71",658,False,,-63298,stim,11.0,poldrack-categorize,s533
36,400.0,500.0,<div class = coverbox></div><div class = stopbox><div class = centered-shape id = stop-signal></div><div class = centered-shape id = stop-signal-inner></div></div>,go,1.0,89.0,test,stop_signal,89.0,True,"89,71",721,False,,5394,stim,0.0,stop-signal,s533
37,400.0,500.0,<div class = coverbox></div><div class = stopbox><div class = centered-shape id = stop-signal></div><div class = centered-shape id = stop-signal-inner></div></div>,go,1.0,71.0,test,stop_signal,71.0,True,"89,71",798,False,,7919,stim,1.0,stop-signal,s533
38,400.0,500.0,<div class = coverbox></div><div class = stopbox><div class = centered-shape id = stop-signal></div><div class = centered-shape id = stop-signal-inner></div></div>,stop,1.0,89.0,test,stop_signal,89.0,True,"89,71",562,False,,10851,stim,2.0,stop-signal,s533
39,350.0,500.0,<div class = coverbox></div><div class = stopbox><div class = centered-shape id = stop-signal></div><div class = centered-shape id = stop-signal-inner></div></div>,go,1.0,71.0,test,stop_signal,71.0,True,"89,71",708,False,,13377,stim,3.0,stop-signal,s533
