,block_duration,correct,correct_response,cue,exp_stage,experiment_exp_id,feedback_duration,flanker_location,flanker_middle_direction,flanker_type,key_press,possible_responses,rt,stim_duration,text,time_elapsed,trial_id,trial_num,trial_type,worker_id
6,1700.0,1.0,71.0,double,practice,attention_network_task,1000.0,up,right,congruent,71,"89,71",1490,1700.0,,-77102,stim,,poldrack-categorize,s546
9,1700.0,1.0,71.0,double,practice,attention_network_task,1000.0,down,right,incongruent,71,"89,71",644,1700.0,,-73393,stim,,poldrack-categorize,s546
12,1700.0,1.0,89.0,spatial,practice,attention_network_task,1000.0,down,left,incongruent,89,"89,71",686,1700.0,,-69683,stim,,poldrack-categorize,s546
15,1700.0,1.0,71.0,double,practice,attention_network_task,1000.0,up,right,incongruent,71,"89,71",595,1700.0,,-65975,stim,,poldrack-categorize,s546
18,1700.0,1.0,71.0,spatial,practice,attention_network_task,1000.0,up,right,incongruent,71,"89,71",455,1700.0,,-62265,stim,,poldrack-categorize,s546
21,1700.0,1.0,89.0,spatial,practice,attention_network_task,1000.0,up,left,congruent,89,"89,71",476,1700.0,,-58556,stim,,poldrack-categorize,s546
24,1700.0,1.0,89.0,double,practice,attention_network_task,1000.0,up,left,congruent,89,"89,71",621,1700.0,,-54847,stim,,poldrack-categorize,s546
27,1700.0,1.0,89.0,spatial,practice,attention_network_task,1000.0,up,left,incongruent,89,"89,71",479,1700.0,,-51137,stim,,poldrack-categorize,s546
30,1700.0,1.0,89.0,double,practice,attention_network_task,1000.0,down,left,incongruent,89,"89,71",646,1700.0,,-47429,stim,,poldrack-categorize,s546
33,1700.0,1.0,89.0,double,practice,attention_network_task,1000.0,up,left,incongruent,89,"89,71",481,1700.0,,-43720,stim,,poldrack-categorize,s546
36,1700.0,1.0,89.0,spatial,practice,attention_network_task,1000.0,down,left,congruent,89,"89,71",703,1700.0,,-40013,stim,,poldrack-categorize,s546
39,1700.0,1.0,71.0,spatial,practice,attention_network_task,1000.0,down,right,congruent,71,"89,71",544,1700.0,,-36305,stim,,poldrack-categorize,s546
61,2100.952,1.0,89.0,spatial,test,attention_network_task,,up,left,incongruent,89,"89,71",652,1700.0,,5613,stim,0.0,poldrack-single-stim,s546
64,2100.136,1.0,71.0,double,test,attention_network_task,,down,right,incongruent,71,"89,71",548,1700.0,,8221,stim,1.0,poldrack-single-stim,s546
67,2100.272,1.0,89.0,double,test,attention_network_task,,up,left,incongruent,89,"89,71",468,1700.0,,10826,stim,2.0,poldrack-single-stim,s546
70,2100.272,1.0,71.0,double,test,attention_network_task,,down,right,incongruent,71,"89,71",610,1700.0,,13432,stim,3.0,poldrack-single-stim,s546
73,2100.0,1.0,89.0,double,test,attention_network_task,,up,left,congruent,89,"89,71",558,1700.0,,16039,stim,4.0,poldrack-single-stim,s546
76,2100.0,1.0,71.0,spatial,test,attention_network_task,,down,right,incongruent,71,"89,71",440,1700.0,,18647,stim,5.0,poldrack-single-stim,s546
