,block_duration,condition,correct,correct_response,exp_stage,experiment_exp_id,key_press,possible_responses,rt,stim_duration,text,time_elapsed,trial_id,trial_num,trial_type,worker_id
7,1500.0,AX,1.0,89.0,practice,dot_pattern_expectancy,89.0,"89,71",528,500.0,,-87768,probe,0.0,poldrack-single-stim,s546
11,1500.0,AY,1.0,71.0,practice,dot_pattern_expectancy,71.0,"89,71",587,500.0,,-83257,probe,1.0,poldrack-single-stim,s546
15,2100.0,BY,1.0,71.0,practice,dot_pattern_expectancy,71.0,"89,71",391,500.0,,-78150,probe,2.0,poldrack-single-stim,s546
19,1500.0,AX,1.0,89.0,practice,dot_pattern_expectancy,89.0,"89,71",1042,500.0,,-73643,probe,3.0,poldrack-single-stim,s546
23,1500.0,AX,1.0,89.0,practice,dot_pattern_expectancy,89.0,"89,71",662,500.0,,-69137,probe,4.0,poldrack-single-stim,s546
27,1500.0,BX,1.0,71.0,practice,dot_pattern_expectancy,71.0,"89,71",686,500.0,,-64627,probe,5.0,poldrack-single-stim,s546
31,2500.0,BX,1.0,71.0,practice,dot_pattern_expectancy,71.0,"89,71",385,500.0,,-59118,probe,6.0,poldrack-single-stim,s546
35,1700.0,AX,1.0,89.0,practice,dot_pattern_expectancy,89.0,"89,71",444,500.0,,-54411,probe,7.0,poldrack-single-stim,s546
39,1900.0,BY,1.0,71.0,practice,dot_pattern_expectancy,71.0,"89,71",286,500.0,,-49504,probe,8.0,poldrack-single-stim,s546
43,2300.0,AY,1.0,71.0,practice,dot_pattern_expectancy,71.0,"89,71",503,500.0,,-44195,probe,9.0,poldrack-single-stim,s546
66,2180.0,AX,1.0,89.0,test,dot_pattern_expectancy,89.0,"89,71",415,500.0,,7690,probe,0.0,poldrack-single-stim,s546
69,2316.0,AY,1.0,71.0,test,dot_pattern_expectancy,71.0,"89,71",394,500.0,,12513,probe,1.0,poldrack-single-stim,s546
72,1636.0,AY,1.0,71.0,test,dot_pattern_expectancy,71.0,"89,71",1089,500.0,,16656,probe,2.0,poldrack-single-stim,s546
75,1908.0,BX,1.0,71.0,test,dot_pattern_expectancy,71.0,"89,71",246,500.0,,21069,probe,3.0,poldrack-single-stim,s546
