SS_delay,SS_duration,SS_stimulus,SS_trial_type,block_duration,correct,correct_response,exp_stage,experiment_exp_id,feedback_duration,key_press,passed_check,possible_responses,rt,stim_duration,stopped,text,time_elapsed,timing_post_trial,trial_id,trial_num,trial_type,worker_id
,,,,1850.0,1.0,71.0,practice,stop_signal,500.0,71.0,True,"89,71",1003,850.0,False,,-167426,250.0,stim,0.0,poldrack-categorize,s546
,,,,1850.0,1.0,89.0,practice,stop_signal,500.0,89.0,True,"89,71",663,850.0,False,,-164821,250.0,stim,1.0,poldrack-categorize,s546
,,,,1850.0,1.0,71.0,practice,stop_signal,500.0,71.0,True,"89,71",485,850.0,False,,-162218,250.0,stim,2.0,poldrack-categorize,s546
,,,,1850.0,1.0,89.0,practice,stop_signal,500.0,89.0,True,"89,71",594,850.0,False,,-159615,250.0,stim,3.0,poldrack-categorize,s546
,,,,1850.0,1.0,89.0,practice,stop_signal,500.0,89.0,True,"89,71",627,850.0,False,,-157010,250.0,stim,4.0,poldrack-categorize,s546
,,,,1850.0,1.0,71.0,practice,stop_signal,500.0,71.0,True,"89,71",552,850.0,False,,-154405,250.0,stim,5.0,poldrack-categorize,s546
,,,,1850.0,1.0,71.0,practice,stop_signal,500.0,71.0,True,"89,71",763,850.0,False,,-151799,250.0,stim,6.0,poldrack-categorize,s546
,,,,1850.0,1.0,71.0,practice,stop_signal,500.0,71.0,True,"89,71",563,850.0,False,,-149195,250.0,stim,7.0,poldrack-categorize,s546
,,,,1850.0,1.0,71.0,practice,stop_signal,500.0,71.0,True,"89,71",533,850.0,False,,-146591,250.0,stim,8.0,poldrack-categorize,s546
,,,,1850.0,1.0,89.0,practice,stop_signal,500.0,89.0,True,"89,71",517,850.0,False,,-143988,250.0,stim,9.0,poldrack-categorize,s546
,,,,1850.0,1.0,89.0,practice,stop_signal,500.0,89.0,True,"89,71",465,850.0,False,,-141385,250.0,stim,10.0,poldrack-categorize,s546
,,,,1850.0,1.0,89.0,practice,stop_signal,500.0,89.0,True,"89,71",664,850.0,False,,-138780,250.0,stim,11.0,poldrack-categorize,s546
300.0,500.0,<div class = coverbox></div><div class = stopbox><div class = centered-shape id = stop-signal></div><div class = centered-shape id = stop-signal-inner></div></div>,stop,3066.0,1.0,89.0,test,stop_signal,,89.0,True,"89,71",559,850.0,False,,6075,0.0,stim,0.0,stop-signal,s546
250.0,500.0,<div class = coverbox></div><div class = stopbox><div class = centered-shape id = stop-signal></div><div class = centered-shape id = stop-signal-inner></div></div>,stop,2250.0,0.0,71.0,test,stop_signal,,-1.0,True,"89,71",-1,850.0,True,,8327,0.0,stim,1.0,stop-signal,s546
300.0,500.0,<div class = coverbox></div><div class = stopbox><div class = centered-shape id = stop-signal></div><div class = centered-shape id = stop-signal-inner></div></div>,go,2386.0,1.0,89.0,test,stop_signal,,89.0,True,"89,71",564,850.0,False,,10716,0.0,stim,2.0,stop-signal,s546
300.0,500.0,<div class = coverbox></div><div class = stopbox><div class = centered-shape id = stop-signal></div><div class = centered-shape id = stop-signal-inner></div></div>,stop,2386.0,1.0,89.0,test,stop_signal,,89.0,True,"89,71",452,850.0,False,,13104,0.0,stim,3.0,stop-signal,s546
250.0,500.0,<div class = coverbox></div><div class = stopbox><div class = centered-shape id = stop-signal></div><div class = centered-shape id = stop-signal-inner></div></div>,go,2522.0,1.0,71.0,test,stop_signal,,71.0,True,"89,71",488,850.0,False,,15629,0.0,stim,4.0,stop-signal,s546
250.0,500.0,<div class = coverbox></div><div class = stopbox><div class = centered-shape id = stop-signal></div><div class = centered-shape id = stop-signal-inner></div></div>,go,2386.0,0.0,89.0,test,stop_signal,,71.0,True,"89,71",437,850.0,False,,18017,0.0,stim,5.0,stop-signal,s546
250.0,500.0,<div class = coverbox></div><div class = stopbox><div class = centered-shape id = stop-signal></div><div class = centered-shape id = stop-signal-inner></div></div>,go,2386.0,1.0,89.0,test,stop_signal,,89.0,True,"89,71",555,850.0,False,,20405,0.0,stim,6.0,stop-signal,s546
250.0,500.0,<div class = coverbox></div><div class = stopbox><div class = centered-shape id = stop-signal></div><div class = centered-shape id = stop-signal-inner></div></div>,stop,2794.0,0.0,71.0,test,stop_signal,,-1.0,True,"89,71",-1,850.0,True,,23202,0.0,stim,7.0,stop-signal,s546
