,action,clicked_on_loss_card,exp_stage,experiment_exp_id,gain_amount,key_press,loss_amount,num_cards,num_click_in_round,num_loss_cards,possible_responses,round_points,rt,text,time_elapsed,total_cards,trial_id,trial_type,which_round,worker_id
23,draw_card,0.0,test,columbia_card_task_fmri,12.0,89.0,-70.0,6.0,1.0,1.0,"89,71",12.0,3637.0,,6646,,stim,poldrack-single-stim,1.0,s548
24,draw_card,1.0,test,columbia_card_task_fmri,12.0,89.0,-70.0,6.0,2.0,1.0,"89,71",-58.0,2875.0,,9523,2.0,stim,poldrack-single-stim,1.0,s548
26,draw_card,0.0,test,columbia_card_task_fmri,14.0,89.0,-75.0,6.0,1.0,1.0,"89,71",14.0,3100.0,,14879,,stim,poldrack-single-stim,2.0,s548
27,draw_card,0.0,test,columbia_card_task_fmri,14.0,89.0,-75.0,6.0,2.0,1.0,"89,71",28.0,1117.0,,15997,,stim,poldrack-single-stim,2.0,s548
28,draw_card,0.0,test,columbia_card_task_fmri,14.0,89.0,-75.0,6.0,3.0,1.0,"89,71",42.0,2825.0,,18823,,stim,poldrack-single-stim,2.0,s548
29,draw_card,1.0,test,columbia_card_task_fmri,14.0,89.0,-75.0,6.0,4.0,1.0,"89,71",-33.0,1250.0,,20075,4.0,stim,poldrack-single-stim,2.0,s548
31,draw_card,0.0,test,columbia_card_task_fmri,15.0,89.0,-70.0,6.0,1.0,1.0,"89,71",15.0,883.0,,23348,,stim,poldrack-single-stim,3.0,s548
32,draw_card,0.0,test,columbia_card_task_fmri,15.0,89.0,-70.0,6.0,2.0,1.0,"89,71",30.0,377.0,,23727,,stim,poldrack-single-stim,3.0,s548
33,draw_card,1.0,test,columbia_card_task_fmri,15.0,89.0,-70.0,6.0,3.0,1.0,"89,71",-40.0,473.0,,24201,3.0,stim,poldrack-single-stim,3.0,s548
35,draw_card,0.0,test,columbia_card_task_fmri,17.0,89.0,-75.0,6.0,1.0,1.0,"89,71",17.0,6991.0,,33785,,stim,poldrack-single-stim,4.0,s548
36,draw_card,0.0,test,columbia_card_task_fmri,17.0,89.0,-75.0,6.0,2.0,1.0,"89,71",34.0,2109.0,,35895,,stim,poldrack-single-stim,4.0,s548
37,draw_card,0.0,test,columbia_card_task_fmri,17.0,89.0,-75.0,6.0,3.0,1.0,"89,71",51.0,2629.0,,38526,,stim,poldrack-single-stim,4.0,s548
38,end_round,0.0,test,columbia_card_task_fmri,17.0,71.0,-75.0,6.0,3.0,1.0,"89,71",51.0,1142.0,,39668,3.0,stim,poldrack-single-stim,4.0,s548
40,draw_card,0.0,test,columbia_card_task_fmri,24.0,89.0,-60.0,8.0,1.0,2.0,"89,71",24.0,1674.0,,44004,,stim,poldrack-single-stim,5.0,s548
41,draw_card,0.0,test,columbia_card_task_fmri,24.0,89.0,-60.0,8.0,2.0,2.0,"89,71",48.0,697.0,,44702,,stim,poldrack-single-stim,5.0,s548
42,draw_card,1.0,test,columbia_card_task_fmri,24.0,89.0,-60.0,8.0,3.0,2.0,"89,71",-12.0,2884.0,,47589,3.0,stim,poldrack-single-stim,5.0,s548
44,draw_card,0.0,test,columbia_card_task_fmri,29.0,89.0,-75.0,8.0,1.0,2.0,"89,71",29.0,1734.0,,51715,,stim,poldrack-single-stim,6.0,s548
45,draw_card,0.0,test,columbia_card_task_fmri,29.0,89.0,-75.0,8.0,2.0,2.0,"89,71",58.0,635.0,,52351,,stim,poldrack-single-stim,6.0,s548
46,draw_card,0.0,test,columbia_card_task_fmri,29.0,89.0,-75.0,8.0,3.0,2.0,"89,71",87.0,1139.0,,53492,,stim,poldrack-single-stim,6.0,s548
47,end_round,0.0,test,columbia_card_task_fmri,29.0,71.0,-75.0,8.0,3.0,2.0,"89,71",87.0,1642.0,,55136,3.0,stim,poldrack-single-stim,6.0,s548
49,draw_card,0.0,test,columbia_card_task_fmri,17.0,89.0,-65.0,9.0,1.0,2.0,"89,71",17.0,3793.0,,61318,,stim,poldrack-single-stim,7.0,s548
50,draw_card,0.0,test,columbia_card_task_fmri,17.0,89.0,-65.0,9.0,2.0,2.0,"89,71",34.0,1905.0,,63225,,stim,poldrack-single-stim,7.0,s548
51,draw_card,1.0,test,columbia_card_task_fmri,17.0,89.0,-65.0,9.0,3.0,2.0,"89,71",-31.0,1018.0,,64245,3.0,stim,poldrack-single-stim,7.0,s548
53,draw_card,1.0,test,columbia_card_task_fmri,14.0,89.0,-95.0,10.0,1.0,1.0,"89,71",-95.0,1289.0,,67788,1.0,stim,poldrack-single-stim,8.0,s548
55,draw_card,0.0,test,columbia_card_task_fmri,15.0,89.0,-65.0,10.0,1.0,2.0,"89,71",15.0,1463.0,,71574,,stim,poldrack-single-stim,9.0,s548
56,draw_card,0.0,test,columbia_card_task_fmri,15.0,89.0,-65.0,10.0,2.0,2.0,"89,71",30.0,1453.0,,73029,,stim,poldrack-single-stim,9.0,s548
57,draw_card,0.0,test,columbia_card_task_fmri,15.0,89.0,-65.0,10.0,3.0,2.0,"89,71",45.0,1767.0,,74798,,stim,poldrack-single-stim,9.0,s548
58,draw_card,0.0,test,columbia_card_task_fmri,15.0,89.0,-65.0,10.0,4.0,2.0,"89,71",60.0,1231.0,,76032,,stim,poldrack-single-stim,9.0,s548
59,end_round,0.0,test,columbia_card_task_fmri,15.0,71.0,-65.0,10.0,4.0,2.0,"89,71",60.0,809.0,,76843,4.0,stim,poldrack-single-stim,9.0,s548
61,draw_card,0.0,test,columbia_card_task_fmri,17.0,89.0,-65.0,10.0,1.0,2.0,"89,71",17.0,2902.0,,81999,,stim,poldrack-single-stim,10.0,s548
62,draw_card,1.0,test,columbia_card_task_fmri,17.0,89.0,-65.0,10.0,2.0,2.0,"89,71",-48.0,1798.0,,83799,2.0,stim,poldrack-single-stim,10.0,s548
