,SS_delay,SS_duration,SS_stimulus,SS_trial_type,block_duration,correct,correct_response,exp_stage,experiment_exp_id,feedback_duration,key_press,passed_check,possible_responses,rt,stim_duration,stopped,text,time_elapsed,trial_id,trial_num,trial_type,worker_id
5,,,,,1850.0,1.0,71.0,practice,stop_signal,500.0,71.0,True,"89,71",874,850.0,False,,-308730,stim,0.0,poldrack-categorize,s549
6,,,,,1850.0,1.0,89.0,practice,stop_signal,500.0,89.0,True,"89,71",816,850.0,False,,-306122,stim,1.0,poldrack-categorize,s549
7,,,,,1850.0,1.0,71.0,practice,stop_signal,500.0,71.0,True,"89,71",895,850.0,False,,-303517,stim,2.0,poldrack-categorize,s549
8,,,,,1850.0,1.0,89.0,practice,stop_signal,500.0,89.0,True,"89,71",637,850.0,False,,-300911,stim,3.0,poldrack-categorize,s549
9,,,,,1850.0,1.0,71.0,practice,stop_signal,500.0,71.0,True,"89,71",568,850.0,False,,-298306,stim,4.0,poldrack-categorize,s549
10,,,,,1850.0,1.0,89.0,practice,stop_signal,500.0,89.0,True,"89,71",637,850.0,False,,-295701,stim,5.0,poldrack-categorize,s549
11,,,,,1850.0,1.0,89.0,practice,stop_signal,500.0,89.0,True,"89,71",421,850.0,False,,-293096,stim,6.0,poldrack-categorize,s549
12,,,,,1850.0,1.0,71.0,practice,stop_signal,500.0,71.0,True,"89,71",582,850.0,False,,-290489,stim,7.0,poldrack-categorize,s549
13,,,,,1850.0,1.0,71.0,practice,stop_signal,500.0,71.0,True,"89,71",596,850.0,False,,-287884,stim,8.0,poldrack-categorize,s549
14,,,,,1850.0,1.0,71.0,practice,stop_signal,500.0,71.0,True,"89,71",724,850.0,False,,-285278,stim,9.0,poldrack-categorize,s549
15,,,,,1850.0,1.0,89.0,practice,stop_signal,500.0,89.0,True,"89,71",707,850.0,False,,-282673,stim,10.0,poldrack-categorize,s549
16,,,,,1850.0,1.0,89.0,practice,stop_signal,500.0,89.0,True,"89,71",611,850.0,False,,-280068,stim,11.0,poldrack-categorize,s549
36,300.0,500.0,<div class = coverbox></div><div class = stopbox><div class = centered-shape id = stop-signal></div><div class = centered-shape id = stop-signal-inner></div></div>,stop,3066.0,1.0,89.0,test,stop_signal,,89.0,True,"89,71",490,850.0,False,,6074,stim,0.0,stop-signal,s549
37,250.0,500.0,<div class = coverbox></div><div class = stopbox><div class = centered-shape id = stop-signal></div><div class = centered-shape id = stop-signal-inner></div></div>,stop,2250.0,0.0,89.0,test,stop_signal,,-1.0,True,"89,71",-1,850.0,True,,8328,stim,1.0,stop-signal,s549
38,300.0,500.0,<div class = coverbox></div><div class = stopbox><div class = centered-shape id = stop-signal></div><div class = centered-shape id = stop-signal-inner></div></div>,go,2386.0,1.0,89.0,test,stop_signal,,89.0,True,"89,71",572,850.0,False,,10717,stim,2.0,stop-signal,s549
39,300.0,500.0,<div class = coverbox></div><div class = stopbox><div class = centered-shape id = stop-signal></div><div class = centered-shape id = stop-signal-inner></div></div>,stop,2386.0,0.0,71.0,test,stop_signal,,-1.0,True,"89,71",-1,850.0,True,,13105,stim,3.0,stop-signal,s549
40,350.0,500.0,<div class = coverbox></div><div class = stopbox><div class = centered-shape id = stop-signal></div><div class = centered-shape id = stop-signal-inner></div></div>,go,2522.0,1.0,71.0,test,stop_signal,,71.0,True,"89,71",660,850.0,False,,15630,stim,4.0,stop-signal,s549
41,350.0,500.0,<div class = coverbox></div><div class = stopbox><div class = centered-shape id = stop-signal></div><div class = centered-shape id = stop-signal-inner></div></div>,go,2386.0,1.0,71.0,test,stop_signal,,71.0,True,"89,71",644,850.0,False,,18019,stim,5.0,stop-signal,s549
42,350.0,500.0,<div class = coverbox></div><div class = stopbox><div class = centered-shape id = stop-signal></div><div class = centered-shape id = stop-signal-inner></div></div>,go,2386.0,1.0,71.0,test,stop_signal,,71.0,True,"89,71",596,850.0,False,,20407,stim,6.0,stop-signal,s549
43,350.0,500.0,<div class = coverbox></div><div class = stopbox><div class = centered-shape id = stop-signal></div><div class = centered-shape id = stop-signal-inner></div></div>,stop,2794.0,1.0,71.0,test,stop_signal,,71.0,True,"89,71",501,850.0,False,,23205,stim,7.0,stop-signal,s549
44,300.0,500.0,<div class = coverbox></div><div class = stopbox><div class = centered-shape id = stop-signal></div><div class = centered-shape id = stop-signal-inner></div></div>,go,2386.0,1.0,89.0,test,stop_signal,,89.0,True,"89,71",562,850.0,False,,25593,stim,8.0,stop-signal,s549
45,300.0,500.0,<div class = coverbox></div><div class = stopbox><div class = centered-shape id = stop-signal></div><div class = centered-shape id = stop-signal-inner></div></div>,stop,2250.0,0.0,89.0,test,stop_signal,,-1.0,True,"89,71",-1,850.0,True,,27847,stim,9.0,stop-signal,s549
46,350.0,500.0,<div class = coverbox></div><div class = stopbox><div class = centered-shape id = stop-signal></div><div class = centered-shape id = stop-signal-inner></div></div>,stop,2522.0,0.0,71.0,test,stop_signal,,-1.0,True,"89,71",-1,850.0,True,,30371,stim,10.0,stop-signal,s549
47,400.0,500.0,<div class = coverbox></div><div class = stopbox><div class = centered-shape id = stop-signal></div><div class = centered-shape id = stop-signal-inner></div></div>,stop,2386.0,1.0,89.0,test,stop_signal,,89.0,True,"89,71",599,850.0,False,,32760,stim,11.0,stop-signal,s549
48,350.0,500.0,<div class = coverbox></div><div class = stopbox><div class = centered-shape id = stop-signal></div><div class = centered-shape id = stop-signal-inner></div></div>,go,2386.0,1.0,89.0,test,stop_signal,,89.0,True,"89,71",701,850.0,False,,35150,stim,12.0,stop-signal,s549
49,350.0,500.0,<div class = coverbox></div><div class = stopbox><div class = centered-shape id = stop-signal></div><div class = centered-shape id = stop-signal-inner></div></div>,stop,2250.0,0.0,71.0,test,stop_signal,,-1.0,True,"89,71",-1,850.0,True,,37403,stim,13.0,stop-signal,s549
50,400.0,500.0,<div class = coverbox></div><div class = stopbox><div class = centered-shape id = stop-signal></div><div class = centered-shape id = stop-signal-inner></div></div>,go,2386.0,1.0,71.0,test,stop_signal,,71.0,True,"89,71",840,850.0,False,,39792,stim,14.0,stop-signal,s549
51,400.0,500.0,<div class = coverbox></div><div class = stopbox><div class = centered-shape id = stop-signal></div><div class = centered-shape id = stop-signal-inner></div></div>,go,2250.0,1.0,71.0,test,stop_signal,,71.0,True,"89,71",672,850.0,False,,42044,stim,15.0,stop-signal,s549
52,400.0,500.0,<div class = coverbox></div><div class = stopbox><div class = centered-shape id = stop-signal></div><div class = centered-shape id = stop-signal-inner></div></div>,stop,2250.0,0.0,89.0,test,stop_signal,,-1.0,True,"89,71",-1,850.0,True,,44297,stim,16.0,stop-signal,s549
53,450.0,500.0,<div class = coverbox></div><div class = stopbox><div class = centered-shape id = stop-signal></div><div class = centered-shape id = stop-signal-inner></div></div>,go,2250.0,1.0,89.0,test,stop_signal,,89.0,True,"89,71",724,850.0,False,,46550,stim,17.0,stop-signal,s549
54,450.0,500.0,<div class = coverbox></div><div class = stopbox><div class = centered-shape id = stop-signal></div><div class = centered-shape id = stop-signal-inner></div></div>,go,2386.0,1.0,89.0,test,stop_signal,,89.0,True,"89,71",568,850.0,False,,48939,stim,18.0,stop-signal,s549
55,450.0,500.0,<div class = coverbox></div><div class = stopbox><div class = centered-shape id = stop-signal></div><div class = centered-shape id = stop-signal-inner></div></div>,stop,2250.0,1.0,71.0,test,stop_signal,,71.0,True,"89,71",631,850.0,False,,51191,stim,19.0,stop-signal,s549
56,400.0,500.0,<div class = coverbox></div><div class = stopbox><div class = centered-shape id = stop-signal></div><div class = centered-shape id = stop-signal-inner></div></div>,stop,2250.0,0.0,71.0,test,stop_signal,,-1.0,True,"89,71",-1,850.0,True,,53445,stim,20.0,stop-signal,s549
57,450.0,500.0,<div class = coverbox></div><div class = stopbox><div class = centered-shape id = stop-signal></div><div class = centered-shape id = stop-signal-inner></div></div>,stop,2386.0,1.0,89.0,test,stop_signal,,89.0,True,"89,71",620,850.0,False,,55833,stim,21.0,stop-signal,s549
58,400.0,500.0,<div class = coverbox></div><div class = stopbox><div class = centered-shape id = stop-signal></div><div class = centered-shape id = stop-signal-inner></div></div>,stop,2386.0,0.0,71.0,test,stop_signal,,-1.0,True,"89,71",-1,850.0,True,,58222,stim,22.0,stop-signal,s549
59,450.0,500.0,<div class = coverbox></div><div class = stopbox><div class = centered-shape id = stop-signal></div><div class = centered-shape id = stop-signal-inner></div></div>,go,2250.0,0.0,71.0,test,stop_signal,,89.0,True,"89,71",664,850.0,False,,60474,stim,23.0,stop-signal,s549
60,450.0,500.0,<div class = coverbox></div><div class = stopbox><div class = centered-shape id = stop-signal></div><div class = centered-shape id = stop-signal-inner></div></div>,stop,2522.0,0.0,71.0,test,stop_signal,,-1.0,True,"89,71",-1,850.0,True,,63000,stim,24.0,stop-signal,s549
61,500.0,500.0,<div class = coverbox></div><div class = stopbox><div class = centered-shape id = stop-signal></div><div class = centered-shape id = stop-signal-inner></div></div>,go,2250.0,1.0,89.0,test,stop_signal,,89.0,True,"89,71",730,850.0,False,,65254,stim,25.0,stop-signal,s549
