,block_duration,condition,correct,correct_response,exp_stage,experiment_exp_id,feedback_duration,key_press,possible_responses,rt,stim_color,stim_duration,stim_word,text,time_elapsed,trial_id,trial_num,trial_type,worker_id
5,1500.0,incongruent,0.0,82.0,practice,stroop,500.0,71,"89,71,82",1281,green,1500.0,blue,,-55012,stim,1.0,poldrack-categorize,s553
7,1500.0,congruent,1.0,89.0,practice,stroop,500.0,89,"89,71,82",880,red,1500.0,red,,-52755,stim,2.0,poldrack-categorize,s553
9,1500.0,congruent,1.0,82.0,practice,stroop,500.0,82,"89,71,82",989,green,1500.0,green,,-50499,stim,3.0,poldrack-categorize,s553
11,1500.0,incongruent,1.0,82.0,practice,stroop,500.0,82,"89,71,82",1028,green,1500.0,red,,-48242,stim,4.0,poldrack-categorize,s553
13,1500.0,congruent,1.0,71.0,practice,stroop,500.0,71,"89,71,82",569,blue,1500.0,blue,,-45986,stim,5.0,poldrack-categorize,s553
15,1500.0,incongruent,1.0,71.0,practice,stroop,500.0,71,"89,71,82",960,blue,1500.0,green,,-43730,stim,6.0,poldrack-categorize,s553
17,1500.0,incongruent,1.0,89.0,practice,stroop,500.0,89,"89,71,82",591,red,1500.0,blue,,-41474,stim,7.0,poldrack-categorize,s553
19,1500.0,incongruent,1.0,71.0,practice,stroop,500.0,71,"89,71,82",544,blue,1500.0,red,,-39218,stim,8.0,poldrack-categorize,s553
21,1500.0,incongruent,1.0,89.0,practice,stroop,500.0,89,"89,71,82",1070,red,1500.0,green,,-36963,stim,9.0,poldrack-categorize,s553
43,2272.0,incongruent,1.0,89.0,test,stroop,,89,"89,71,82",834,red,1500.0,green,,5782,stim,0.0,poldrack-single-stim,s553
44,2000.0,incongruent,1.0,82.0,test,stroop,,82,"89,71,82",1264,green,1500.0,blue,,7785,stim,1.0,poldrack-single-stim,s553
45,2000.0,congruent,1.0,89.0,test,stroop,,89,"89,71,82",647,red,1500.0,red,,9786,stim,2.0,poldrack-single-stim,s553
46,2000.0,congruent,1.0,89.0,test,stroop,,89,"89,71,82",493,red,1500.0,red,,11789,stim,3.0,poldrack-single-stim,s553
47,2000.0,incongruent,1.0,71.0,test,stroop,,71,"89,71,82",722,blue,1500.0,green,,13792,stim,4.0,poldrack-single-stim,s553
48,2136.0,congruent,1.0,89.0,test,stroop,,89,"89,71,82",622,red,1500.0,red,,15930,stim,5.0,poldrack-single-stim,s553
49,2000.0,congruent,1.0,89.0,test,stroop,,89,"89,71,82",536,red,1500.0,red,,17933,stim,6.0,poldrack-single-stim,s553
