,block_duration,choice,exp_stage,experiment_exp_id,key_press,large_amount,later_delay,possible_responses,rt,small_amount,stim_duration,text,time_elapsed,trial_id,trial_type,worker_id
4,2586.0,,practice,discount_fixed,89,,,"89,71",2586,,2586.0,,-36225,stim,poldrack-single-stim,s556
24,4636.0,smaller_sooner,,discount_fixed,71,79.0,92.0,"89,71",2111,20.0,4000.0,,7649,,poldrack-single-stim,s556
25,4568.0,smaller_sooner,,discount_fixed,71,61.0,141.0,"89,71",1003,20.0,4000.0,,12219,,poldrack-single-stim,s556
26,4568.0,smaller_sooner,,discount_fixed,71,43.0,38.0,"89,71",1148,20.0,4000.0,,16790,,poldrack-single-stim,s556
27,4908.0,smaller_sooner,,discount_fixed,71,66.0,145.0,"89,71",1601,20.0,4000.0,,21701,,poldrack-single-stim,s556
28,4840.0,smaller_sooner,,discount_fixed,71,30.0,23.0,"89,71",2311,20.0,4000.0,,26543,,poldrack-single-stim,s556
29,5248.0,smaller_sooner,,discount_fixed,71,32.0,57.0,"89,71",1934,20.0,4000.0,,31793,,poldrack-single-stim,s556
30,4772.0,smaller_sooner,,discount_fixed,71,27.0,91.0,"89,71",1679,20.0,4000.0,,36568,,poldrack-single-stim,s556
31,5996.0,smaller_sooner,,discount_fixed,71,43.0,120.0,"89,71",1050,20.0,4000.0,,42567,,poldrack-single-stim,s556
32,5588.0,smaller_sooner,,discount_fixed,71,75.0,60.0,"89,71",1600,20.0,4000.0,,48156,,poldrack-single-stim,s556
33,4568.0,smaller_sooner,,discount_fixed,71,34.0,176.0,"89,71",846,20.0,4000.0,,52727,,poldrack-single-stim,s556
34,5112.0,smaller_sooner,,discount_fixed,71,24.0,38.0,"89,71",824,20.0,4000.0,,57842,,poldrack-single-stim,s556
35,5656.0,smaller_sooner,,discount_fixed,71,82.0,74.0,"89,71",2496,20.0,4000.0,,63500,,poldrack-single-stim,s556
36,4568.0,smaller_sooner,,discount_fixed,71,58.0,53.0,"89,71",1565,20.0,4000.0,,68071,,poldrack-single-stim,s556
37,4772.0,smaller_sooner,,discount_fixed,71,54.0,23.0,"89,71",601,20.0,4000.0,,72845,,poldrack-single-stim,s556
38,5044.0,smaller_sooner,,discount_fixed,71,41.0,55.0,"89,71",2174,20.0,4000.0,,77890,,poldrack-single-stim,s556
39,4840.0,smaller_sooner,,discount_fixed,71,77.0,142.0,"89,71",1515,20.0,4000.0,,82732,,poldrack-single-stim,s556
40,5180.0,smaller_sooner,,discount_fixed,71,25.0,108.0,"89,71",1478,20.0,4000.0,,87915,,poldrack-single-stim,s556
41,5044.0,smaller_sooner,,discount_fixed,71,33.0,163.0,"89,71",908,20.0,4000.0,,92963,,poldrack-single-stim,s556
42,4976.0,smaller_sooner,,discount_fixed,71,29.0,75.0,"89,71",1666,20.0,4000.0,,97940,,poldrack-single-stim,s556
43,4976.0,smaller_sooner,,discount_fixed,71,45.0,157.0,"89,71",1460,20.0,4000.0,,102920,,poldrack-single-stim,s556
44,5316.0,smaller_sooner,,discount_fixed,71,31.0,74.0,"89,71",1328,20.0,4000.0,,108238,,poldrack-single-stim,s556
45,4500.0,smaller_sooner,,discount_fixed,71,80.0,39.0,"89,71",1073,20.0,4000.0,,112739,,poldrack-single-stim,s556
46,5044.0,smaller_sooner,,discount_fixed,71,22.0,21.0,"89,71",4327,20.0,4000.0,,117785,,poldrack-single-stim,s556
47,4704.0,smaller_sooner,,discount_fixed,71,52.0,139.0,"89,71",2118,20.0,4000.0,,122492,,poldrack-single-stim,s556
48,4840.0,smaller_sooner,,discount_fixed,71,54.0,126.0,"89,71",681,20.0,4000.0,,127334,,poldrack-single-stim,s556
49,6744.0,smaller_sooner,,discount_fixed,71,23.0,176.0,"89,71",822,20.0,4000.0,,134079,,poldrack-single-stim,s556
50,4500.0,smaller_sooner,,discount_fixed,71,24.0,87.0,"89,71",1319,20.0,4000.0,,138580,,poldrack-single-stim,s556
51,4568.0,smaller_sooner,,discount_fixed,71,36.0,140.0,"89,71",779,20.0,4000.0,,143151,,poldrack-single-stim,s556
52,4704.0,smaller_sooner,,discount_fixed,71,35.0,171.0,"89,71",638,20.0,4000.0,,147861,,poldrack-single-stim,s556
53,4908.0,smaller_sooner,,discount_fixed,71,34.0,43.0,"89,71",2418,20.0,4000.0,,152772,,poldrack-single-stim,s556
54,4568.0,smaller_sooner,,discount_fixed,71,74.0,121.0,"89,71",617,20.0,4000.0,,157343,,poldrack-single-stim,s556
55,4772.0,smaller_sooner,,discount_fixed,71,45.0,107.0,"89,71",427,20.0,4000.0,,162117,,poldrack-single-stim,s556
56,4636.0,larger_later,,discount_fixed,89,77.0,24.0,"89,71",1035,20.0,4000.0,,166757,,poldrack-single-stim,s556
57,4568.0,smaller_sooner,,discount_fixed,71,39.0,161.0,"89,71",1210,20.0,4000.0,,171328,,poldrack-single-stim,s556
58,5452.0,smaller_sooner,,discount_fixed,71,62.0,180.0,"89,71",401,20.0,4000.0,,176784,,poldrack-single-stim,s556
59,5384.0,smaller_sooner,,discount_fixed,71,24.0,139.0,"89,71",341,20.0,4000.0,,182171,,poldrack-single-stim,s556
