,CTI,block_duration,correct,correct_response,cue,cue_switch,exp_stage,experiment_exp_id,feedback_duration,key_press,possible_responses,rt,stim_color,stim_duration,stim_number,task,task_switch,text,time_elapsed,trial_id,trial_num,trial_type,worker_id
8,100.0,2000.0,True,89.0,Orange-Blue,switch,practice,twobytwo,500.0,89.0,"89,71",824.0,orange,1000.0,1.0,color,stay,,-100785,stim,0.0,poldrack-categorize,s556
13,900.0,2000.0,True,71.0,Orange-Blue,stay,practice,twobytwo,500.0,71.0,"89,71",470.0,#1F45FC,1000.0,2.0,color,stay,,-96373,stim,1.0,poldrack-categorize,s556
18,100.0,2000.0,False,89.0,Magnitude,,practice,twobytwo,500.0,71.0,"89,71",1096.0,orange,1000.0,2.0,magnitude,switch,,-92762,stim,2.0,poldrack-categorize,s556
23,900.0,2000.0,True,71.0,Magnitude,stay,practice,twobytwo,500.0,71.0,"89,71",519.0,orange,1000.0,8.0,magnitude,stay,,-88349,stim,3.0,poldrack-categorize,s556
28,100.0,2000.0,True,71.0,Color,,practice,twobytwo,500.0,71.0,"89,71",1164.0,#1F45FC,1000.0,9.0,color,switch,,-84738,stim,4.0,poldrack-categorize,s556
33,900.0,2000.0,True,89.0,Orange-Blue,switch,practice,twobytwo,500.0,89.0,"89,71",569.0,orange,1000.0,8.0,color,stay,,-80328,stim,5.0,poldrack-categorize,s556
38,100.0,2000.0,True,89.0,Magnitude,,practice,twobytwo,500.0,89.0,"89,71",749.0,orange,1000.0,4.0,magnitude,switch,,-76717,stim,6.0,poldrack-categorize,s556
43,900.0,2000.0,True,71.0,Orange-Blue,,practice,twobytwo,500.0,71.0,"89,71",441.0,#1F45FC,1000.0,7.0,color,switch,,-72307,stim,7.0,poldrack-categorize,s556
48,900.0,2000.0,True,71.0,High-Low,,practice,twobytwo,500.0,71.0,"89,71",895.0,orange,1000.0,9.0,magnitude,switch,,-67894,stim,8.0,poldrack-categorize,s556
53,100.0,2000.0,True,71.0,Magnitude,switch,practice,twobytwo,500.0,71.0,"89,71",848.0,orange,1000.0,7.0,magnitude,stay,,-64285,stim,9.0,poldrack-categorize,s556
58,100.0,2000.0,True,89.0,Magnitude,stay,practice,twobytwo,500.0,89.0,"89,71",736.0,orange,1000.0,3.0,magnitude,stay,,-60675,stim,10.0,poldrack-categorize,s556
63,900.0,2000.0,True,71.0,High-Low,switch,practice,twobytwo,500.0,71.0,"89,71",638.0,#1F45FC,1000.0,8.0,magnitude,stay,,-56263,stim,11.0,poldrack-categorize,s556
68,100.0,2000.0,False,71.0,Color,,practice,twobytwo,500.0,89.0,"89,71",1168.0,#1F45FC,1000.0,9.0,color,switch,,-52653,stim,12.0,poldrack-categorize,s556
73,900.0,2000.0,True,89.0,Magnitude,,practice,twobytwo,500.0,89.0,"89,71",695.0,#1F45FC,1000.0,2.0,magnitude,switch,,-48242,stim,13.0,poldrack-categorize,s556
78,100.0,2000.0,True,71.0,Magnitude,stay,practice,twobytwo,500.0,71.0,"89,71",757.0,orange,1000.0,7.0,magnitude,stay,,-44631,stim,14.0,poldrack-categorize,s556
83,900.0,2000.0,True,89.0,Orange-Blue,,practice,twobytwo,500.0,89.0,"89,71",785.0,orange,1000.0,6.0,color,switch,,-40221,stim,15.0,poldrack-categorize,s556
107,900.0,2136.0,True,89.0,Color,switch,test,twobytwo,,89.0,"89,71",587.0,orange,1000.0,1.0,color,stay,,6547,stim,0.0,poldrack-single-stim,s556
110,900.0,2272.0,True,89.0,High-Low,,test,twobytwo,,89.0,"89,71",640.0,#1F45FC,1000.0,2.0,magnitude,switch,,9725,stim,1.0,poldrack-single-stim,s556
113,900.0,2136.0,True,89.0,Color,,test,twobytwo,,89.0,"89,71",557.0,orange,1000.0,2.0,color,switch,,12765,stim,2.0,poldrack-single-stim,s556
116,900.0,2272.0,True,89.0,Color,stay,test,twobytwo,,89.0,"89,71",546.0,orange,1000.0,8.0,color,stay,,15941,stim,3.0,poldrack-single-stim,s556
119,100.0,2000.0,True,71.0,Magnitude,,test,twobytwo,,71.0,"89,71",1011.0,#1F45FC,1000.0,9.0,magnitude,switch,,18045,stim,4.0,poldrack-single-stim,s556
122,900.0,2816.0,True,71.0,Magnitude,stay,test,twobytwo,,71.0,"89,71",1476.0,orange,1000.0,8.0,magnitude,stay,,21765,stim,5.0,poldrack-single-stim,s556
125,900.0,2408.0,True,89.0,High-Low,switch,test,twobytwo,,89.0,"89,71",875.0,orange,1000.0,4.0,magnitude,stay,,25077,stim,6.0,poldrack-single-stim,s556
128,900.0,2000.0,True,71.0,High-Low,stay,test,twobytwo,,71.0,"89,71",531.0,#1F45FC,1000.0,7.0,magnitude,stay,,27981,stim,7.0,poldrack-single-stim,s556
