block_duration,choice,exp_stage,experiment_exp_id,key_press,large_amount,later_delay,possible_responses,rt,small_amount,stim_duration,text,time_elapsed,timing_post_trial,trial_id,trial_type,worker_id
1408.0,,practice,discount_fixed,89,,,"89,71",1408,,1408.0,,-36999,1000.0,stim,poldrack-single-stim,s558
4636.0,larger_later,,discount_fixed,89,79.0,92.0,"89,71",1038,20.0,4000.0,,7645,0.0,,poldrack-single-stim,s558
4568.0,larger_later,,discount_fixed,89,61.0,141.0,"89,71",1014,20.0,4000.0,,12214,0.0,,poldrack-single-stim,s558
4568.0,larger_later,,discount_fixed,89,43.0,38.0,"89,71",977,20.0,4000.0,,16785,0.0,,poldrack-single-stim,s558
4908.0,larger_later,,discount_fixed,89,66.0,145.0,"89,71",949,20.0,4000.0,,21695,0.0,,poldrack-single-stim,s558
4840.0,larger_later,,discount_fixed,89,30.0,23.0,"89,71",1033,20.0,4000.0,,26536,0.0,,poldrack-single-stim,s558
5248.0,larger_later,,discount_fixed,89,32.0,57.0,"89,71",892,20.0,4000.0,,31786,0.0,,poldrack-single-stim,s558
4772.0,larger_later,,discount_fixed,89,27.0,91.0,"89,71",1125,20.0,4000.0,,36561,0.0,,poldrack-single-stim,s558
5996.0,larger_later,,discount_fixed,89,43.0,120.0,"89,71",2254,20.0,4000.0,,42559,0.0,,poldrack-single-stim,s558
5588.0,larger_later,,discount_fixed,89,75.0,60.0,"89,71",1865,20.0,4000.0,,48150,0.0,,poldrack-single-stim,s558
4568.0,larger_later,,discount_fixed,89,34.0,176.0,"89,71",1574,20.0,4000.0,,52720,0.0,,poldrack-single-stim,s558
5112.0,larger_later,,discount_fixed,89,24.0,38.0,"89,71",1286,20.0,4000.0,,57833,0.0,,poldrack-single-stim,s558
5656.0,larger_later,,discount_fixed,89,82.0,74.0,"89,71",1368,20.0,4000.0,,63491,0.0,,poldrack-single-stim,s558
4568.0,larger_later,,discount_fixed,89,58.0,53.0,"89,71",1321,20.0,4000.0,,68062,0.0,,poldrack-single-stim,s558
4772.0,larger_later,,discount_fixed,89,54.0,23.0,"89,71",1648,20.0,4000.0,,72836,0.0,,poldrack-single-stim,s558
5044.0,larger_later,,discount_fixed,89,41.0,55.0,"89,71",916,20.0,4000.0,,77882,0.0,,poldrack-single-stim,s558
4840.0,larger_later,,discount_fixed,89,77.0,142.0,"89,71",1126,20.0,4000.0,,82724,0.0,,poldrack-single-stim,s558
5180.0,larger_later,,discount_fixed,89,25.0,108.0,"89,71",2016,20.0,4000.0,,87906,0.0,,poldrack-single-stim,s558
5044.0,larger_later,,discount_fixed,89,33.0,163.0,"89,71",1118,20.0,4000.0,,92952,0.0,,poldrack-single-stim,s558
