,SS_delay,SS_duration,SS_stimulus,SS_trial_type,block_duration,correct,correct_response,exp_stage,experiment_exp_id,feedback_duration,key_press,passed_check,possible_responses,rt,stim_duration,stopped,text,time_elapsed,trial_id,trial_num,trial_type,worker_id
5,,,,,1850.0,1.0,71.0,practice,stop_signal,500.0,71.0,True,"89,71",1020,850.0,False,,-65971,stim,0.0,poldrack-categorize,s558
6,,,,,1850.0,1.0,71.0,practice,stop_signal,500.0,71.0,True,"89,71",528,850.0,False,,-63369,stim,1.0,poldrack-categorize,s558
7,,,,,1850.0,1.0,71.0,practice,stop_signal,500.0,71.0,True,"89,71",686,850.0,False,,-60766,stim,2.0,poldrack-categorize,s558
8,,,,,1850.0,1.0,89.0,practice,stop_signal,500.0,89.0,True,"89,71",626,850.0,False,,-58163,stim,3.0,poldrack-categorize,s558
9,,,,,1850.0,1.0,89.0,practice,stop_signal,500.0,89.0,True,"89,71",739,850.0,False,,-55560,stim,4.0,poldrack-categorize,s558
10,,,,,1850.0,1.0,89.0,practice,stop_signal,500.0,89.0,True,"89,71",704,850.0,False,,-52954,stim,5.0,poldrack-categorize,s558
11,,,,,1850.0,1.0,71.0,practice,stop_signal,500.0,71.0,True,"89,71",785,850.0,False,,-50349,stim,6.0,poldrack-categorize,s558
12,,,,,1850.0,1.0,89.0,practice,stop_signal,500.0,89.0,True,"89,71",734,850.0,False,,-47745,stim,7.0,poldrack-categorize,s558
13,,,,,1850.0,1.0,89.0,practice,stop_signal,500.0,89.0,True,"89,71",606,850.0,False,,-45139,stim,8.0,poldrack-categorize,s558
14,,,,,1850.0,1.0,89.0,practice,stop_signal,500.0,89.0,True,"89,71",768,850.0,False,,-42536,stim,9.0,poldrack-categorize,s558
15,,,,,1850.0,1.0,71.0,practice,stop_signal,500.0,71.0,True,"89,71",585,850.0,False,,-39933,stim,10.0,poldrack-categorize,s558
16,,,,,1850.0,1.0,71.0,practice,stop_signal,500.0,71.0,True,"89,71",768,850.0,False,,-37330,stim,11.0,poldrack-categorize,s558
36,300.0,500.0,<div class = coverbox></div><div class = stopbox><div class = centered-shape id = stop-signal></div><div class = centered-shape id = stop-signal-inner></div></div>,go,2522.0,1.0,89.0,test,stop_signal,,89.0,True,"89,71",583,850.0,False,,5530,stim,0.0,stop-signal,s558
37,300.0,500.0,<div class = coverbox></div><div class = stopbox><div class = centered-shape id = stop-signal></div><div class = centered-shape id = stop-signal-inner></div></div>,go,2250.0,1.0,71.0,test,stop_signal,,71.0,True,"89,71",638,850.0,False,,7783,stim,1.0,stop-signal,s558
38,300.0,500.0,<div class = coverbox></div><div class = stopbox><div class = centered-shape id = stop-signal></div><div class = centered-shape id = stop-signal-inner></div></div>,stop,2250.0,1.0,89.0,test,stop_signal,,89.0,True,"89,71",528,850.0,False,,10036,stim,2.0,stop-signal,s558
39,250.0,500.0,<div class = coverbox></div><div class = stopbox><div class = centered-shape id = stop-signal></div><div class = centered-shape id = stop-signal-inner></div></div>,go,2250.0,1.0,89.0,test,stop_signal,,89.0,True,"89,71",492,850.0,False,,12288,stim,3.0,stop-signal,s558
40,250.0,500.0,<div class = coverbox></div><div class = stopbox><div class = centered-shape id = stop-signal></div><div class = centered-shape id = stop-signal-inner></div></div>,go,2250.0,1.0,71.0,test,stop_signal,,71.0,True,"89,71",603,850.0,False,,14540,stim,4.0,stop-signal,s558
41,250.0,500.0,<div class = coverbox></div><div class = stopbox><div class = centered-shape id = stop-signal></div><div class = centered-shape id = stop-signal-inner></div></div>,go,2386.0,1.0,89.0,test,stop_signal,,89.0,True,"89,71",568,850.0,False,,16928,stim,5.0,stop-signal,s558
42,250.0,500.0,<div class = coverbox></div><div class = stopbox><div class = centered-shape id = stop-signal></div><div class = centered-shape id = stop-signal-inner></div></div>,go,2250.0,1.0,89.0,test,stop_signal,,89.0,True,"89,71",565,850.0,False,,19180,stim,6.0,stop-signal,s558
43,250.0,500.0,<div class = coverbox></div><div class = stopbox><div class = centered-shape id = stop-signal></div><div class = centered-shape id = stop-signal-inner></div></div>,stop,2250.0,1.0,89.0,test,stop_signal,,89.0,True,"89,71",633,850.0,False,,21432,stim,7.0,stop-signal,s558
44,200.0,500.0,<div class = coverbox></div><div class = stopbox><div class = centered-shape id = stop-signal></div><div class = centered-shape id = stop-signal-inner></div></div>,go,2250.0,1.0,89.0,test,stop_signal,,89.0,True,"89,71",618,850.0,False,,23685,stim,8.0,stop-signal,s558
45,200.0,500.0,<div class = coverbox></div><div class = stopbox><div class = centered-shape id = stop-signal></div><div class = centered-shape id = stop-signal-inner></div></div>,stop,2250.0,1.0,71.0,test,stop_signal,,71.0,True,"89,71",614,850.0,False,,25937,stim,9.0,stop-signal,s558
46,150.0,500.0,<div class = coverbox></div><div class = stopbox><div class = centered-shape id = stop-signal></div><div class = centered-shape id = stop-signal-inner></div></div>,stop,2522.0,0.0,71.0,test,stop_signal,,-1.0,True,"89,71",-1,850.0,True,,28462,stim,10.0,stop-signal,s558
47,200.0,500.0,<div class = coverbox></div><div class = stopbox><div class = centered-shape id = stop-signal></div><div class = centered-shape id = stop-signal-inner></div></div>,go,2386.0,1.0,89.0,test,stop_signal,,89.0,True,"89,71",487,850.0,False,,30851,stim,11.0,stop-signal,s558
48,200.0,500.0,<div class = coverbox></div><div class = stopbox><div class = centered-shape id = stop-signal></div><div class = centered-shape id = stop-signal-inner></div></div>,go,2522.0,1.0,71.0,test,stop_signal,,71.0,True,"89,71",546,850.0,False,,33375,stim,12.0,stop-signal,s558
49,200.0,500.0,<div class = coverbox></div><div class = stopbox><div class = centered-shape id = stop-signal></div><div class = centered-shape id = stop-signal-inner></div></div>,stop,2250.0,0.0,89.0,test,stop_signal,,-1.0,True,"89,71",-1,850.0,True,,35627,stim,13.0,stop-signal,s558
50,250.0,500.0,<div class = coverbox></div><div class = stopbox><div class = centered-shape id = stop-signal></div><div class = centered-shape id = stop-signal-inner></div></div>,go,2386.0,1.0,89.0,test,stop_signal,,89.0,True,"89,71",617,850.0,False,,38016,stim,14.0,stop-signal,s558
