action,block_duration,clicked_on_loss_card,exp_stage,experiment_exp_id,gain_amount,key_press,loss_amount,num_cards,num_click_in_round,num_loss_cards,possible_responses,round_points,rt,stim_duration,text,time_elapsed,timing_post_trial,total_cards,trial_id,trial_type,which_round,worker_id
draw_card,3848.0,0.0,test,columbia_card_task_fmri,12.0,89.0,-70.0,6.0,1.0,1.0,"89,71",12.0,3848.0,3848.0,,6858,0.0,,stim,poldrack-single-stim,1.0,s568
draw_card,1046.0,0.0,test,columbia_card_task_fmri,12.0,89.0,-70.0,6.0,2.0,1.0,"89,71",24.0,1046.0,1046.0,,7907,0.0,,stim,poldrack-single-stim,1.0,s568
end_round,527.0,0.0,test,columbia_card_task_fmri,12.0,71.0,-70.0,6.0,2.0,1.0,"89,71",24.0,527.0,527.0,,8434,0.0,2.0,stim,poldrack-single-stim,1.0,s568
draw_card,4253.0,0.0,test,columbia_card_task_fmri,14.0,89.0,-75.0,6.0,1.0,1.0,"89,71",14.0,4253.0,4253.0,,14942,0.0,,stim,poldrack-single-stim,2.0,s568
draw_card,683.0,0.0,test,columbia_card_task_fmri,14.0,89.0,-75.0,6.0,2.0,1.0,"89,71",28.0,683.0,683.0,,15626,0.0,,stim,poldrack-single-stim,2.0,s568
end_round,529.0,0.0,test,columbia_card_task_fmri,14.0,71.0,-75.0,6.0,2.0,1.0,"89,71",28.0,529.0,529.0,,16157,0.0,2.0,stim,poldrack-single-stim,2.0,s568
draw_card,3050.0,0.0,test,columbia_card_task_fmri,15.0,89.0,-70.0,6.0,1.0,1.0,"89,71",15.0,3050.0,3050.0,,21597,0.0,,stim,poldrack-single-stim,3.0,s568
draw_card,511.0,0.0,test,columbia_card_task_fmri,15.0,89.0,-70.0,6.0,2.0,1.0,"89,71",30.0,511.0,511.0,,22109,0.0,,stim,poldrack-single-stim,3.0,s568
end_round,417.0,0.0,test,columbia_card_task_fmri,15.0,71.0,-70.0,6.0,2.0,1.0,"89,71",30.0,417.0,417.0,,22528,0.0,2.0,stim,poldrack-single-stim,3.0,s568
draw_card,3409.0,0.0,test,columbia_card_task_fmri,17.0,89.0,-75.0,6.0,1.0,1.0,"89,71",17.0,3409.0,3409.0,,28530,0.0,,stim,poldrack-single-stim,4.0,s568
draw_card,519.0,1.0,test,columbia_card_task_fmri,17.0,89.0,-75.0,6.0,2.0,1.0,"89,71",-58.0,519.0,519.0,,29051,0.0,2.0,stim,poldrack-single-stim,4.0,s568
draw_card,3681.0,0.0,test,columbia_card_task_fmri,24.0,89.0,-60.0,8.0,1.0,2.0,"89,71",24.0,3681.0,3681.0,,35396,0.0,,stim,poldrack-single-stim,5.0,s568
draw_card,584.0,0.0,test,columbia_card_task_fmri,24.0,89.0,-60.0,8.0,2.0,2.0,"89,71",48.0,584.0,584.0,,35982,0.0,,stim,poldrack-single-stim,5.0,s568
end_round,2148.0,0.0,test,columbia_card_task_fmri,24.0,71.0,-60.0,8.0,2.0,2.0,"89,71",48.0,2148.0,2148.0,,38132,0.0,2.0,stim,poldrack-single-stim,5.0,s568
draw_card,2405.0,1.0,test,columbia_card_task_fmri,29.0,89.0,-75.0,8.0,1.0,2.0,"89,71",-75.0,2405.0,2405.0,,42926,0.0,1.0,stim,poldrack-single-stim,6.0,s568
draw_card,3639.0,0.0,test,columbia_card_task_fmri,17.0,89.0,-65.0,9.0,1.0,2.0,"89,71",17.0,3639.0,3639.0,,48956,0.0,,stim,poldrack-single-stim,7.0,s568
draw_card,568.0,0.0,test,columbia_card_task_fmri,17.0,89.0,-65.0,9.0,2.0,2.0,"89,71",34.0,568.0,568.0,,49526,0.0,,stim,poldrack-single-stim,7.0,s568
end_round,882.0,0.0,test,columbia_card_task_fmri,17.0,71.0,-65.0,9.0,2.0,2.0,"89,71",34.0,882.0,882.0,,50410,0.0,2.0,stim,poldrack-single-stim,7.0,s568
draw_card,2537.0,0.0,test,columbia_card_task_fmri,14.0,89.0,-95.0,10.0,1.0,1.0,"89,71",14.0,2537.0,2537.0,,55202,0.0,,stim,poldrack-single-stim,8.0,s568
draw_card,1270.0,0.0,test,columbia_card_task_fmri,14.0,89.0,-95.0,10.0,2.0,1.0,"89,71",28.0,1270.0,1270.0,,56474,0.0,,stim,poldrack-single-stim,8.0,s568
draw_card,572.0,0.0,test,columbia_card_task_fmri,14.0,89.0,-95.0,10.0,3.0,1.0,"89,71",42.0,572.0,572.0,,57047,0.0,,stim,poldrack-single-stim,8.0,s568
end_round,915.0,0.0,test,columbia_card_task_fmri,14.0,71.0,-95.0,10.0,3.0,1.0,"89,71",42.0,915.0,915.0,,57964,0.0,3.0,stim,poldrack-single-stim,8.0,s568
draw_card,2719.0,0.0,test,columbia_card_task_fmri,15.0,89.0,-65.0,10.0,1.0,2.0,"89,71",15.0,2719.0,2719.0,,63006,0.0,,stim,poldrack-single-stim,9.0,s568
draw_card,610.0,0.0,test,columbia_card_task_fmri,15.0,89.0,-65.0,10.0,2.0,2.0,"89,71",30.0,610.0,610.0,,63618,0.0,,stim,poldrack-single-stim,9.0,s568
draw_card,680.0,0.0,test,columbia_card_task_fmri,15.0,89.0,-65.0,10.0,3.0,2.0,"89,71",45.0,680.0,680.0,,64300,0.0,,stim,poldrack-single-stim,9.0,s568
end_round,1142.0,0.0,test,columbia_card_task_fmri,15.0,71.0,-65.0,10.0,3.0,2.0,"89,71",45.0,1142.0,1142.0,,65444,0.0,3.0,stim,poldrack-single-stim,9.0,s568
draw_card,2581.0,1.0,test,columbia_card_task_fmri,17.0,89.0,-65.0,10.0,1.0,2.0,"89,71",-65.0,2581.0,2581.0,,70279,0.0,1.0,stim,poldrack-single-stim,10.0,s568
draw_card,2894.0,0.0,test,columbia_card_task_fmri,13.0,89.0,-70.0,12.0,1.0,2.0,"89,71",13.0,2894.0,2894.0,,75428,0.0,,stim,poldrack-single-stim,11.0,s568
draw_card,1306.0,1.0,test,columbia_card_task_fmri,13.0,89.0,-70.0,12.0,2.0,2.0,"89,71",-57.0,1306.0,1306.0,,76735,0.0,2.0,stim,poldrack-single-stim,11.0,s568
draw_card,2749.0,0.0,test,columbia_card_task_fmri,15.0,89.0,-80.0,12.0,1.0,2.0,"89,71",15.0,2749.0,2749.0,,81876,0.0,,stim,poldrack-single-stim,12.0,s568
draw_card,947.0,0.0,test,columbia_card_task_fmri,15.0,89.0,-80.0,12.0,2.0,2.0,"89,71",30.0,947.0,947.0,,82825,0.0,,stim,poldrack-single-stim,12.0,s568
end_round,532.0,0.0,test,columbia_card_task_fmri,15.0,71.0,-80.0,12.0,2.0,2.0,"89,71",30.0,532.0,532.0,,83359,0.0,2.0,stim,poldrack-single-stim,12.0,s568
draw_card,3104.0,0.0,test,columbia_card_task_fmri,14.0,89.0,-65.0,15.0,1.0,3.0,"89,71",14.0,3104.0,3104.0,,88854,0.0,,stim,poldrack-single-stim,13.0,s568
draw_card,688.0,1.0,test,columbia_card_task_fmri,14.0,89.0,-65.0,15.0,2.0,3.0,"89,71",-51.0,688.0,688.0,,89544,0.0,2.0,stim,poldrack-single-stim,13.0,s568
end_round,2993.0,0.0,test,columbia_card_task_fmri,1.0,71.0,-45.0,16.0,0.0,1.0,"89,71",0.0,2993.0,2993.0,,95268,0.0,0.0,stim,poldrack-single-stim,14.0,s568
draw_card,3829.0,0.0,test,columbia_card_task_fmri,15.0,89.0,-70.0,16.0,1.0,3.0,"89,71",15.0,3829.0,3829.0,,101557,0.0,,stim,poldrack-single-stim,15.0,s568
draw_card,701.0,0.0,test,columbia_card_task_fmri,15.0,89.0,-70.0,16.0,2.0,3.0,"89,71",30.0,701.0,701.0,,102260,0.0,,stim,poldrack-single-stim,15.0,s568
draw_card,1004.0,0.0,test,columbia_card_task_fmri,15.0,89.0,-70.0,16.0,3.0,3.0,"89,71",45.0,1004.0,1004.0,,103265,0.0,,stim,poldrack-single-stim,15.0,s568
