,block_duration,condition,correct,current_position,exp_stage,experiment_exp_id,goal_state,key_press,min_moves,num_moves_made,possible_responses,problem_id,problem_time,rt,start_state,stim_duration,text,time_elapsed,trial_id,trial_type,worker_id
4,18881.0,,,,,ward_and_allport,,32,,,32,,,18881,,18881.0,,-35827,instruction,poldrack-single-stim,s572
23,1500.0,,,,,ward_and_allport,,-1,,,none,,,-1,,1500.0,,2508,practice_start_block,poldrack-single-stim,s572
24,2928.0,UA_with_intermeidate,,"1,0,0,2,0,0,0,0,0",practice,ward_and_allport,"1,2,3,0,0,0,0,0,0",71,3.0,1.0,"89,71",0.0,,2928,"1,0,0,2,3,0,0,0,0",2928.0,,5939,to_hand,poldrack-single-stim,s572
25,486.0,UA_with_intermeidate,,"1,0,0,2,0,0,3,0,0",practice,ward_and_allport,"1,2,3,0,0,0,0,0,0",82,3.0,1.0,"89,71,82",0.0,,486,"1,0,0,2,3,0,0,0,0",486.0,,6427,to_board,poldrack-single-stim,s572
26,589.0,UA_with_intermeidate,,"1,0,0,0,0,0,3,0,0",practice,ward_and_allport,"1,2,3,0,0,0,0,0,0",71,3.0,2.0,"89,71,82",0.0,,589,"1,0,0,2,3,0,0,0,0",589.0,,7018,to_hand,poldrack-single-stim,s572
27,474.0,UA_with_intermeidate,,"1,2,0,0,0,0,3,0,0",practice,ward_and_allport,"1,2,3,0,0,0,0,0,0",89,3.0,2.0,"89,71,82",0.0,,474,"1,0,0,2,3,0,0,0,0",474.0,,7493,to_board,poldrack-single-stim,s572
28,603.0,UA_with_intermeidate,,"1,2,0,0,0,0,0,0,0",practice,ward_and_allport,"1,2,3,0,0,0,0,0,0",82,3.0,3.0,"89,82",0.0,,603,"1,0,0,2,3,0,0,0,0",603.0,,8097,to_hand,poldrack-single-stim,s572
29,337.0,UA_with_intermeidate,,"1,2,3,0,0,0,0,0,0",practice,ward_and_allport,"1,2,3,0,0,0,0,0,0",89,3.0,3.0,"89,71,82",0.0,,337,"1,0,0,2,3,0,0,0,0",337.0,,8436,to_board,poldrack-single-stim,s572
30,2500.0,,True,,practice,ward_and_allport,,-1,3.0,3.0,none,,8433.0,-1,,1000.0,,10940,feedback,poldrack-single-stim,s572
31,3439.0,UA_with_intermeidate,,"1,0,0,3,0,0,0,0,0",practice,ward_and_allport,"1,3,2,0,0,0,0,0,0",89,3.0,1.0,"89,71",1.0,,3439,"1,2,0,3,0,0,0,0,0",3439.0,,14382,to_hand,poldrack-single-stim,s572
32,324.0,UA_with_intermeidate,,"1,0,0,3,0,0,2,0,0",practice,ward_and_allport,"1,3,2,0,0,0,0,0,0",82,3.0,1.0,"89,71,82",1.0,,324,"1,2,0,3,0,0,0,0,0",324.0,,14707,to_board,poldrack-single-stim,s572
33,457.0,UA_with_intermeidate,,"1,0,0,0,0,0,2,0,0",practice,ward_and_allport,"1,3,2,0,0,0,0,0,0",71,3.0,2.0,"89,71,82",1.0,,457,"1,2,0,3,0,0,0,0,0",457.0,,15166,to_hand,poldrack-single-stim,s572
34,367.0,UA_with_intermeidate,,"1,3,0,0,0,0,2,0,0",practice,ward_and_allport,"1,3,2,0,0,0,0,0,0",89,3.0,2.0,"89,71,82",1.0,,367,"1,2,0,3,0,0,0,0,0",367.0,,15535,to_board,poldrack-single-stim,s572
35,1453.0,UA_with_intermeidate,,"1,3,0,0,0,0,0,0,0",practice,ward_and_allport,"1,3,2,0,0,0,0,0,0",82,3.0,3.0,"89,82",1.0,,1453,"1,2,0,3,0,0,0,0,0",1453.0,,16989,to_hand,poldrack-single-stim,s572
36,295.0,UA_with_intermeidate,,"1,3,2,0,0,0,0,0,0",practice,ward_and_allport,"1,3,2,0,0,0,0,0,0",89,3.0,3.0,"89,71,82",1.0,,295,"1,2,0,3,0,0,0,0,0",295.0,,17285,to_board,poldrack-single-stim,s572
37,2100.0,,True,,practice,ward_and_allport,,-1,3.0,3.0,none,,8448.0,-1,,1000.0,,19389,feedback,poldrack-single-stim,s572
38,4024.0,UA_without_intermeidate,,"0,0,0,1,2,0,0,0,0",practice,ward_and_allport,"3,2,1,0,0,0,0,0,0",82,3.0,1.0,"71,82",2.0,,4024,"0,0,0,1,2,0,3,0,0",4024.0,,23415,to_hand,poldrack-single-stim,s572
