,CTI,block_duration,correct,correct_response,cue,cue_switch,exp_stage,experiment_exp_id,feedback_duration,key_press,possible_responses,rt,stim_color,stim_duration,stim_number,task,task_switch,text,time_elapsed,trial_id,trial_num,trial_type,worker_id
8,900.0,2000.0,True,71.0,Color,switch,practice,twobytwo,500.0,71.0,"89,71",781.0,orange,1000.0,4.0,color,stay,,-101450,stim,0.0,poldrack-categorize,s574
13,900.0,2000.0,True,71.0,Orange-Blue,switch,practice,twobytwo,500.0,71.0,"89,71",687.0,orange,1000.0,9.0,color,stay,,-97034,stim,1.0,poldrack-categorize,s574
18,100.0,2000.0,True,71.0,Orange-Blue,stay,practice,twobytwo,500.0,71.0,"89,71",673.0,orange,1000.0,2.0,color,stay,,-93418,stim,2.0,poldrack-categorize,s574
23,900.0,2000.0,True,89.0,High-Low,,practice,twobytwo,500.0,89.0,"89,71",658.0,#1F45FC,1000.0,8.0,magnitude,switch,,-89001,stim,3.0,poldrack-categorize,s574
28,100.0,2000.0,True,89.0,Color,,practice,twobytwo,500.0,89.0,"89,71",1282.0,#1F45FC,1000.0,3.0,color,switch,,-85383,stim,4.0,poldrack-categorize,s574
33,100.0,2000.0,True,71.0,Color,stay,practice,twobytwo,500.0,71.0,"89,71",1012.0,orange,1000.0,7.0,color,stay,,-81769,stim,5.0,poldrack-categorize,s574
38,100.0,2000.0,False,89.0,High-Low,,practice,twobytwo,500.0,71.0,"89,71",915.0,orange,1000.0,6.0,magnitude,switch,,-78153,stim,6.0,poldrack-categorize,s574
43,900.0,2000.0,True,89.0,High-Low,stay,practice,twobytwo,500.0,89.0,"89,71",1083.0,orange,1000.0,9.0,magnitude,stay,,-73737,stim,7.0,poldrack-categorize,s574
48,100.0,2000.0,False,71.0,Magnitude,switch,practice,twobytwo,500.0,89.0,"89,71",1472.0,#1F45FC,1000.0,3.0,magnitude,stay,,-70121,stim,8.0,poldrack-categorize,s574
53,900.0,2000.0,True,71.0,Color,,practice,twobytwo,500.0,71.0,"89,71",821.0,orange,1000.0,6.0,color,switch,,-65704,stim,9.0,poldrack-categorize,s574
58,900.0,2000.0,True,89.0,Color,stay,practice,twobytwo,500.0,89.0,"89,71",522.0,#1F45FC,1000.0,1.0,color,stay,,-61283,stim,10.0,poldrack-categorize,s574
63,100.0,2000.0,False,71.0,Magnitude,,practice,twobytwo,500.0,89.0,"89,71",1204.0,#1F45FC,1000.0,2.0,magnitude,switch,,-57667,stim,11.0,poldrack-categorize,s574
68,100.0,2000.0,True,71.0,Color,,practice,twobytwo,500.0,71.0,"89,71",901.0,orange,1000.0,9.0,color,switch,,-54051,stim,12.0,poldrack-categorize,s574
73,100.0,2000.0,True,71.0,Orange-Blue,switch,practice,twobytwo,500.0,71.0,"89,71",1103.0,orange,1000.0,6.0,color,stay,,-50434,stim,13.0,poldrack-categorize,s574
78,900.0,2000.0,True,89.0,Magnitude,,practice,twobytwo,500.0,89.0,"89,71",1340.0,orange,1000.0,7.0,magnitude,switch,,-46018,stim,14.0,poldrack-categorize,s574
83,900.0,2000.0,True,71.0,Color,,practice,twobytwo,500.0,71.0,"89,71",547.0,orange,1000.0,4.0,color,switch,,-41602,stim,15.0,poldrack-categorize,s574
107,900.0,2136.0,True,71.0,Orange-Blue,,test,twobytwo,,71.0,"89,71",1482.0,orange,1000.0,4.0,color,switch,,6560,stim,0.0,poldrack-single-stim,s574
110,100.0,2680.0,True,71.0,Orange-Blue,stay,test,twobytwo,,71.0,"89,71",1148.0,orange,1000.0,9.0,color,stay,,9349,stim,1.0,poldrack-single-stim,s574
113,100.0,2544.0,True,71.0,Color,switch,test,twobytwo,,71.0,"89,71",938.0,orange,1000.0,2.0,color,stay,,12005,stim,2.0,poldrack-single-stim,s574
116,900.0,2272.0,True,89.0,Orange-Blue,switch,test,twobytwo,,89.0,"89,71",1261.0,#1F45FC,1000.0,8.0,color,stay,,15184,stim,3.0,poldrack-single-stim,s574
119,900.0,2272.0,True,89.0,Color,switch,test,twobytwo,,89.0,"89,71",448.0,#1F45FC,1000.0,3.0,color,stay,,18365,stim,4.0,poldrack-single-stim,s574
122,900.0,2408.0,True,89.0,Magnitude,,test,twobytwo,,89.0,"89,71",586.0,orange,1000.0,7.0,magnitude,switch,,21680,stim,5.0,poldrack-single-stim,s574
125,900.0,2136.0,True,89.0,Magnitude,stay,test,twobytwo,,89.0,"89,71",803.0,orange,1000.0,6.0,magnitude,stay,,24721,stim,6.0,poldrack-single-stim,s574
128,100.0,2272.0,True,71.0,Orange-Blue,,test,twobytwo,,71.0,"89,71",1136.0,orange,1000.0,9.0,color,switch,,27099,stim,7.0,poldrack-single-stim,s574
131,900.0,2000.0,True,89.0,Color,switch,test,twobytwo,,89.0,"89,71",616.0,#1F45FC,1000.0,3.0,color,stay,,30006,stim,8.0,poldrack-single-stim,s574
134,100.0,2136.0,True,71.0,Orange-Blue,switch,test,twobytwo,,71.0,"89,71",1293.0,orange,1000.0,6.0,color,stay,,32251,stim,9.0,poldrack-single-stim,s574
137,900.0,2272.0,True,89.0,Orange-Blue,stay,test,twobytwo,,89.0,"89,71",474.0,#1F45FC,1000.0,1.0,color,stay,,35430,stim,10.0,poldrack-single-stim,s574
140,100.0,2000.0,True,71.0,High-Low,,test,twobytwo,,71.0,"89,71",1420.0,#1F45FC,1000.0,2.0,magnitude,switch,,37537,stim,11.0,poldrack-single-stim,s574
143,100.0,2680.0,True,71.0,Color,,test,twobytwo,,71.0,"89,71",1112.0,orange,1000.0,9.0,color,switch,,40326,stim,12.0,poldrack-single-stim,s574
146,900.0,2000.0,True,71.0,Orange-Blue,switch,test,twobytwo,,71.0,"89,71",507.0,orange,1000.0,6.0,color,stay,,43233,stim,13.0,poldrack-single-stim,s574
149,100.0,2000.0,True,89.0,High-Low,,test,twobytwo,,89.0,"89,71",1109.0,orange,1000.0,7.0,magnitude,switch,,45340,stim,14.0,poldrack-single-stim,s574
