rt,key_press,trial_type,trial_index,time_elapsed,internal_node_id,subject,text,block_duration,timing_post_trial,trial_id,stimulus,possible_responses,stim_duration,exp_stage,which_round,num_click_in_round,num_cards,num_loss_cards,gain_amount,loss_amount,round_points,clicked_on_loss_card,reward,exp_id
2394,13,text,0,2398,0.0-0.0,s061,,,,,,,,,,,,,,,,,,
5342,89,poldrack-text,1,8747,0.0-1.0,s061,<div class = centerbox><div style = 'font-size: 50px' class = center-text>Please press your index finger</p></div>,5342,500,fmri_response_test,,,,,,,,,,,,,,
2579,71,poldrack-text,2,11828,0.0-2.0,s061,<div class = centerbox><div style = 'font-size: 50px' class = center-text>Please press your middle finger</p></div>,2579,500,fmri_response_test,,,,,,,,,,,,,,
37684,32,poldrack-single-stim,3,50017,0.0-3.0,s061,,37684,500,instructions,"<div class = centerbox><div class = center-text>Try to get as many points as possible<br><br>The loss amount, the gain amount, and the number of loss cards may change each trial<br><br>Index Finger: Take Another Card<br>Middle Finger: End The Round</div></div>",32,37684,,,,,,,,,,,
90371,32,poldrack-text,4,140891,0.0-4.0,s061,<div class = centerbox><div  class = center-text>Scanner calibration<br><strong>Please don't move!</strong></div></div>,90371,0,fmri_scanner_wait,,,,,,,,,,,,,,
4161,84,poldrack-text,5,145053,0.0-5.0,s061,<div class = centerbox><div  class = center-text>Task about to start!</div></div>,4161,0,fmri_trigger_wait,,,,,,,,,,,,,,
679,84,poldrack-text,6,145733,0.0-6.0,s061,<div class = centerbox><div  class = center-text>Task about to start!</div></div>,679,0,fmri_trigger_wait,,,,,,,,,,,,,,
680,84,poldrack-text,7,146413,0.0-7.0,s061,<div class = centerbox><div  class = center-text>Task about to start!</div></div>,680,0,fmri_trigger_wait,,,,,,,,,,,,,,
678,84,poldrack-text,8,147093,0.0-8.0,s061,<div class = centerbox><div  class = center-text>Task about to start!</div></div>,678,0,fmri_trigger_wait,,,,,,,,,,,,,,
680,84,poldrack-text,9,147773,0.0-9.0,s061,<div class = centerbox><div  class = center-text>Task about to start!</div></div>,680,0,fmri_trigger_wait,,,,,,,,,,,,,,
