"rt","key_press","trial_type","trial_index","time_elapsed","internal_node_id","subject","text","block_duration","timing_post_trial","trial_id","stimulus","possible_responses","stim_duration","correct","correct_response","feedback_duration","condition","stim_color","stim_word","trial_num","exp_stage","exp_id"
"2539","13","text","0","2541","0.0-0.0","s192","","","","","","","","","","","","","","","",""
"2113","89","poldrack-text","1","5659","0.0-1.0","s192","<div class = centerbox><div style = 'font-size: 50px' class = center-text>Please press your index finger</p></div>","2113","500","fmri_response_test","","","","","","","","","","","",""
"806","71","poldrack-text","2","6970","0.0-2.0","s192","<div class = centerbox><div style = 'font-size: 50px' class = center-text>Please press your middle finger</p></div>","806","500","fmri_response_test","","","","","","","","","","","",""
"842","82","poldrack-text","3","8316","0.0-3.0","s192","<div class = centerbox><div style = 'font-size: 50px' class = center-text>Please press your ring finger</p></div>","842","500","fmri_response_test","","","","","","","","","","","",""
"28198","32","poldrack-single-stim","4","37020","0.0-4.0","s192","","28198","500","instructions","<div class = centerbox><div class = center-text>Respond to the <strong>ink color</strong> of the word!<br><br><span style = ""color:red;padding-left:30px"">WORD</span>: Index<br><span style = ""color:#1F45FC;padding-left:65px"">WORD</span>: Middle<br><span style = ""color:#4FE829;"">WORD</span>: Ring<br><br>We will start with practice</div></div>","32","28198","","","","","","","","",""
"843","82","poldrack-categorize","5","39534","0.0-5.0-0.0-0.0","s192","","1500","0","stim","<div class = stroopbox><div class = stroop-stim style = ""color:#4FE829"">RED</div></div>","89,71,82","1500","true","82","500","incongruent","green","red","1","practice",""
"-1","-1","poldrack-single-stim","6","39792","0.0-5.0-1.0","s192","","250","0","fixation","<div class = centerbox><div class = fixation>+</div></div>","none","250","","","","","","","","",""
"634","89","poldrack-categorize","7","41797","0.0-5.0-2.0-0.0","s192","","1500","0","stim","<div class = stroopbox><div class = stroop-stim style = ""color:red"">RED</div></div>","89,71,82","1500","true","89","500","congruent","red","red","2","practice",""
"-1","-1","poldrack-single-stim","8","42053","0.0-5.0-3.0","s192","","250","0","fixation","<div class = centerbox><div class = fixation>+</div></div>","none","250","","","","","","","","",""
"664","71","poldrack-categorize","9","44058","0.0-5.0-4.0-0.0","s192","","1500","0","stim","<div class = stroopbox><div class = stroop-stim style = ""color:#1F45FC"">GREEN</div></div>","89,71,82","1500","true","71","500","incongruent","blue","green","3","practice",""
"-1","-1","poldrack-single-stim","10","44315","0.0-5.0-5.0","s192","","250","0","fixation","<div class = centerbox><div class = fixation>+</div></div>","none","250","","","","","","","","",""
"536","89","poldrack-categorize","11","46320","0.0-5.0-6.0-0.0","s192","","1500","0","stim","<div class = stroopbox><div class = stroop-stim style = ""color:red"">BLUE</div></div>","89,71,82","1500","true","89","500","incongruent","red","blue","4","practice",""
"-1","-1","poldrack-single-stim","12","46576","0.0-5.0-7.0","s192","","250","0","fixation","<div class = centerbox><div class = fixation>+</div></div>","none","250","","","","","","","","",""
"489","82","poldrack-categorize","13","48584","0.0-5.0-8.0-0.0","s192","","1500","0","stim","<div class = stroopbox><div class = stroop-stim style = ""color:#4FE829"">GREEN</div></div>","89,71,82","1500","true","82","500","congruent","green","green","5","practice",""
"-1","-1","poldrack-single-stim","14","48837","0.0-5.0-9.0","s192","","250","0","fixation","<div class = centerbox><div class = fixation>+</div></div>","none","250","","","","","","","","",""
"385","71","poldrack-categorize","15","50847","0.0-5.0-10.0-0.0","s192","","1500","0","stim","<div class = stroopbox><div class = stroop-stim style = ""color:#1F45FC"">BLUE</div></div>","89,71,82","1500","true","71","500","congruent","blue","blue","6","practice",""
"-1","-1","poldrack-single-stim","16","51099","0.0-5.0-11.0","s192","","250","0","fixation","<div class = centerbox><div class = fixation>+</div></div>","none","250","","","","","","","","",""
"733","71","poldrack-categorize","17","53107","0.0-5.0-12.0-0.0","s192","","1500","0","stim","<div class = stroopbox><div class = stroop-stim style = ""color:#1F45FC"">RED</div></div>","89,71,82","1500","true","71","500","incongruent","blue","red","7","practice",""
