rt,key_press,trial_type,trial_index,time_elapsed,internal_node_id,subject,text,block_duration,timing_post_trial,trial_id,stimulus,possible_responses,stim_duration,exp_stage,which_round,num_click_in_round,num_cards,num_loss_cards,gain_amount,loss_amount,round_points,clicked_on_loss_card,reward,exp_id
25784,13,text,0,25787,0.0-0.0,s495,,,,,,,,,,,,,,,,,,
1191,89,poldrack-text,1,27984,0.0-1.0,s495,<div class = centerbox><div style = 'font-size: 50px' class = center-text>Please press your index finger</p></div>,1191,500,fmri_response_test,,,,,,,,,,,,,,
372,71,poldrack-text,2,28859,0.0-2.0,s495,<div class = centerbox><div style = 'font-size: 50px' class = center-text>Please press your middle finger</p></div>,372,500,fmri_response_test,,,,,,,,,,,,,,
12295,32,poldrack-single-stim,3,41658,0.0-3.0,s495,,12295,500,instructions,"<div class = centerbox><div class = center-text>Try to get as many points as possible<br><br>The loss amount, the gain amount, and the number of loss cards may change each trial<br><br>Index Finger: Take Another Card<br>Middle Finger: End The Round</div></div>",32,12295,,,,,,,,,,,
87333,32,poldrack-text,4,129493,0.0-4.0,s495,"<div class = centerbox><div style = 'font-size: 50px', class = center-text>Scan will start after scanner calibration</p></div>",87333,0,fmri_scanner_wait,,,,,,,,,,,,,,
854,84,poldrack-text,5,130348,0.0-5.0,s495,<div class = centerbox><div  class = center-text>Scanner calibration<br><strong>Please don't move!</strong></div></div>,854,0,fmri_trigger_wait,,,,,,,,,,,,,,
680,84,poldrack-text,6,131029,0.0-6.0,s495,<div class = centerbox><div  class = center-text>Scanner calibration<br><strong>Please don't move!</strong></div></div>,680,0,fmri_trigger_wait,,,,,,,,,,,,,,
680,84,poldrack-text,7,131709,0.0-7.0,s495,<div class = centerbox><div  class = center-text>Scanner calibration<br><strong>Please don't move!</strong></div></div>,680,0,fmri_trigger_wait,,,,,,,,,,,,,,
678,84,poldrack-text,8,132388,0.0-8.0,s495,<div class = centerbox><div  class = center-text>Scanner calibration<br><strong>Please don't move!</strong></div></div>,678,0,fmri_trigger_wait,,,,,,,,,,,,,,
680,84,poldrack-text,9,133069,0.0-9.0,s495,<div class = centerbox><div  class = center-text>Scanner calibration<br><strong>Please don't move!</strong></div></div>,680,0,fmri_trigger_wait,,,,,,,,,,,,,,
679,84,poldrack-text,10,133749,0.0-10.0,s495,<div class = centerbox><div  class = center-text>Scanner calibration<br><strong>Please don't move!</strong></div></div>,679,0,fmri_trigger_wait,,,,,,,,,,,,,,
678,84,poldrack-text,11,134428,0.0-11.0,s495,<div class = centerbox><div  class = center-text>Scanner calibration<br><strong>Please don't move!</strong></div></div>,678,0,fmri_trigger_wait,,,,,,,,,,,,,,
679,84,poldrack-text,12,135108,0.0-12.0,s495,<div class = centerbox><div  class = center-text>Scanner calibration<br><strong>Please don't move!</strong></div></div>,679,0,fmri_trigger_wait,,,,,,,,,,,,,,
680,84,poldrack-text,13,135789,0.0-13.0,s495,<div class = centerbox><div  class = center-text>Scanner calibration<br><strong>Please don't move!</strong></div></div>,680,0,fmri_trigger_wait,,,,,,,,,,,,,,
686,84,poldrack-text,14,136475,0.0-14.0,s495,<div class = centerbox><div  class = center-text>Scanner calibration<br><strong>Please don't move!</strong></div></div>,686,0,fmri_trigger_wait,,,,,,,,,,,,,,
671,84,poldrack-text,15,137148,0.0-15.0,s495,<div class = centerbox><div  class = center-text>Scanner calibration<br><strong>Please don't move!</strong></div></div>,671,0,fmri_trigger_wait,,,,,,,,,,,,,,
