"rt","key_press","trial_type","trial_index","time_elapsed","internal_node_id","subject","text","block_duration","timing_post_trial","trial_id","stimulus","possible_responses","stim_duration","exp_stage","which_round","num_click_in_round","num_cards","num_loss_cards","gain_amount","loss_amount","round_points","clicked_on_loss_card","reward","exp_id"
"4019","13","text","0","4022","0.0-0.0","s497","","","","","","","","","","","","","","","","","",""
"1594","89","poldrack-text","1","6619","0.0-1.0","s497","<div class = centerbox><div style = 'font-size: 50px' class = center-text>Please press your index finger</p></div>","1594","500","fmri_response_test","","","","","","","","","","","","","",""
"432","71","poldrack-text","2","7553","0.0-2.0","s497","<div class = centerbox><div style = 'font-size: 50px' class = center-text>Please press your middle finger</p></div>","432","500","fmri_response_test","","","","","","","","","","","","","",""
"12208","32","poldrack-single-stim","3","20265","0.0-3.0","s497","","12208","500","instructions","<div class = centerbox><div class = center-text>Try to get as many points as possible<br><br>The loss amount, the gain amount, and the number of loss cards may change each trial<br><br>Index Finger: Take Another Card<br>Middle Finger: End The Round</div></div>","32","12208","","","","","","","","","","",""
"36352","32","poldrack-text","4","57118","0.0-4.0","s497","<div class = centerbox><div  class = center-text>Scanner Setup</div></div>","36352","0","fmri_scanner_wait","","","","","","","","","","","","","",""
"1502","84","poldrack-text","5","58621","0.0-5.0","s497","<div class = centerbox><div  class = center-text>Task about to start!</div></div>","1502","0","fmri_trigger_wait","","","","","","","","","","","","","",""
"679","84","poldrack-text","6","59300","0.0-6.0","s497","<div class = centerbox><div  class = center-text>Task about to start!</div></div>","679","0","fmri_trigger_wait","","","","","","","","","","","","","",""
"679","84","poldrack-text","7","59981","0.0-7.0","s497","<div class = centerbox><div  class = center-text>Task about to start!</div></div>","679","0","fmri_trigger_wait","","","","","","","","","","","","","",""
"679","84","poldrack-text","8","60660","0.0-8.0","s497","<div class = centerbox><div  class = center-text>Task about to start!</div></div>","679","0","fmri_trigger_wait","","","","","","","","","","","","","",""
"680","84","poldrack-text","9","61341","0.0-9.0","s497","<div class = centerbox><div  class = center-text>Task about to start!</div></div>","680","0","fmri_trigger_wait","","","","","","","","","","","","","",""
"679","84","poldrack-text","10","62020","0.0-10.0","s497","<div class = centerbox><div  class = center-text>Task about to start!</div></div>","679","0","fmri_trigger_wait","","","","","","","","","","","","","",""
"679","84","poldrack-text","11","62701","0.0-11.0","s497","<div class = centerbox><div  class = center-text>Task about to start!</div></div>","679","0","fmri_trigger_wait","","","","","","","","","","","","","",""
"679","84","poldrack-text","12","63381","0.0-12.0","s497","<div class = centerbox><div  class = center-text>Task about to start!</div></div>","679","0","fmri_trigger_wait","","","","","","","","","","","","","",""
"679","84","poldrack-text","13","64061","0.0-13.0","s497","<div class = centerbox><div  class = center-text>Task about to start!</div></div>","679","0","fmri_trigger_wait","","","","","","","","","","","","","",""
"679","84","poldrack-text","14","64740","0.0-14.0","s497","<div class = centerbox><div  class = center-text>Task about to start!</div></div>","679","0","fmri_trigger_wait","","","","","","","","","","","","","",""
"679","84","poldrack-text","15","65421","0.0-15.0","s497","<div class = centerbox><div  class = center-text>Task about to start!</div></div>","679","0","fmri_trigger_wait","","","","","","","","","","","","","",""
"679","84","poldrack-text","16","66100","0.0-16.0","s497","<div class = centerbox><div  class = center-text>Task about to start!</div></div>","679","0","fmri_trigger_wait","","","","","","","","","","","","","",""
