rt,key_press,trial_type,trial_index,time_elapsed,internal_node_id,subject,text,block_duration,timing_post_trial,trial_id,stimulus,possible_responses,stim_duration,correct,correct_response,feedback_duration,condition,stim_color,stim_word,trial_num,exp_stage,exp_id
2115,13,text,0,2117,0.0-0.0,s512,,,,,,,,,,,,,,,,
1160,89,poldrack-text,1,4281,0.0-1.0,s512,<div class = centerbox><div style = 'font-size: 50px' class = center-text>Please press your index finger</p></div>,1160,500,fmri_response_test,,,,,,,,,,,,
1089,71,poldrack-text,2,5872,0.0-2.0,s512,<div class = centerbox><div style = 'font-size: 50px' class = center-text>Please press your middle finger</p></div>,1089,500,fmri_response_test,,,,,,,,,,,,
550,82,poldrack-text,3,6924,0.0-3.0,s512,<div class = centerbox><div style = 'font-size: 50px' class = center-text>Please press your ring finger</p></div>,550,500,fmri_response_test,,,,,,,,,,,,
16073,32,poldrack-single-stim,4,23500,0.0-4.0,s512,,16073,500,instructions,"<div class = centerbox><div class = center-text>Respond to the <strong>ink color</strong> of the word!<br><br><span style = ""color:red;padding-left:30px"">WORD</span>: Index<br><span style = ""color:#1F45FC;padding-left:65px"">WORD</span>: Middle<br><span style = ""color:#4FE829;"">WORD</span>: Ring<br><br>We will start with practice</div></div>",32,16073,,,,,,,,,
1210,71,poldrack-categorize,5,26005,0.0-5.0-0.0-0.0,s512,,1500,0,stim,"<div class = stroopbox><div class = stroop-stim style = ""color:#1F45FC"">RED</div></div>","89,71,82",1500,true,71,500,incongruent,blue,red,1,practice,
-1,-1,poldrack-single-stim,6,26258,0.0-5.0-1.0,s512,,250,0,fixation,<div class = centerbox><div class = fixation>+</div></div>,none,250,,,,,,,,,
570,82,poldrack-categorize,7,28260,0.0-5.0-2.0-0.0,s512,,1500,0,stim,"<div class = stroopbox><div class = stroop-stim style = ""color:#4FE829"">GREEN</div></div>","89,71,82",1500,true,82,500,congruent,green,green,2,practice,
-1,-1,poldrack-single-stim,8,28512,0.0-5.0-3.0,s512,,250,0,fixation,<div class = centerbox><div class = fixation>+</div></div>,none,250,,,,,,,,,
288,89,poldrack-categorize,9,30514,0.0-5.0-4.0-0.0,s512,,1500,0,stim,"<div class = stroopbox><div class = stroop-stim style = ""color:red"">GREEN</div></div>","89,71,82",1500,true,89,500,incongruent,red,green,3,practice,
-1,-1,poldrack-single-stim,10,30766,0.0-5.0-5.0,s512,,250,0,fixation,<div class = centerbox><div class = fixation>+</div></div>,none,250,,,,,,,,,
651,71,poldrack-categorize,11,32768,0.0-5.0-6.0-0.0,s512,,1500,0,stim,"<div class = stroopbox><div class = stroop-stim style = ""color:#1F45FC"">GREEN</div></div>","89,71,82",1500,true,71,500,incongruent,blue,green,4,practice,
-1,-1,poldrack-single-stim,12,33021,0.0-5.0-7.0,s512,,250,0,fixation,<div class = centerbox><div class = fixation>+</div></div>,none,250,,,,,,,,,
341,82,poldrack-categorize,13,35025,0.0-5.0-8.0-0.0,s512,,1500,0,stim,"<div class = stroopbox><div class = stroop-stim style = ""color:#4FE829"">RED</div></div>","89,71,82",1500,true,82,500,incongruent,green,red,5,practice,
-1,-1,poldrack-single-stim,14,35277,0.0-5.0-9.0,s512,,250,0,fixation,<div class = centerbox><div class = fixation>+</div></div>,none,250,,,,,,,,,
633,89,poldrack-categorize,15,37280,0.0-5.0-10.0-0.0,s512,,1500,0,stim,"<div class = stroopbox><div class = stroop-stim style = ""color:red"">BLUE</div></div>","89,71,82",1500,true,89,500,incongruent,red,blue,6,practice,
-1,-1,poldrack-single-stim,16,37532,0.0-5.0-11.0,s512,,250,0,fixation,<div class = centerbox><div class = fixation>+</div></div>,none,250,,,,,,,,,
450,82,poldrack-categorize,17,39535,0.0-5.0-12.0-0.0,s512,,1500,0,stim,"<div class = stroopbox><div class = stroop-stim style = ""color:#4FE829"">BLUE</div></div>","89,71,82",1500,true,82,500,incongruent,green,blue,7,practice,
-1,-1,poldrack-single-stim,18,39787,0.0-5.0-13.0,s512,,250,0,fixation,<div class = centerbox><div class = fixation>+</div></div>,none,250,,,,,,,,,
475,89,poldrack-categorize,19,41789,0.0-5.0-14.0-0.0,s512,,1500,0,stim,"<div class = stroopbox><div class = stroop-stim style = ""color:red"">RED</div></div>","89,71,82",1500,true,89,500,congruent,red,red,8,practice,
-1,-1,poldrack-single-stim,20,42040,0.0-5.0-15.0,s512,,250,0,fixation,<div class = centerbox><div class = fixation>+</div></div>,none,250,,,,,,,,,
405,71,poldrack-categorize,21,44043,0.0-5.0-16.0-0.0,s512,,1500,0,stim,"<div class = stroopbox><div class = stroop-stim style = ""color:#1F45FC"">BLUE</div></div>","89,71,82",1500,true,71,500,congruent,blue,blue,9,practice,
-1,-1,poldrack-single-stim,22,44296,0.0-5.0-17.0,s512,,250,0,fixation,<div class = centerbox><div class = fixation>+</div></div>,none,250,,,,,,,,,
20736,32,poldrack-text,23,65034,0.0-6.0,s512,<div class = centerbox><div  class = center-text>Scanner calibration<br><strong>Please close your eyes and don't move!</strong></div></div>,20736,0,fmri_scanner_wait,,,,,,,,,,,,
3982,84,poldrack-text,24,69017,0.0-7.0,s512,<div class = centerbox><div  class = center-text>Task about to start!</div></div>,3982,0,fmri_trigger_wait,,,,,,,,,,,,
679,84,poldrack-text,25,69697,0.0-8.0,s512,<div class = centerbox><div  class = center-text>Task about to start!</div></div>,679,0,fmri_trigger_wait,,,,,,,,,,,,
680,84,poldrack-text,26,70377,0.0-9.0,s512,<div class = centerbox><div  class = center-text>Task about to start!</div></div>,680,0,fmri_trigger_wait,,,,,,,,,,,,
679,84,poldrack-text,27,71057,0.0-10.0,s512,<div class = centerbox><div  class = center-text>Task about to start!</div></div>,679,0,fmri_trigger_wait,,,,,,,,,,,,
680,84,poldrack-text,28,71737,0.0-11.0,s512,<div class = centerbox><div  class = center-text>Task about to start!</div></div>,680,0,fmri_trigger_wait,,,,,,,,,,,,
