"rt","key_press","trial_type","trial_index","time_elapsed","internal_node_id","subject","text","block_duration","timing_post_trial","trial_id","responses","stimulus","possible_responses","stim_duration","correct","correct_response","feedback_duration","exp_stage","trial_num","SS_stimulus","SS_delay","SS_trial_type","SS_duration","exp_id"
"3825","13","text","0","3827","0.0-0.0","s526","","","","","","","","","","","","","","","","","",""
"2230","89","poldrack-text","1","7060","0.0-1.0","s526","<div class = centerbox><div style = 'font-size: 50px' class = center-text>Please press your index finger</p></div>","2230","500","fmri_response_test","","","","","","","","","","","","","",""
"1369","71","poldrack-text","2","8931","0.0-2.0","s526","<div class = centerbox><div style = 'font-size: 50px' class = center-text>Please press your middle finger</p></div>","1369","500","fmri_response_test","","","","","","","","","","","","","",""
"7839","","survey-text","3","17275","0.0-3.0","s526","","","","task_setup","{""Q0"":""300""}","","","","","","","","","","","","",""
"12280","32","poldrack-single-stim","4","30579","0.0-4.0","s526","","12280","0","instructions","","<div class = instructbox><p class = instruct-text>Only one key is correct for each shape. The correct keys are as follows:<ul list-text><li><div class = prompt_container><img class = prompt_stim src = /static/experiments/stop_signal/images/moon.png></img>index finger</div></li></li><li><div class = prompt_container><img class = prompt_stim src = /static/experiments/stop_signal/images/oval.png></img>middle finger</div></li> </li><li><div class = prompt_container><img class = prompt_stim src = /static/experiments/stop_signal/images/rectangle.png></img>middle finger</div></li> </li><li><div class = prompt_container><img class = prompt_stim src = /static/experiments/stop_signal/images/trapezoid.png></img>index finger</div></li></ul></p><p class = instruct-text><strong>Do not respond if you see the red star!</strong></p><p class = instruct-text>We will start with practice</p></div>","32","12280","","","","","","","","","",""
"-1","-1","poldrack-categorize","5","32934","0.0-5.0-0.0-0.0","s526","","1850","250","stim","","<div class = coverbox></div><div class = shapebox><img class = stim src = /static/experiments/stop_signal/images/moon.png></img></div>","89,71","850","false","89","500","practice","0","","","","",""
"788","71","poldrack-categorize","6","35538","0.0-5.0-0.0-1.0","s526","","1850","250","stim","","<div class = coverbox></div><div class = shapebox><img class = stim src = /static/experiments/stop_signal/images/rectangle.png></img></div>","89,71","850","true","71","500","practice","1","","","","",""
"647","89","poldrack-categorize","7","38141","0.0-5.0-0.0-2.0","s526","","1850","250","stim","","<div class = coverbox></div><div class = shapebox><img class = stim src = /static/experiments/stop_signal/images/moon.png></img></div>","89,71","850","true","89","500","practice","2","","","","",""
"481","71","poldrack-categorize","8","40744","0.0-5.0-0.0-3.0","s526","","1850","250","stim","","<div class = coverbox></div><div class = shapebox><img class = stim src = /static/experiments/stop_signal/images/oval.png></img></div>","89,71","850","true","71","500","practice","3","","","","",""
"614","71","poldrack-categorize","9","43350","0.0-5.0-0.0-4.0","s526","","1850","250","stim","","<div class = coverbox></div><div class = shapebox><img class = stim src = /static/experiments/stop_signal/images/rectangle.png></img></div>","89,71","850","true","71","500","practice","4","","","","",""
"604","89","poldrack-categorize","10","45955","0.0-5.0-0.0-5.0","s526","","1850","250","stim","","<div class = coverbox></div><div class = shapebox><img class = stim src = /static/experiments/stop_signal/images/trapezoid.png></img></div>","89,71","850","true","89","500","practice","5","","","","",""
"536","71","poldrack-categorize","11","48557","0.0-5.0-0.0-6.0","s526","","1850","250","stim","","<div class = coverbox></div><div class = shapebox><img class = stim src = /static/experiments/stop_signal/images/oval.png></img></div>","89,71","850","true","71","500","practice","6","","","","",""
"495","71","poldrack-categorize","12","51162","0.0-5.0-0.0-7.0","s526","","1850","250","stim","","<div class = coverbox></div><div class = shapebox><img class = stim src = /static/experiments/stop_signal/images/oval.png></img></div>","89,71","850","true","71","500","practice","7","","","","",""
"729","89","poldrack-categorize","13","53768","0.0-5.0-0.0-8.0","s526","","1850","250","stim","","<div class = coverbox></div><div class = shapebox><img class = stim src = /static/experiments/stop_signal/images/moon.png></img></div>","89,71","850","true","89","500","practice","8","","","","",""
"692","89","poldrack-categorize","14","56371","0.0-5.0-0.0-9.0","s526","","1850","250","stim","","<div class = coverbox></div><div class = shapebox><img class = stim src = /static/experiments/stop_signal/images/trapezoid.png></img></div>","89,71","850","true","89","500","practice","9","","","","",""
"781","89","poldrack-categorize","15","58974","0.0-5.0-0.0-10.0","s526","","1850","250","stim","","<div class = coverbox></div><div class = shapebox><img class = stim src = /static/experiments/stop_signal/images/trapezoid.png></img></div>","89,71","850","true","89","500","practice","10","","","","",""
"872","71","poldrack-categorize","16","61578","0.0-5.0-0.0-11.0","s526","","1850","250","stim","","<div class = coverbox></div><div class = shapebox><img class = stim src = /static/experiments/stop_signal/images/rectangle.png></img></div>","89,71","850","true","71","500","practice","11","","","","",""
"53312","32","poldrack-text","17","115143","0.0-6.0","s526","<div class = centerbox><div  class = center-text>Scanner Setup</div></div>","53312","0","fmri_scanner_wait","","","","","","","","","","","","","",""
"1383","84","poldrack-text","18","116527","0.0-7.0","s526","<div class = centerbox><div  class = center-text>Task about to start!</div></div>","1383","0","fmri_trigger_wait","","","","","","","","","","","","","",""
"680","84","poldrack-text","19","117207","0.0-8.0","s526","<div class = centerbox><div  class = center-text>Task about to start!</div></div>","680","0","fmri_trigger_wait","","","","","","","","","","","","","",""
"680","84","poldrack-text","20","117887","0.0-9.0","s526","<div class = centerbox><div  class = center-text>Task about to start!</div></div>","680","0","fmri_trigger_wait","","","","","","","","","","","","","",""
"679","84","poldrack-text","21","118567","0.0-10.0","s526","<div class = centerbox><div  class = center-text>Task about to start!</div></div>","679","0","fmri_trigger_wait","","","","","","","","","","","","","",""
"680","84","poldrack-text","22","119247","0.0-11.0","s526","<div class = centerbox><div  class = center-text>Task about to start!</div></div>","680","0","fmri_trigger_wait","","","","","","","","","","","","","",""
"680","84","poldrack-text","23","119927","0.0-12.0","s526","<div class = centerbox><div  class = center-text>Task about to start!</div></div>","680","0","fmri_trigger_wait","","","","","","","","","","","","","",""
"680","84","poldrack-text","24","120607","0.0-13.0","s526","<div class = centerbox><div  class = center-text>Task about to start!</div></div>","680","0","fmri_trigger_wait","","","","","","","","","","","","","",""
"679","84","poldrack-text","25","121287","0.0-14.0","s526","<div class = centerbox><div  class = center-text>Task about to start!</div></div>","679","0","fmri_trigger_wait","","","","","","","","","","","","","",""
"680","84","poldrack-text","26","121967","0.0-15.0","s526","<div class = centerbox><div  class = center-text>Task about to start!</div></div>","680","0","fmri_trigger_wait","","","","","","","","","","","","","",""
"679","84","poldrack-text","27","122647","0.0-16.0","s526","<div class = centerbox><div  class = center-text>Task about to start!</div></div>","679","0","fmri_trigger_wait","","","","","","","","","","","","","",""
"679","84","poldrack-text","28","123327","0.0-17.0","s526","<div class = centerbox><div  class = center-text>Task about to start!</div></div>","679","0","fmri_trigger_wait","","","","","","","","","","","","","",""
"679","84","poldrack-text","29","124007","0.0-18.0","s526","<div class = centerbox><div  class = center-text>Task about to start!</div></div>","679","0","fmri_trigger_wait","","","","","","","","","","","","","",""
"680","84","poldrack-text","30","124687","0.0-19.0","s526","<div class = centerbox><div  class = center-text>Task about to start!</div></div>","680","0","fmri_trigger_wait","","","","","","","","","","","","","",""
"679","84","poldrack-text","31","125368","0.0-20.0","s526","<div class = centerbox><div  class = center-text>Task about to start!</div></div>","679","0","fmri_trigger_wait","","","","","","","","","","","","","",""
"679","84","poldrack-text","32","126047","0.0-21.0","s526","<div class = centerbox><div  class = center-text>Task about to start!</div></div>","679","0","fmri_trigger_wait","","","","","","","","","","","","","",""
"679","84","poldrack-text","33","126727","0.0-22.0","s526","<div class = centerbox><div  class = center-text>Task about to start!</div></div>","679","0","fmri_trigger_wait","","","","","","","","","","","","","",""
"-1","-1","poldrack-single-stim","34","127729","0.0-23.0","s526","","1000","0","fmri_buffer","","","none","1000","","","","","","","","","",""
"-1","-1","poldrack-single-stim","35","129232","0.0-24.0","s526","","1500","500","test_start_block","","<div class = centerbox><div class = center-text>Get ready!</p></div>","none","1500","","","","","","","","","",""
"445","71","stop-signal","36","132123","0.0-25.0-0.0","s526","","2386","0","stim","","<div class = coverbox></div><div class = shapebox><img class = stim src = /static/experiments/stop_signal/images/oval.png></img></div>","89,71","850","true","71","","test","0","<div class = coverbox></div><div class = stopbox><div class = centered-shape id = stop-signal></div><div class = centered-shape id = stop-signal-inner></div></div>","300","go","500",""
"615","89","stop-signal","37","134648","0.0-25.0-1.0","s526","","2522","0","stim","","<div class = coverbox></div><div class = shapebox><img class = stim src = /static/experiments/stop_signal/images/trapezoid.png></img></div>","89,71","850","true","89","","test","1","<div class = coverbox></div><div class = stopbox><div class = centered-shape id = stop-signal></div><div class = centered-shape id = stop-signal-inner></div></div>","300","go","500",""
