rt,key_press,trial_type,trial_index,time_elapsed,internal_node_id,subject,text,block_duration,timing_post_trial,trial_id,responses,stimulus,possible_responses,stim_duration,exp_stage,condition,trial_num,correct_response,correct,exp_id
2336,13,text,0,2338,0.0-0.0,s549,,,,,,,,,,,,,,
2385,89,poldrack-text,1,5727,0.0-1.0,s549,<div class = centerbox><div style = 'font-size: 50px' class = center-text>Please press your index finger</p></div>,2385,500,fmri_response_test,,,,,,,,,,
640,71,poldrack-text,2,6869,0.0-2.0,s549,<div class = centerbox><div style = 'font-size: 50px' class = center-text>Please press your middle finger</p></div>,640,500,fmri_response_test,,,,,,,,,,
18057,,survey-text,3,25433,0.0-3.0,s549,,,,task_setup,"{""Q0"":""2"",""Q1"":""4""}",,,,,,,,,
10359,32,poldrack-single-stim,4,36795,0.0-4.0,s549,,10359,500,instructions,,"<div class = centerbox><p style = ""font-size:40px"" class = center-block-text>Target Pair (press index finger):</p><p class = center-block-text><img src = ""/static/experiments/dot_pattern_expectancy/images/cue2.png"" ></img>&nbsp&nbsp&nbsp...followed by...&nbsp&nbsp&nbsp<img src = ""/static/experiments/dot_pattern_expectancy/images/probe4.png"" ></img><br></br></p><p style = ""font-size:40px"" class = center-block-text>Otherwise press middle finger</div>",32,10359,,,,,,
-1,-1,poldrack-single-stim,5,37800,0.0-5.0-0.0,s549,,500,0,cue,,"<div class = centerbox><div class = img-container><img src = ""/static/experiments/dot_pattern_expectancy/images/cue6.png""</img></div></div>",none,500,practice,BX,0,,,
-1,-1,poldrack-single-stim,6,39802,0.0-5.0-1.0,s549,,2000,0,fixation,,<div class = centerbox><div class = fixation>+</div></div>,none,2000,practice,,,,,
-1,-1,poldrack-single-stim,7,41305,0.0-5.0-2.0,s549,,1500,0,probe,,"<div class = centerbox><div class = img-container><img src = ""/static/experiments/dot_pattern_expectancy/images/probe4.png""</img></div></div>","89,71",500,practice,BX,0,71,false,
-1,-1,poldrack-single-stim,8,41809,0.0-5.0-3.0,s549,,500,0,feedback,,<div class = centerbox><div class = center-text>Respond Faster!</p></div>,none,500,practice,,1,,,
-1,-1,poldrack-single-stim,9,42312,0.0-5.0-4.0,s549,,500,0,cue,,"<div class = centerbox><div class = img-container><img src = ""/static/experiments/dot_pattern_expectancy/images/cue2.png""</img></div></div>",none,500,practice,AX,1,,,
-1,-1,poldrack-single-stim,10,44314,0.0-5.0-5.0,s549,,2000,0,fixation,,<div class = centerbox><div class = fixation>+</div></div>,none,2000,practice,,,,,
761,71,poldrack-single-stim,11,46416,0.0-5.0-6.0,s549,,2100,0,probe,,"<div class = centerbox><div class = img-container><img src = ""/static/experiments/dot_pattern_expectancy/images/probe4.png""</img></div></div>","89,71",500,practice,AX,1,89,false,
-1,-1,poldrack-single-stim,12,46920,0.0-5.0-7.0,s549,,500,0,feedback,,"<div class = centerbox><div style=""color:red""; class = center-text>Incorrect</div></div>",none,500,practice,,2,,,
-1,-1,poldrack-single-stim,13,47422,0.0-5.0-8.0,s549,,500,0,cue,,"<div class = centerbox><div class = img-container><img src = ""/static/experiments/dot_pattern_expectancy/images/cue1.png""</img></div></div>",none,500,practice,BY,2,,,
-1,-1,poldrack-single-stim,14,49424,0.0-5.0-9.0,s549,,2000,0,fixation,,<div class = centerbox><div class = fixation>+</div></div>,none,2000,practice,,,,,
-1,-1,poldrack-single-stim,15,51327,0.0-5.0-10.0,s549,,1900,0,probe,,"<div class = centerbox><div class = img-container><img src = ""/static/experiments/dot_pattern_expectancy/images/probe6.png""</img></div></div>","89,71",500,practice,BY,2,71,false,
-1,-1,poldrack-single-stim,16,51830,0.0-5.0-11.0,s549,,500,0,feedback,,<div class = centerbox><div class = center-text>Respond Faster!</p></div>,none,500,practice,,3,,,
-1,-1,poldrack-single-stim,17,52332,0.0-5.0-12.0,s549,,500,0,cue,,"<div class = centerbox><div class = img-container><img src = ""/static/experiments/dot_pattern_expectancy/images/cue2.png""</img></div></div>",none,500,practice,AX,3,,,
-1,-1,poldrack-single-stim,18,54334,0.0-5.0-13.0,s549,,2000,0,fixation,,<div class = centerbox><div class = fixation>+</div></div>,none,2000,practice,,,,,
425,89,poldrack-single-stim,19,55837,0.0-5.0-14.0,s549,,1500,0,probe,,"<div class = centerbox><div class = img-container><img src = ""/static/experiments/dot_pattern_expectancy/images/probe4.png""</img></div></div>","89,71",500,practice,AX,3,89,true,
-1,-1,poldrack-single-stim,20,56340,0.0-5.0-15.0,s549,,500,0,feedback,,"<div class = centerbox><div style=""color:#4FE829""; class = center-text>Correct!</div></div>",none,500,practice,,4,,,
-1,-1,poldrack-single-stim,21,56843,0.0-5.0-16.0,s549,,500,0,cue,,"<div class = centerbox><div class = img-container><img src = ""/static/experiments/dot_pattern_expectancy/images/cue2.png""</img></div></div>",none,500,practice,AY,4,,,
