"rt","key_press","trial_type","trial_index","time_elapsed","internal_node_id","subject","text","block_duration","timing_post_trial","trial_id","stimulus","possible_responses","stim_duration","exp_stage","current_position","num_moves_made","min_moves","start_state","goal_state","condition","problem_id","problem_time","correct","exp_id"
"11012","13","text","0","11014","0.0-0.0","s549","","","","","","","","","","","","","","","","","",""
"2006","89","poldrack-text","1","14024","0.0-1.0","s549","<div class = centerbox><div style = 'font-size: 50px' class = center-text>Please press your index finger</p></div>","2006","500","fmri_response_test","","","","","","","","","","","","","",""
"573","71","poldrack-text","2","15098","0.0-2.0","s549","<div class = centerbox><div style = 'font-size: 50px' class = center-text>Please press your middle finger</p></div>","573","500","fmri_response_test","","","","","","","","","","","","","",""
"1327","82","poldrack-text","3","16927","0.0-3.0","s549","<div class = centerbox><div style = 'font-size: 50px' class = center-text>Please press your ring finger</p></div>","1327","500","fmri_response_test","","","","","","","","","","","","","",""
"25693","32","poldrack-single-stim","4","43123","0.0-4.0","s549","","25693","0","instructions","<div class = centerbox><div class = center-text>Solve the Tower Tasks!<br><br>Plan ahead first and work swiftly!<br><br>We'll start with some practice.</div></div>","32","25693","","","","","","","","","","",""
"31072","32","poldrack-text","5","74197","0.0-5.0","s549","<div class = centerbox><div  class = center-text>Scanner Setup</div></div>","31072","0","fmri_scanner_wait","","","","","","","","","","","","","",""
"5908","84","poldrack-text","6","80105","0.0-6.0","s549","<div class = centerbox><div  class = center-text>Task about to start!</div></div>","5908","0","fmri_trigger_wait","","","","","","","","","","","","","",""
"679","84","poldrack-text","7","80785","0.0-7.0","s549","<div class = centerbox><div  class = center-text>Task about to start!</div></div>","679","0","fmri_trigger_wait","","","","","","","","","","","","","",""
"680","84","poldrack-text","8","81465","0.0-8.0","s549","<div class = centerbox><div  class = center-text>Task about to start!</div></div>","680","0","fmri_trigger_wait","","","","","","","","","","","","","",""
"679","84","poldrack-text","9","82145","0.0-9.0","s549","<div class = centerbox><div  class = center-text>Task about to start!</div></div>","679","0","fmri_trigger_wait","","","","","","","","","","","","","",""
"679","84","poldrack-text","10","82824","0.0-10.0","s549","<div class = centerbox><div  class = center-text>Task about to start!</div></div>","679","0","fmri_trigger_wait","","","","","","","","","","","","","",""
"679","84","poldrack-text","11","83504","0.0-11.0","s549","<div class = centerbox><div  class = center-text>Task about to start!</div></div>","679","0","fmri_trigger_wait","","","","","","","","","","","","","",""
"680","84","poldrack-text","12","84184","0.0-12.0","s549","<div class = centerbox><div  class = center-text>Task about to start!</div></div>","680","0","fmri_trigger_wait","","","","","","","","","","","","","",""
