rt,key_press,trial_type,trial_index,time_elapsed,internal_node_id,subject,text,block_duration,timing_post_trial,trial_id,stimulus,possible_responses,stim_duration,exp_stage,small_amount,large_amount,later_delay,choice,exp_id,bonus
11521,13,text,0,11523,0.0-0.0,s549,,,,,,,,,,,,,,
1543,89,poldrack-text,1,14069,0.0-1.0,s549,<div class = centerbox><div style = 'font-size: 50px' class = center-text>Please press your index finger</p></div>,1543,500,fmri_response_test,,,,,,,,,,
822,71,poldrack-text,2,15394,0.0-2.0,s549,<div class = centerbox><div style = 'font-size: 50px' class = center-text>Please press your middle finger</p></div>,822,500,fmri_response_test,,,,,,,,,,
20290,32,poldrack-single-stim,3,36188,0.0-3.0,s549,,20290,500,instructions,<div class = centerbox><div class = center-text>Choose between <strong>$20 today</strong> or the presented option.<br><br><strong>Index:</strong> Accept option on screen (reject $20 today). <br><br><strong>Middle:</strong> Reject option on screen (accept $20 today)<br><br>We will start with a practice trial.</div></div>,32,20290,,,,,,,
1488,89,poldrack-single-stim,4,38179,0.0-4.0,s549,,1488,1000,stim,"<div class = dd-stim><div class = amtbox style = ""color:white"">$53.75</div><br><br><div class = delbox style = ""color:white"">34 days</div></div>","89,71",1488,practice,,,,,,
34587,32,poldrack-text,5,73767,0.0-5.0,s549,<div class = centerbox><div  class = center-text>Scanner Setup</div></div>,34587,0,fmri_scanner_wait,,,,,,,,,,
2008,84,poldrack-text,6,75777,0.0-6.0,s549,<div class = centerbox><div  class = center-text>Task about to start!</div></div>,2008,0,fmri_trigger_wait,,,,,,,,,,
679,84,poldrack-text,7,76457,0.0-7.0,s549,<div class = centerbox><div  class = center-text>Task about to start!</div></div>,679,0,fmri_trigger_wait,,,,,,,,,,
680,84,poldrack-text,8,77137,0.0-8.0,s549,<div class = centerbox><div  class = center-text>Task about to start!</div></div>,680,0,fmri_trigger_wait,,,,,,,,,,
680,84,poldrack-text,9,77817,0.0-9.0,s549,<div class = centerbox><div  class = center-text>Task about to start!</div></div>,680,0,fmri_trigger_wait,,,,,,,,,,
680,84,poldrack-text,10,78497,0.0-10.0,s549,<div class = centerbox><div  class = center-text>Task about to start!</div></div>,680,0,fmri_trigger_wait,,,,,,,,,,
679,84,poldrack-text,11,79177,0.0-11.0,s549,<div class = centerbox><div  class = center-text>Task about to start!</div></div>,679,0,fmri_trigger_wait,,,,,,,,,,
679,84,poldrack-text,12,79857,0.0-12.0,s549,<div class = centerbox><div  class = center-text>Task about to start!</div></div>,679,0,fmri_trigger_wait,,,,,,,,,,
680,84,poldrack-text,13,80537,0.0-13.0,s549,<div class = centerbox><div  class = center-text>Task about to start!</div></div>,680,0,fmri_trigger_wait,,,,,,,,,,
680,84,poldrack-text,14,81218,0.0-14.0,s549,<div class = centerbox><div  class = center-text>Task about to start!</div></div>,680,0,fmri_trigger_wait,,,,,,,,,,
679,84,poldrack-text,15,81897,0.0-15.0,s549,<div class = centerbox><div  class = center-text>Task about to start!</div></div>,679,0,fmri_trigger_wait,,,,,,,,,,
680,84,poldrack-text,16,82577,0.0-16.0,s549,<div class = centerbox><div  class = center-text>Task about to start!</div></div>,680,0,fmri_trigger_wait,,,,,,,,,,
680,84,poldrack-text,17,83257,0.0-17.0,s549,<div class = centerbox><div  class = center-text>Task about to start!</div></div>,680,0,fmri_trigger_wait,,,,,,,,,,
680,84,poldrack-text,18,83937,0.0-18.0,s549,<div class = centerbox><div  class = center-text>Task about to start!</div></div>,680,0,fmri_trigger_wait,,,,,,,,,,
678,84,poldrack-text,19,84616,0.0-19.0,s549,<div class = centerbox><div  class = center-text>Task about to start!</div></div>,678,0,fmri_trigger_wait,,,,,,,,,,
680,84,poldrack-text,20,85296,0.0-20.0,s549,<div class = centerbox><div  class = center-text>Task about to start!</div></div>,680,0,fmri_trigger_wait,,,,,,,,,,
680,84,poldrack-text,21,85976,0.0-21.0,s549,<div class = centerbox><div  class = center-text>Task about to start!</div></div>,680,0,fmri_trigger_wait,,,,,,,,,,
-1,-1,poldrack-single-stim,22,86979,0.0-22.0,s549,,1000,0,fmri_buffer,,none,1000,,,,,,,
-1,-1,poldrack-single-stim,23,88481,0.0-23.0,s549,,1500,500,test_start_block,<div class = centerbox><div class = center-text>Get ready!</p></div>,none,1500,,,,,,,
