"rt","key_press","trial_type","trial_index","time_elapsed","internal_node_id","subject","text","block_duration","timing_post_trial","trial_id","stimulus","possible_responses","stim_duration","exp_stage","small_amount","large_amount","later_delay","choice","exp_id","bonus"
"2588","13","text","0","2590","0.0-0.0","s558","","","","","","","","","","","","","",""
"5217","89","poldrack-text","1","8810","0.0-1.0","s558","<div class = centerbox><div style = 'font-size: 50px' class = center-text>Please press your index finger</p></div>","5217","500","fmri_response_test","","","","","","","","","",""
"1120","71","poldrack-text","2","10432","0.0-2.0","s558","<div class = centerbox><div style = 'font-size: 50px' class = center-text>Please press your middle finger</p></div>","1120","500","fmri_response_test","","","","","","","","","",""
"27551","32","poldrack-single-stim","3","38487","0.0-3.0","s558","","27551","500","instructions","<div class = centerbox><div class = center-text>Choose between <strong>$20 today</strong> or the presented option.<br><br><strong>Index:</strong> Accept option on screen (reject $20 today). <br><br><strong>Middle:</strong> Reject option on screen (accept $20 today)<br><br>We will start with a practice trial.</div></div>","32","27551","","","","","","",""
"1408","89","poldrack-single-stim","4","40397","0.0-4.0","s558","","1408","1000","stim","<div class = dd-stim><div class = amtbox style = ""color:white"">$53.75</div><br><br><div class = delbox style = ""color:white"">34 days</div></div>","89,71","1408","practice","","","","","",""
"22603","32","poldrack-text","5","64002","0.0-5.0","s558","<div class = centerbox><div  class = center-text>Scanner Setup</div></div>","22603","0","fmri_scanner_wait","","","","","","","","","",""
"3194","84","poldrack-text","6","67196","0.0-6.0","s558","<div class = centerbox><div  class = center-text>Task about to start!</div></div>","3194","0","fmri_trigger_wait","","","","","","","","","",""
"680","84","poldrack-text","7","67876","0.0-7.0","s558","<div class = centerbox><div  class = center-text>Task about to start!</div></div>","680","0","fmri_trigger_wait","","","","","","","","","",""
"679","84","poldrack-text","8","68556","0.0-8.0","s558","<div class = centerbox><div  class = center-text>Task about to start!</div></div>","679","0","fmri_trigger_wait","","","","","","","","","",""
"680","84","poldrack-text","9","69236","0.0-9.0","s558","<div class = centerbox><div  class = center-text>Task about to start!</div></div>","680","0","fmri_trigger_wait","","","","","","","","","",""
