"rt","key_press","trial_type","trial_index","time_elapsed","internal_node_id","subject","text","block_duration","timing_post_trial","trial_id","responses","stimulus","possible_responses","stim_duration","correct","correct_response","feedback_duration","exp_stage","trial_num","SS_stimulus","SS_delay","SS_trial_type","SS_duration","exp_id"
"1999","13","text","0","2001","0.0-0.0","s573","","","","","","","","","","","","","","","","","",""
"1157","89","poldrack-text","1","4165","0.0-1.0","s573","<div class = centerbox><div style = 'font-size: 50px' class = center-text>Please press your index finger</p></div>","1157","500","fmri_response_test","","","","","","","","","","","","","",""
"462","71","poldrack-text","2","5131","0.0-2.0","s573","<div class = centerbox><div style = 'font-size: 50px' class = center-text>Please press your middle finger</p></div>","462","500","fmri_response_test","","","","","","","","","","","","","",""
"6913","","survey-text","3","12548","0.0-3.0","s573","","","","task_setup","{""Q0"":""300""}","","","","","","","","","","","","",""
"28618","32","poldrack-single-stim","4","42189","0.0-4.0","s573","","28618","0","instructions","","<div class = instructbox><p class = instruct-text>Only one key is correct for each shape. The correct keys are as follows:<ul list-text><li><div class = prompt_container><img class = prompt_stim src = /static/experiments/stop_signal/images/moon.png></img>index finger</div></li></li><li><div class = prompt_container><img class = prompt_stim src = /static/experiments/stop_signal/images/oval.png></img>middle finger</div></li> </li><li><div class = prompt_container><img class = prompt_stim src = /static/experiments/stop_signal/images/rectangle.png></img>middle finger</div></li> </li><li><div class = prompt_container><img class = prompt_stim src = /static/experiments/stop_signal/images/trapezoid.png></img>index finger</div></li></ul></p><p class = instruct-text><strong>Do not respond if you see the red star!</strong></p><p class = instruct-text>We will start with practice</p></div>","32","28618","","","","","","","","","",""
"899","71","poldrack-categorize","5","44550","0.0-5.0-0.0-0.0","s573","","1850","250","stim","","<div class = coverbox></div><div class = shapebox><img class = stim src = /static/experiments/stop_signal/images/rectangle.png></img></div>","89,71","850","true","71","500","practice","0","","","","",""
"607","89","poldrack-categorize","6","47164","0.0-5.0-0.0-1.0","s573","","1850","250","stim","","<div class = coverbox></div><div class = shapebox><img class = stim src = /static/experiments/stop_signal/images/moon.png></img></div>","89,71","850","true","89","500","practice","1","","","","",""
"869","89","poldrack-categorize","7","49772","0.0-5.0-0.0-2.0","s573","","1850","250","stim","","<div class = coverbox></div><div class = shapebox><img class = stim src = /static/experiments/stop_signal/images/trapezoid.png></img></div>","89,71","850","true","89","500","practice","2","","","","",""
"635","89","poldrack-categorize","8","52380","0.0-5.0-0.0-3.0","s573","","1850","250","stim","","<div class = coverbox></div><div class = shapebox><img class = stim src = /static/experiments/stop_signal/images/moon.png></img></div>","89,71","850","true","89","500","practice","3","","","","",""
"742","71","poldrack-categorize","9","54988","0.0-5.0-0.0-4.0","s573","","1850","250","stim","","<div class = coverbox></div><div class = shapebox><img class = stim src = /static/experiments/stop_signal/images/oval.png></img></div>","89,71","850","true","71","500","practice","4","","","","",""
"689","71","poldrack-categorize","10","57596","0.0-5.0-0.0-5.0","s573","","1850","250","stim","","<div class = coverbox></div><div class = shapebox><img class = stim src = /static/experiments/stop_signal/images/oval.png></img></div>","89,71","850","true","71","500","practice","5","","","","",""
"651","71","poldrack-categorize","11","60204","0.0-5.0-0.0-6.0","s573","","1850","250","stim","","<div class = coverbox></div><div class = shapebox><img class = stim src = /static/experiments/stop_signal/images/rectangle.png></img></div>","89,71","850","true","71","500","practice","6","","","","",""
"766","89","poldrack-categorize","12","62812","0.0-5.0-0.0-7.0","s573","","1850","250","stim","","<div class = coverbox></div><div class = shapebox><img class = stim src = /static/experiments/stop_signal/images/trapezoid.png></img></div>","89,71","850","true","89","500","practice","7","","","","",""
"1225","71","poldrack-categorize","13","65420","0.0-5.0-0.0-8.0","s573","","1850","250","stim","","<div class = coverbox></div><div class = shapebox><img class = stim src = /static/experiments/stop_signal/images/rectangle.png></img></div>","89,71","850","true","71","500","practice","8","","","","",""
"691","89","poldrack-categorize","14","68025","0.0-5.0-0.0-9.0","s573","","1850","250","stim","","<div class = coverbox></div><div class = shapebox><img class = stim src = /static/experiments/stop_signal/images/trapezoid.png></img></div>","89,71","850","true","89","500","practice","9","","","","",""
"585","89","poldrack-categorize","15","70631","0.0-5.0-0.0-10.0","s573","","1850","250","stim","","<div class = coverbox></div><div class = shapebox><img class = stim src = /static/experiments/stop_signal/images/moon.png></img></div>","89,71","850","true","89","500","practice","10","","","","",""
"793","71","poldrack-categorize","16","73234","0.0-5.0-0.0-11.0","s573","","1850","250","stim","","<div class = coverbox></div><div class = shapebox><img class = stim src = /static/experiments/stop_signal/images/oval.png></img></div>","89,71","850","true","71","500","practice","11","","","","",""
"23926","32","poldrack-text","17","97411","0.0-6.0","s573","<div class = centerbox><div  class = center-text>Scanner Setup</div></div>","23926","0","fmri_scanner_wait","","","","","","","","","","","","","",""
"594","84","poldrack-text","18","98005","0.0-7.0","s573","<div class = centerbox><div  class = center-text>Task about to start!</div></div>","594","0","fmri_trigger_wait","","","","","","","","","","","","","",""
"680","84","poldrack-text","19","98685","0.0-8.0","s573","<div class = centerbox><div  class = center-text>Task about to start!</div></div>","680","0","fmri_trigger_wait","","","","","","","","","","","","","",""
"680","84","poldrack-text","20","99365","0.0-9.0","s573","<div class = centerbox><div  class = center-text>Task about to start!</div></div>","680","0","fmri_trigger_wait","","","","","","","","","","","","","",""
"680","84","poldrack-text","21","100045","0.0-10.0","s573","<div class = centerbox><div  class = center-text>Task about to start!</div></div>","680","0","fmri_trigger_wait","","","","","","","","","","","","","",""
"680","84","poldrack-text","22","100725","0.0-11.0","s573","<div class = centerbox><div  class = center-text>Task about to start!</div></div>","680","0","fmri_trigger_wait","","","","","","","","","","","","","",""
"680","84","poldrack-text","23","101406","0.0-12.0","s573","<div class = centerbox><div  class = center-text>Task about to start!</div></div>","680","0","fmri_trigger_wait","","","","","","","","","","","","","",""
"679","84","poldrack-text","24","102085","0.0-13.0","s573","<div class = centerbox><div  class = center-text>Task about to start!</div></div>","679","0","fmri_trigger_wait","","","","","","","","","","","","","",""
"680","84","poldrack-text","25","102765","0.0-14.0","s573","<div class = centerbox><div  class = center-text>Task about to start!</div></div>","680","0","fmri_trigger_wait","","","","","","","","","","","","","",""
"680","84","poldrack-text","26","103445","0.0-15.0","s573","<div class = centerbox><div  class = center-text>Task about to start!</div></div>","680","0","fmri_trigger_wait","","","","","","","","","","","","","",""
"680","84","poldrack-text","27","104125","0.0-16.0","s573","<div class = centerbox><div  class = center-text>Task about to start!</div></div>","680","0","fmri_trigger_wait","","","","","","","","","","","","","",""
"680","84","poldrack-text","28","104805","0.0-17.0","s573","<div class = centerbox><div  class = center-text>Task about to start!</div></div>","680","0","fmri_trigger_wait","","","","","","","","","","","","","",""
"680","84","poldrack-text","29","105485","0.0-18.0","s573","<div class = centerbox><div  class = center-text>Task about to start!</div></div>","680","0","fmri_trigger_wait","","","","","","","","","","","","","",""
"679","84","poldrack-text","30","106165","0.0-19.0","s573","<div class = centerbox><div  class = center-text>Task about to start!</div></div>","679","0","fmri_trigger_wait","","","","","","","","","","","","","",""
"679","84","poldrack-text","31","106846","0.0-20.0","s573","<div class = centerbox><div  class = center-text>Task about to start!</div></div>","679","0","fmri_trigger_wait","","","","","","","","","","","","","",""
"680","84","poldrack-text","32","107526","0.0-21.0","s573","<div class = centerbox><div  class = center-text>Task about to start!</div></div>","680","0","fmri_trigger_wait","","","","","","","","","","","","","",""
"679","84","poldrack-text","33","108205","0.0-22.0","s573","<div class = centerbox><div  class = center-text>Task about to start!</div></div>","679","0","fmri_trigger_wait","","","","","","","","","","","","","",""
"-1","-1","poldrack-single-stim","34","109211","0.0-23.0","s573","","1000","0","fmri_buffer","","","none","1000","","","","","","","","","",""
"-1","-1","poldrack-single-stim","35","110712","0.0-24.0","s573","","1500","500","test_start_block","","<div class = centerbox><div class = center-text>Get ready!</p></div>","none","1500","","","","","","","","","",""
