"rt","key_press","trial_type","trial_index","time_elapsed","internal_node_id","subject","text","block_duration","timing_post_trial","trial_id","stimulus","possible_responses","stim_duration","exp_stage","which_round","num_click_in_round","num_cards","num_loss_cards","gain_amount","loss_amount","round_points","clicked_on_loss_card","reward","exp_id"
"1802","13","text","0","1804","0.0-0.0","s577","","","","","","","","","","","","","","","","","",""
"2017","89","poldrack-text","1","4823","0.0-1.0","s577","<div class = centerbox><div style = 'font-size: 50px' class = center-text>Please press your index finger</p></div>","2017","500","fmri_response_test","","","","","","","","","","","","","",""
"814","71","poldrack-text","2","6142","0.0-2.0","s577","<div class = centerbox><div style = 'font-size: 50px' class = center-text>Please press your middle finger</p></div>","814","500","fmri_response_test","","","","","","","","","","","","","",""
"43004","32","poldrack-single-stim","3","49651","0.0-3.0","s577","","43004","500","instructions","<div class = centerbox><div class = center-text>Try to get as many points as possible<br><br>The loss amount, the gain amount, and the number of loss cards may change each trial<br><br>Index Finger: Take Another Card<br>Middle Finger: End The Round</div></div>","32","43004","","","","","","","","","","",""
"27446","32","poldrack-text","4","77602","0.0-4.0","s577","<div class = centerbox><div  class = center-text>Scanner Setup</div></div>","27446","0","fmri_scanner_wait","","","","","","","","","","","","","",""
"1398","84","poldrack-text","5","79001","0.0-5.0","s577","<div class = centerbox><div  class = center-text>Task about to start!</div></div>","1398","0","fmri_trigger_wait","","","","","","","","","","","","","",""
"679","84","poldrack-text","6","79681","0.0-6.0","s577","<div class = centerbox><div  class = center-text>Task about to start!</div></div>","679","0","fmri_trigger_wait","","","","","","","","","","","","","",""
"679","84","poldrack-text","7","80361","0.0-7.0","s577","<div class = centerbox><div  class = center-text>Task about to start!</div></div>","679","0","fmri_trigger_wait","","","","","","","","","","","","","",""
"679","84","poldrack-text","8","81041","0.0-8.0","s577","<div class = centerbox><div  class = center-text>Task about to start!</div></div>","679","0","fmri_trigger_wait","","","","","","","","","","","","","",""
"680","84","poldrack-text","9","81721","0.0-9.0","s577","<div class = centerbox><div  class = center-text>Task about to start!</div></div>","680","0","fmri_trigger_wait","","","","","","","","","","","","","",""
"679","84","poldrack-text","10","82402","0.0-10.0","s577","<div class = centerbox><div  class = center-text>Task about to start!</div></div>","679","0","fmri_trigger_wait","","","","","","","","","","","","","",""
"679","84","poldrack-text","11","83082","0.0-11.0","s577","<div class = centerbox><div  class = center-text>Task about to start!</div></div>","679","0","fmri_trigger_wait","","","","","","","","","","","","","",""
"679","84","poldrack-text","12","83762","0.0-12.0","s577","<div class = centerbox><div  class = center-text>Task about to start!</div></div>","679","0","fmri_trigger_wait","","","","","","","","","","","","","",""
"679","84","poldrack-text","13","84442","0.0-13.0","s577","<div class = centerbox><div  class = center-text>Task about to start!</div></div>","679","0","fmri_trigger_wait","","","","","","","","","","","","","",""
"679","84","poldrack-text","14","85122","0.0-14.0","s577","<div class = centerbox><div  class = center-text>Task about to start!</div></div>","679","0","fmri_trigger_wait","","","","","","","","","","","","","",""
"679","84","poldrack-text","15","85802","0.0-15.0","s577","<div class = centerbox><div  class = center-text>Task about to start!</div></div>","679","0","fmri_trigger_wait","","","","","","","","","","","","","",""
"680","84","poldrack-text","16","86482","0.0-16.0","s577","<div class = centerbox><div  class = center-text>Task about to start!</div></div>","680","0","fmri_trigger_wait","","","","","","","","","","","","","",""
"679","84","poldrack-text","17","87162","0.0-17.0","s577","<div class = centerbox><div  class = center-text>Task about to start!</div></div>","679","0","fmri_trigger_wait","","","","","","","","","","","","","",""
"680","84","poldrack-text","18","87843","0.0-18.0","s577","<div class = centerbox><div  class = center-text>Task about to start!</div></div>","680","0","fmri_trigger_wait","","","","","","","","","","","","","",""
"678","84","poldrack-text","19","88522","0.0-19.0","s577","<div class = centerbox><div  class = center-text>Task about to start!</div></div>","678","0","fmri_trigger_wait","","","","","","","","","","","","","",""
"680","84","poldrack-text","20","89202","0.0-20.0","s577","<div class = centerbox><div  class = center-text>Task about to start!</div></div>","680","0","fmri_trigger_wait","","","","","","","","","","","","","",""
"-1","-1","poldrack-single-stim","21","90208","0.0-21.0","s577","","1000","0","fmri_buffer","","none","1000","","","","","","","","","","",""
"-1","-1","poldrack-single-stim","22","91710","0.0-22.0","s577","","1500","500","test_start_block","<div class = centerbox><div class = center-text>Get ready!</p></div>","none","1500","","","","","","","","","","",""
