"rt","key_press","trial_type","trial_index","time_elapsed","internal_node_id","subject","text","block_duration","timing_post_trial","trial_id","stimulus","possible_responses","stim_duration","exp_stage","which_round","num_click_in_round","num_cards","num_loss_cards","gain_amount","loss_amount","round_points","clicked_on_loss_card","reward","exp_id"
"1977","13","text","0","1980","0.0-0.0","s582","","","","","","","","","","","","","","","","","",""
"1311","89","poldrack-text","1","4294","0.0-1.0","s582","<div class = centerbox><div style = 'font-size: 50px' class = center-text>Please press your index finger</p></div>","1311","500","fmri_response_test","","","","","","","","","","","","","",""
"357","71","poldrack-text","2","5156","0.0-2.0","s582","<div class = centerbox><div style = 'font-size: 50px' class = center-text>Please press your middle finger</p></div>","357","500","fmri_response_test","","","","","","","","","","","","","",""
"48189","32","poldrack-single-stim","3","53851","0.0-3.0","s582","","48189","500","instructions","<div class = centerbox><div class = center-text>Try to get as many points as possible<br><br>The loss amount, the gain amount, and the number of loss cards may change each trial<br><br>Index Finger: Take Another Card<br>Middle Finger: End The Round</div></div>","32","48189","","","","","","","","","","",""
"26414","32","poldrack-text","4","80767","0.0-4.0","s582","<div class = centerbox><div  class = center-text>Scanner Setup</div></div>","26414","0","fmri_scanner_wait","","","","","","","","","","","","","",""
"1329","84","poldrack-text","5","82096","0.0-5.0","s582","<div class = centerbox><div  class = center-text>Task about to start!</div></div>","1329","0","fmri_trigger_wait","","","","","","","","","","","","","",""
"679","84","poldrack-text","6","82775","0.0-6.0","s582","<div class = centerbox><div  class = center-text>Task about to start!</div></div>","679","0","fmri_trigger_wait","","","","","","","","","","","","","",""
"680","84","poldrack-text","7","83455","0.0-7.0","s582","<div class = centerbox><div  class = center-text>Task about to start!</div></div>","680","0","fmri_trigger_wait","","","","","","","","","","","","","",""
"680","84","poldrack-text","8","84135","0.0-8.0","s582","<div class = centerbox><div  class = center-text>Task about to start!</div></div>","680","0","fmri_trigger_wait","","","","","","","","","","","","","",""
"680","84","poldrack-text","9","84815","0.0-9.0","s582","<div class = centerbox><div  class = center-text>Task about to start!</div></div>","680","0","fmri_trigger_wait","","","","","","","","","","","","","",""
"680","84","poldrack-text","10","85495","0.0-10.0","s582","<div class = centerbox><div  class = center-text>Task about to start!</div></div>","680","0","fmri_trigger_wait","","","","","","","","","","","","","",""
"679","84","poldrack-text","11","86175","0.0-11.0","s582","<div class = centerbox><div  class = center-text>Task about to start!</div></div>","679","0","fmri_trigger_wait","","","","","","","","","","","","","",""
"680","84","poldrack-text","12","86855","0.0-12.0","s582","<div class = centerbox><div  class = center-text>Task about to start!</div></div>","680","0","fmri_trigger_wait","","","","","","","","","","","","","",""
"680","84","poldrack-text","13","87535","0.0-13.0","s582","<div class = centerbox><div  class = center-text>Task about to start!</div></div>","680","0","fmri_trigger_wait","","","","","","","","","","","","","",""
"679","84","poldrack-text","14","88215","0.0-14.0","s582","<div class = centerbox><div  class = center-text>Task about to start!</div></div>","679","0","fmri_trigger_wait","","","","","","","","","","","","","",""
"680","84","poldrack-text","15","88896","0.0-15.0","s582","<div class = centerbox><div  class = center-text>Task about to start!</div></div>","680","0","fmri_trigger_wait","","","","","","","","","","","","","",""
"679","84","poldrack-text","16","89576","0.0-16.0","s582","<div class = centerbox><div  class = center-text>Task about to start!</div></div>","679","0","fmri_trigger_wait","","","","","","","","","","","","","",""
"679","84","poldrack-text","17","90256","0.0-17.0","s582","<div class = centerbox><div  class = center-text>Task about to start!</div></div>","679","0","fmri_trigger_wait","","","","","","","","","","","","","",""
"679","84","poldrack-text","18","90936","0.0-18.0","s582","<div class = centerbox><div  class = center-text>Task about to start!</div></div>","679","0","fmri_trigger_wait","","","","","","","","","","","","","",""
"679","84","poldrack-text","19","91616","0.0-19.0","s582","<div class = centerbox><div  class = center-text>Task about to start!</div></div>","679","0","fmri_trigger_wait","","","","","","","","","","","","","",""
"680","84","poldrack-text","20","92296","0.0-20.0","s582","<div class = centerbox><div  class = center-text>Task about to start!</div></div>","680","0","fmri_trigger_wait","","","","","","","","","","","","","",""
"-1","-1","poldrack-single-stim","21","93302","0.0-21.0","s582","","1000","0","fmri_buffer","","none","1000","","","","","","","","","","",""
"-1","-1","poldrack-single-stim","22","94804","0.0-22.0","s582","","1500","500","test_start_block","<div class = centerbox><div class = center-text>Get ready!</p></div>","none","1500","","","","","","","","","","",""
