"rt","key_press","trial_type","trial_index","time_elapsed","internal_node_id","subject","text","block_duration","timing_post_trial","trial_id","responses","stimulus","possible_responses","stim_duration","correct","correct_response","feedback_duration","exp_stage","trial_num","SS_stimulus","SS_delay","SS_trial_type","SS_duration","exp_id"
"1823","13","text","0","1825","0.0-0.0","s602","","","","","","","","","","","","","","","","","",""
"2523","89","poldrack-text","1","5355","0.0-1.0","s602","<div class = centerbox><div style = 'font-size: 50px' class = center-text>Please press your index finger</p></div>","2523","500","fmri_response_test","","","","","","","","","","","","","",""
"800","71","poldrack-text","2","6657","0.0-2.0","s602","<div class = centerbox><div style = 'font-size: 50px' class = center-text>Please press your middle finger</p></div>","800","500","fmri_response_test","","","","","","","","","","","","","",""
"7728","","survey-text","3","14892","0.0-3.0","s602","","","","task_setup","{""Q0"":""400""}","","","","","","","","","","","","",""
"38178","32","poldrack-single-stim","4","54095","0.0-4.0","s602","","38178","0","instructions","","<div class = instructbox><p class = instruct-text>Only one key is correct for each shape. The correct keys are as follows:<ul list-text><li><div class = prompt_container><img class = prompt_stim src = /static/experiments/stop_signal/images/moon.png></img>index finger</div></li></li><li><div class = prompt_container><img class = prompt_stim src = /static/experiments/stop_signal/images/oval.png></img>index finger</div></li> </li><li><div class = prompt_container><img class = prompt_stim src = /static/experiments/stop_signal/images/rectangle.png></img>middle finger</div></li> </li><li><div class = prompt_container><img class = prompt_stim src = /static/experiments/stop_signal/images/trapezoid.png></img>middle finger</div></li></ul></p><p class = instruct-text><strong>Do not respond if you see the red star!</strong></p><p class = instruct-text>We will start with practice</p></div>","32","38178","","","","","","","","","",""
"684","89","poldrack-categorize","5","56449","0.0-5.0-0.0-0.0","s602","","1850","250","stim","","<div class = coverbox></div><div class = shapebox><img class = stim src = /static/experiments/stop_signal/images/moon.png></img></div>","89,71","850","true","89","500","practice","0","","","","",""
"546","71","poldrack-categorize","6","59062","0.0-5.0-0.0-1.0","s602","","1850","250","stim","","<div class = coverbox></div><div class = shapebox><img class = stim src = /static/experiments/stop_signal/images/trapezoid.png></img></div>","89,71","850","true","71","500","practice","1","","","","",""
"498","89","poldrack-categorize","7","61670","0.0-5.0-0.0-2.0","s602","","1850","250","stim","","<div class = coverbox></div><div class = shapebox><img class = stim src = /static/experiments/stop_signal/images/oval.png></img></div>","89,71","850","true","89","500","practice","2","","","","",""
"527","89","poldrack-categorize","8","64277","0.0-5.0-0.0-3.0","s602","","1850","250","stim","","<div class = coverbox></div><div class = shapebox><img class = stim src = /static/experiments/stop_signal/images/oval.png></img></div>","89,71","850","true","89","500","practice","3","","","","",""
"816","89","poldrack-categorize","9","66880","0.0-5.0-0.0-4.0","s602","","1850","250","stim","","<div class = coverbox></div><div class = shapebox><img class = stim src = /static/experiments/stop_signal/images/oval.png></img></div>","89,71","850","true","89","500","practice","4","","","","",""
"995","89","poldrack-categorize","10","69489","0.0-5.0-0.0-5.0","s602","","1850","250","stim","","<div class = coverbox></div><div class = shapebox><img class = stim src = /static/experiments/stop_signal/images/moon.png></img></div>","89,71","850","true","89","500","practice","5","","","","",""
"601","71","poldrack-categorize","11","72091","0.0-5.0-0.0-6.0","s602","","1850","250","stim","","<div class = coverbox></div><div class = shapebox><img class = stim src = /static/experiments/stop_signal/images/rectangle.png></img></div>","89,71","850","true","71","500","practice","6","","","","",""
"382","71","poldrack-categorize","12","74699","0.0-5.0-0.0-7.0","s602","","1850","250","stim","","<div class = coverbox></div><div class = shapebox><img class = stim src = /static/experiments/stop_signal/images/rectangle.png></img></div>","89,71","850","true","71","500","practice","7","","","","",""
"461","71","poldrack-categorize","13","77309","0.0-5.0-0.0-8.0","s602","","1850","250","stim","","<div class = coverbox></div><div class = shapebox><img class = stim src = /static/experiments/stop_signal/images/rectangle.png></img></div>","89,71","850","true","71","500","practice","8","","","","",""
"567","89","poldrack-categorize","14","79915","0.0-5.0-0.0-9.0","s602","","1850","250","stim","","<div class = coverbox></div><div class = shapebox><img class = stim src = /static/experiments/stop_signal/images/moon.png></img></div>","89,71","850","true","89","500","practice","9","","","","",""
"503","71","poldrack-categorize","15","82523","0.0-5.0-0.0-10.0","s602","","1850","250","stim","","<div class = coverbox></div><div class = shapebox><img class = stim src = /static/experiments/stop_signal/images/trapezoid.png></img></div>","89,71","850","true","71","500","practice","10","","","","",""
"665","71","poldrack-categorize","16","85131","0.0-5.0-0.0-11.0","s602","","1850","250","stim","","<div class = coverbox></div><div class = shapebox><img class = stim src = /static/experiments/stop_signal/images/trapezoid.png></img></div>","89,71","850","true","71","500","practice","11","","","","",""
"26295","32","poldrack-text","17","111682","0.0-6.0","s602","<div class = centerbox><div  class = center-text>Scanner Setup</div></div>","26295","0","fmri_scanner_wait","","","","","","","","","","","","","",""
"1327","84","poldrack-text","18","113010","0.0-7.0","s602","<div class = centerbox><div  class = center-text>Task about to start!</div></div>","1327","0","fmri_trigger_wait","","","","","","","","","","","","","",""
"679","84","poldrack-text","19","113690","0.0-8.0","s602","<div class = centerbox><div  class = center-text>Task about to start!</div></div>","679","0","fmri_trigger_wait","","","","","","","","","","","","","",""
"679","84","poldrack-text","20","114370","0.0-9.0","s602","<div class = centerbox><div  class = center-text>Task about to start!</div></div>","679","0","fmri_trigger_wait","","","","","","","","","","","","","",""
"679","84","poldrack-text","21","115050","0.0-10.0","s602","<div class = centerbox><div  class = center-text>Task about to start!</div></div>","679","0","fmri_trigger_wait","","","","","","","","","","","","","",""
"680","84","poldrack-text","22","115730","0.0-11.0","s602","<div class = centerbox><div  class = center-text>Task about to start!</div></div>","680","0","fmri_trigger_wait","","","","","","","","","","","","","",""
"679","84","poldrack-text","23","116410","0.0-12.0","s602","<div class = centerbox><div  class = center-text>Task about to start!</div></div>","679","0","fmri_trigger_wait","","","","","","","","","","","","","",""
"680","84","poldrack-text","24","117090","0.0-13.0","s602","<div class = centerbox><div  class = center-text>Task about to start!</div></div>","680","0","fmri_trigger_wait","","","","","","","","","","","","","",""
"679","84","poldrack-text","25","117770","0.0-14.0","s602","<div class = centerbox><div  class = center-text>Task about to start!</div></div>","679","0","fmri_trigger_wait","","","","","","","","","","","","","",""
"679","84","poldrack-text","26","118450","0.0-15.0","s602","<div class = centerbox><div  class = center-text>Task about to start!</div></div>","679","0","fmri_trigger_wait","","","","","","","","","","","","","",""
"679","84","poldrack-text","27","119130","0.0-16.0","s602","<div class = centerbox><div  class = center-text>Task about to start!</div></div>","679","0","fmri_trigger_wait","","","","","","","","","","","","","",""
"680","84","poldrack-text","28","119810","0.0-17.0","s602","<div class = centerbox><div  class = center-text>Task about to start!</div></div>","680","0","fmri_trigger_wait","","","","","","","","","","","","","",""
"680","84","poldrack-text","29","120490","0.0-18.0","s602","<div class = centerbox><div  class = center-text>Task about to start!</div></div>","680","0","fmri_trigger_wait","","","","","","","","","","","","","",""
"679","84","poldrack-text","30","121170","0.0-19.0","s602","<div class = centerbox><div  class = center-text>Task about to start!</div></div>","679","0","fmri_trigger_wait","","","","","","","","","","","","","",""
"679","84","poldrack-text","31","121850","0.0-20.0","s602","<div class = centerbox><div  class = center-text>Task about to start!</div></div>","679","0","fmri_trigger_wait","","","","","","","","","","","","","",""
"679","84","poldrack-text","32","122530","0.0-21.0","s602","<div class = centerbox><div  class = center-text>Task about to start!</div></div>","679","0","fmri_trigger_wait","","","","","","","","","","","","","",""
"679","84","poldrack-text","33","123210","0.0-22.0","s602","<div class = centerbox><div  class = center-text>Task about to start!</div></div>","679","0","fmri_trigger_wait","","","","","","","","","","","","","",""
"-1","-1","poldrack-single-stim","34","124216","0.0-23.0","s602","","1000","0","fmri_buffer","","","none","1000","","","","","","","","","",""
