"rt","key_press","trial_type","trial_index","time_elapsed","internal_node_id","subject","text","block_duration","timing_post_trial","trial_id","stimulus","possible_responses","stim_duration","survey","item_coding","item_text","options","response","coded_response","exp_id"
"1573","13","text","0","1576","0.0-0.0","s613","","","","","","","","","","","","","",""
"2134","66","poldrack-text","1","4718","0.0-1.0","s613","<div class = centerbox><div style = 'font-size: 50px' class = center-text>Please press your thumb finger</p></div>","2134","500","fmri_response_test","","","","","","","","","",""
"922","89","poldrack-text","2","6144","0.0-2.0","s613","<div class = centerbox><div style = 'font-size: 50px' class = center-text>Please press your index finger</p></div>","922","500","fmri_response_test","","","","","","","","","",""
"638","71","poldrack-text","3","7284","0.0-3.0","s613","<div class = centerbox><div style = 'font-size: 50px' class = center-text>Please press your middle finger</p></div>","638","500","fmri_response_test","","","","","","","","","",""
"414","82","poldrack-text","4","8199","0.0-4.0","s613","<div class = centerbox><div style = 'font-size: 50px' class = center-text>Please press your ring finger</p></div>","414","500","fmri_response_test","","","","","","","","","",""
"1081","77","poldrack-text","5","9784","0.0-5.0","s613","<div class = centerbox><div style = 'font-size: 50px' class = center-text>Please press your pinky finger</p></div>","1081","500","fmri_response_test","","","","","","","","","",""
"24431","32","poldrack-single-stim","6","34719","0.0-6.0","s613","","24431","0","instructions","<div class = centerbox><div class = center-text>Respond to the questions!</div></div>","32","24431","","","","","","",""
"22135","32","poldrack-text","7","56855","0.0-7.0","s613","<div class = centerbox><div  class = center-text>Scanner Setup</div></div>","22135","0","fmri_scanner_wait","","","","","","","","","",""
"1284","84","poldrack-text","8","58139","0.0-8.0","s613","<div class = centerbox><div  class = center-text>Task about to start!</div></div>","1284","0","fmri_trigger_wait","","","","","","","","","",""
"679","84","poldrack-text","9","58818","0.0-9.0","s613","<div class = centerbox><div  class = center-text>Task about to start!</div></div>","679","0","fmri_trigger_wait","","","","","","","","","",""
"679","84","poldrack-text","10","59499","0.0-10.0","s613","<div class = centerbox><div  class = center-text>Task about to start!</div></div>","679","0","fmri_trigger_wait","","","","","","","","","",""
"679","84","poldrack-text","11","60179","0.0-11.0","s613","<div class = centerbox><div  class = center-text>Task about to start!</div></div>","679","0","fmri_trigger_wait","","","","","","","","","",""
"679","84","poldrack-text","12","60859","0.0-12.0","s613","<div class = centerbox><div  class = center-text>Task about to start!</div></div>","679","0","fmri_trigger_wait","","","","","","","","","",""
"679","84","poldrack-text","13","61539","0.0-13.0","s613","<div class = centerbox><div  class = center-text>Task about to start!</div></div>","679","0","fmri_trigger_wait","","","","","","","","","",""
"679","84","poldrack-text","14","62219","0.0-14.0","s613","<div class = centerbox><div  class = center-text>Task about to start!</div></div>","679","0","fmri_trigger_wait","","","","","","","","","",""
"679","84","poldrack-text","15","62899","0.0-15.0","s613","<div class = centerbox><div  class = center-text>Task about to start!</div></div>","679","0","fmri_trigger_wait","","","","","","","","","",""
"679","84","poldrack-text","16","63579","0.0-16.0","s613","<div class = centerbox><div  class = center-text>Task about to start!</div></div>","679","0","fmri_trigger_wait","","","","","","","","","",""
"679","84","poldrack-text","17","64259","0.0-17.0","s613","<div class = centerbox><div  class = center-text>Task about to start!</div></div>","679","0","fmri_trigger_wait","","","","","","","","","",""
"679","84","poldrack-text","18","64939","0.0-18.0","s613","<div class = centerbox><div  class = center-text>Task about to start!</div></div>","679","0","fmri_trigger_wait","","","","","","","","","",""
"679","84","poldrack-text","19","65619","0.0-19.0","s613","<div class = centerbox><div  class = center-text>Task about to start!</div></div>","679","0","fmri_trigger_wait","","","","","","","","","",""
"679","84","poldrack-text","20","66299","0.0-20.0","s613","<div class = centerbox><div  class = center-text>Task about to start!</div></div>","679","0","fmri_trigger_wait","","","","","","","","","",""
"679","84","poldrack-text","21","66979","0.0-21.0","s613","<div class = centerbox><div  class = center-text>Task about to start!</div></div>","679","0","fmri_trigger_wait","","","","","","","","","",""
"679","84","poldrack-text","22","67659","0.0-22.0","s613","<div class = centerbox><div  class = center-text>Task about to start!</div></div>","679","0","fmri_trigger_wait","","","","","","","","","",""
"680","84","poldrack-text","23","68340","0.0-23.0","s613","<div class = centerbox><div  class = center-text>Task about to start!</div></div>","680","0","fmri_trigger_wait","","","","","","","","","",""
"-1","-1","poldrack-single-stim","24","69343","0.0-24.0","s613","","1000","0","fmri_buffer","","none","1000","","","","","","",""
"5185","71","poldrack-single-stim","25","78482","0.0-25.0-0.0","s613","","9136","0","","<div class = centerbox><p class=item-text>I refuse things that are bad for me.</p></div><div class=response-text><div class=response-item><span style=""font-weight: normal; font-size: 30px"">Not at all</span></div><div class=response-item>1</div><div class=response-item>2</div><div class=response-item>3</div><div class=response-item>4</div><div class=response-item>5</div><div class=response-item><span style=""font-weight: normal; font-size: 30px"">Very much</span></div></div>","66,89,71,82,77","8500","brief","forward","I refuse things that are bad for me.","<span style=""font-weight: normal; font-size: 30px"">Not at all</span>,1,2,3,4,5,<span style=""font-weight: normal; font-size: 30px"">Very much</span>","3","3",""
