"rt","key_press","trial_type","trial_index","time_elapsed","internal_node_id","subject","text","block_duration","timing_post_trial","trial_id","stimulus","possible_responses","stim_duration","survey","item_coding","item_text","options","response","coded_response","exp_id"
"1815","13","text","0","1818","0.0-0.0","s617","","","","","","","","","","","","","",""
"4256","66","poldrack-text","1","7080","0.0-1.0","s617","<div class = centerbox><div style = 'font-size: 50px' class = center-text>Please press your thumb finger</p></div>","4256","500","fmri_response_test","","","","","","","","","",""
"1726","89","poldrack-text","2","9307","0.0-2.0","s617","<div class = centerbox><div style = 'font-size: 50px' class = center-text>Please press your index finger</p></div>","1726","500","fmri_response_test","","","","","","","","","",""
"652","71","poldrack-text","3","10462","0.0-3.0","s617","<div class = centerbox><div style = 'font-size: 50px' class = center-text>Please press your middle finger</p></div>","652","500","fmri_response_test","","","","","","","","","",""
"682","82","poldrack-text","4","11644","0.0-4.0","s617","<div class = centerbox><div style = 'font-size: 50px' class = center-text>Please press your ring finger</p></div>","682","500","fmri_response_test","","","","","","","","","",""
"590","77","poldrack-text","5","12737","0.0-5.0","s617","<div class = centerbox><div style = 'font-size: 50px' class = center-text>Please press your pinky finger</p></div>","590","500","fmri_response_test","","","","","","","","","",""
"19443","32","poldrack-single-stim","6","32686","0.0-6.0","s617","","19443","0","instructions","<div class = centerbox><div class = center-text>Respond to the questions!</div></div>","32","19443","","","","","","",""
"21752","32","poldrack-text","7","54438","0.0-7.0","s617","<div class = centerbox><div  class = center-text>Scanner Setup</div></div>","21752","0","fmri_scanner_wait","","","","","","","","","",""
"1398","84","poldrack-text","8","55836","0.0-8.0","s617","<div class = centerbox><div  class = center-text>Task about to start!</div></div>","1398","0","fmri_trigger_wait","","","","","","","","","",""
"680","84","poldrack-text","9","56516","0.0-9.0","s617","<div class = centerbox><div  class = center-text>Task about to start!</div></div>","680","0","fmri_trigger_wait","","","","","","","","","",""
"680","84","poldrack-text","10","57196","0.0-10.0","s617","<div class = centerbox><div  class = center-text>Task about to start!</div></div>","680","0","fmri_trigger_wait","","","","","","","","","",""
"680","84","poldrack-text","11","57877","0.0-11.0","s617","<div class = centerbox><div  class = center-text>Task about to start!</div></div>","680","0","fmri_trigger_wait","","","","","","","","","",""
"679","84","poldrack-text","12","58556","0.0-12.0","s617","<div class = centerbox><div  class = center-text>Task about to start!</div></div>","679","0","fmri_trigger_wait","","","","","","","","","",""
"680","84","poldrack-text","13","59236","0.0-13.0","s617","<div class = centerbox><div  class = center-text>Task about to start!</div></div>","680","0","fmri_trigger_wait","","","","","","","","","",""
"680","84","poldrack-text","14","59916","0.0-14.0","s617","<div class = centerbox><div  class = center-text>Task about to start!</div></div>","680","0","fmri_trigger_wait","","","","","","","","","",""
"680","84","poldrack-text","15","60596","0.0-15.0","s617","<div class = centerbox><div  class = center-text>Task about to start!</div></div>","680","0","fmri_trigger_wait","","","","","","","","","",""
"679","84","poldrack-text","16","61276","0.0-16.0","s617","<div class = centerbox><div  class = center-text>Task about to start!</div></div>","679","0","fmri_trigger_wait","","","","","","","","","",""
"680","84","poldrack-text","17","61956","0.0-17.0","s617","<div class = centerbox><div  class = center-text>Task about to start!</div></div>","680","0","fmri_trigger_wait","","","","","","","","","",""
"679","84","poldrack-text","18","62636","0.0-18.0","s617","<div class = centerbox><div  class = center-text>Task about to start!</div></div>","679","0","fmri_trigger_wait","","","","","","","","","",""
"680","84","poldrack-text","19","63316","0.0-19.0","s617","<div class = centerbox><div  class = center-text>Task about to start!</div></div>","680","0","fmri_trigger_wait","","","","","","","","","",""
"679","84","poldrack-text","20","63996","0.0-20.0","s617","<div class = centerbox><div  class = center-text>Task about to start!</div></div>","679","0","fmri_trigger_wait","","","","","","","","","",""
"681","84","poldrack-text","21","64677","0.0-21.0","s617","<div class = centerbox><div  class = center-text>Task about to start!</div></div>","681","0","fmri_trigger_wait","","","","","","","","","",""
"679","84","poldrack-text","22","65356","0.0-22.0","s617","<div class = centerbox><div  class = center-text>Task about to start!</div></div>","679","0","fmri_trigger_wait","","","","","","","","","",""
