"rt","key_press","trial_type","trial_index","time_elapsed","internal_node_id","subject","text","block_duration","timing_post_trial","trial_id","stimulus","possible_responses","stim_duration","survey","item_responses","item_coding","item_text","options","response","coded_response","exp_id"
"1810","13","text","0","1813","0.0-0.0","s619","","","","","","","","","","","","","","",""
"1385","66","poldrack-text","1","4203","0.0-1.0","s619","<div class = centerbox><div style = 'font-size: 50px' class = center-text>Please press your thumb</p></div>","1385","500","fmri_response_test","","","","","","","","","","",""
"1004","89","poldrack-text","2","5712","0.0-2.0","s619","<div class = centerbox><div style = 'font-size: 50px' class = center-text>Please press your index finger</p></div>","1004","500","fmri_response_test","","","","","","","","","","",""
"717","71","poldrack-text","3","6930","0.0-3.0","s619","<div class = centerbox><div style = 'font-size: 50px' class = center-text>Please press your middle finger</p></div>","717","500","fmri_response_test","","","","","","","","","","",""
"661","82","poldrack-text","4","8096","0.0-4.0","s619","<div class = centerbox><div style = 'font-size: 50px' class = center-text>Please press your ring finger</p></div>","661","500","fmri_response_test","","","","","","","","","","",""
"608","77","poldrack-text","5","9208","0.0-5.0","s619","<div class = centerbox><div style = 'font-size: 50px' class = center-text>Please press your pinky finger</p></div>","608","500","fmri_response_test","","","","","","","","","","",""
"10166","32","poldrack-single-stim","6","19880","0.0-6.0","s619","","10166","0","instructions","<div class = centerbox><div class = center-text>Respond to the questions!</div></div>","32","10166","","","","","","","",""
"20030","32","poldrack-text","7","39912","0.0-7.0","s619","<div class = centerbox><div  class = center-text>Scanner Setup</div></div>","20030","0","fmri_scanner_wait","","","","","","","","","","",""
"1209","84","poldrack-text","8","41122","0.0-8.0","s619","<div class = centerbox><div  class = center-text>Task about to start!</div></div>","1209","0","fmri_trigger_wait","","","","","","","","","","",""
"679","84","poldrack-text","9","41802","0.0-9.0","s619","<div class = centerbox><div  class = center-text>Task about to start!</div></div>","679","0","fmri_trigger_wait","","","","","","","","","","",""
"680","84","poldrack-text","10","42482","0.0-10.0","s619","<div class = centerbox><div  class = center-text>Task about to start!</div></div>","680","0","fmri_trigger_wait","","","","","","","","","","",""
"679","84","poldrack-text","11","43162","0.0-11.0","s619","<div class = centerbox><div  class = center-text>Task about to start!</div></div>","679","0","fmri_trigger_wait","","","","","","","","","","",""
"679","84","poldrack-text","12","43841","0.0-12.0","s619","<div class = centerbox><div  class = center-text>Task about to start!</div></div>","679","0","fmri_trigger_wait","","","","","","","","","","",""
"679","84","poldrack-text","13","44521","0.0-13.0","s619","<div class = centerbox><div  class = center-text>Task about to start!</div></div>","679","0","fmri_trigger_wait","","","","","","","","","","",""
"679","84","poldrack-text","14","45201","0.0-14.0","s619","<div class = centerbox><div  class = center-text>Task about to start!</div></div>","679","0","fmri_trigger_wait","","","","","","","","","","",""
"679","84","poldrack-text","15","45882","0.0-15.0","s619","<div class = centerbox><div  class = center-text>Task about to start!</div></div>","679","0","fmri_trigger_wait","","","","","","","","","","",""
"679","84","poldrack-text","16","46561","0.0-16.0","s619","<div class = centerbox><div  class = center-text>Task about to start!</div></div>","679","0","fmri_trigger_wait","","","","","","","","","","",""
"679","84","poldrack-text","17","47242","0.0-17.0","s619","<div class = centerbox><div  class = center-text>Task about to start!</div></div>","679","0","fmri_trigger_wait","","","","","","","","","","",""
"680","84","poldrack-text","18","47922","0.0-18.0","s619","<div class = centerbox><div  class = center-text>Task about to start!</div></div>","680","0","fmri_trigger_wait","","","","","","","","","","",""
"679","84","poldrack-text","19","48602","0.0-19.0","s619","<div class = centerbox><div  class = center-text>Task about to start!</div></div>","679","0","fmri_trigger_wait","","","","","","","","","","",""
"679","84","poldrack-text","20","49282","0.0-20.0","s619","<div class = centerbox><div  class = center-text>Task about to start!</div></div>","679","0","fmri_trigger_wait","","","","","","","","","","",""
"679","84","poldrack-text","21","49961","0.0-21.0","s619","<div class = centerbox><div  class = center-text>Task about to start!</div></div>","679","0","fmri_trigger_wait","","","","","","","","","","",""
"679","84","poldrack-text","22","50642","0.0-22.0","s619","<div class = centerbox><div  class = center-text>Task about to start!</div></div>","679","0","fmri_trigger_wait","","","","","","","","","","",""
"679","84","poldrack-text","23","51321","0.0-23.0","s619","<div class = centerbox><div  class = center-text>Task about to start!</div></div>","679","0","fmri_trigger_wait","","","","","","","","","","",""
"-1","-1","poldrack-single-stim","24","52328","0.0-24.0","s619","","1000","0","fmri_buffer","","none","1000","","","","","","","",""
