"text","rt","key_press","block_duration","timing_post_trial","trial_id","trial_type","trial_index","time_elapsed","internal_node_id","exp_id","trigger_times","stimulus","possible_responses","stim_duration","exp_stage","small_amount","large_amount","later_delay","choice","bonus"
"<div class = centerbox><div style = 'font-size: 50px' class = center-text>Please press your index finger</p></div>","4285","89","4285","500","fmri_response_test","poldrack-text","0","4287","0.0-0.0","discount_fixed","1084,1763,2443,3123,3803","","","","","","","","",""
"<div class = centerbox><div style = 'font-size: 50px' class = center-text>Please press your middle finger</p></div>","1154","71","1154","500","fmri_response_test","poldrack-text","1","5944","0.0-1.0","discount_fixed","4483,5164,5843","","","","","","","","",""
"","58075","32","58075","500","instructions","poldrack-single-stim","2","64525","0.0-2.0","discount_fixed","6523,7203,7883,8563,9243,9923,10604,11283,11963,12643","<div class = centerbox><div class = center-text>Choose between <strong>$20 today</strong> or the presented option.<br><br><strong>Index:</strong> Accept option on screen (reject $20 today). <br><br><strong>Middle:</strong> Reject option on screen (accept $20 today)<br><br>We will start with a practice trial.</div></div>","32","58075","","","","","",""
"","1475","89","1475","1000","stim","poldrack-single-stim","3","66502","0.0-3.0","discount_fixed","","<div class = dd-stim><div class = amtbox style = ""color:white"">$53.75</div><br><br><div class = delbox style = ""color:white"">34 days</div></div>","89,71","1475","practice","","","","",""
"<div class = centerbox><div  class = center-text>Scanner Setup</div></div>","24442","32","24442","0","fmri_scanner_wait","poldrack-text","4","91945","0.0-4.0","discount_fixed","73344,75199,76259,76294,76560,83322","","","","","","","","",""
"<div class = centerbox><div  class = center-text>Task about to start!</div></div>","937","84","937","0","fmri_trigger_wait","poldrack-text","5","92883","0.0-5.0","discount_fixed","","","","","","","","","",""
"<div class = centerbox><div  class = center-text>Task about to start!</div></div>","679","84","679","0","fmri_trigger_wait","poldrack-text","6","93563","0.0-6.0","discount_fixed","92883","","","","","","","","",""
"<div class = centerbox><div  class = center-text>Task about to start!</div></div>","680","84","680","0","fmri_trigger_wait","poldrack-text","7","94243","0.0-7.0","discount_fixed","93563","","","","","","","","",""
"<div class = centerbox><div  class = center-text>Task about to start!</div></div>","679","84","679","0","fmri_trigger_wait","poldrack-text","8","94922","0.0-8.0","discount_fixed","94244","","","","","","","","",""
"<div class = centerbox><div  class = center-text>Task about to start!</div></div>","679","84","679","0","fmri_trigger_wait","poldrack-text","9","95603","0.0-9.0","discount_fixed","94923","","","","","","","","",""
"<div class = centerbox><div  class = center-text>Task about to start!</div></div>","679","84","679","0","fmri_trigger_wait","poldrack-text","10","96283","0.0-10.0","discount_fixed","95603","","","","","","","","",""
"<div class = centerbox><div  class = center-text>Task about to start!</div></div>","679","84","679","0","fmri_trigger_wait","poldrack-text","11","96963","0.0-11.0","discount_fixed","96283","","","","","","","","",""
