"text","rt","key_press","block_duration","timing_post_trial","trial_id","trial_type","trial_index","time_elapsed","internal_node_id","exp_id","trigger_times","stimulus","possible_responses","stim_duration","correct","correct_response","feedback_duration","condition","stim_color","stim_word","trial_num","exp_stage"
"<div class = centerbox><div style = 'font-size: 50px' class = center-text>Please press your index finger</p></div>","4611","89","4611","500","fmri_response_test","poldrack-text","0","4613","0.0-0.0","stroop","850,1528,2207,2888,3567,4249","","","","","","","","","","",""
"<div class = centerbox><div style = 'font-size: 50px' class = center-text>Please press your middle finger</p></div>","717","71","717","500","fmri_response_test","poldrack-text","1","5833","0.0-1.0","stroop","4928,5608","","","","","","","","","","",""
"<div class = centerbox><div style = 'font-size: 50px' class = center-text>Please press your ring finger</p></div>","969","82","969","500","fmri_response_test","poldrack-text","2","7306","0.0-2.0","stroop","6287,6968","","","","","","","","","","",""
"","39532","32","39532","500","instructions","poldrack-single-stim","3","47344","0.0-3.0","stroop","7648,8328,9008,9688,10368,11048","<div class = centerbox><div class = center-text>Respond to the <strong>ink color</strong> of the word!<br><br><span style = ""color:red;padding-left:30px"">WORD</span>: Index<br><span style = ""color:#1F45FC;padding-left:65px"">WORD</span>: Middle<br><span style = ""color:#4FE829;"">WORD</span>: Ring<br><br>We will start with practice</div></div>","32","39532","","","","","","","",""
"","695","71","1500","0","stim","poldrack-categorize","4","49859","0.0-4.0-0.0-0.0","stroop","","<div class = stroopbox><div class = stroop-stim style = ""color:#1F45FC"">BLUE</div></div>","89,71,82","1500","true","71","500","congruent","blue","blue","1","practice"
"","-1","-1","250","0","fixation","poldrack-single-stim","5","50115","0.0-4.0-1.0","stroop","","<div class = centerbox><div class = fixation>+</div></div>","none","250","","","","","","","",""
"","530","71","1500","0","stim","poldrack-categorize","6","52121","0.0-4.0-2.0-0.0","stroop","","<div class = stroopbox><div class = stroop-stim style = ""color:#1F45FC"">GREEN</div></div>","89,71,82","1500","true","71","500","incongruent","blue","green","2","practice"
"","-1","-1","250","0","fixation","poldrack-single-stim","7","52373","0.0-4.0-3.0","stroop","","<div class = centerbox><div class = fixation>+</div></div>","none","250","","","","","","","",""
"","617","89","1500","0","stim","poldrack-categorize","8","54380","0.0-4.0-4.0-0.0","stroop","","<div class = stroopbox><div class = stroop-stim style = ""color:red"">BLUE</div></div>","89,71,82","1500","true","89","500","incongruent","red","blue","3","practice"
"","-1","-1","250","0","fixation","poldrack-single-stim","9","54632","0.0-4.0-5.0","stroop","","<div class = centerbox><div class = fixation>+</div></div>","none","250","","","","","","","",""
"","520","82","1500","0","stim","poldrack-categorize","10","56638","0.0-4.0-6.0-0.0","stroop","","<div class = stroopbox><div class = stroop-stim style = ""color:#4FE829"">RED</div></div>","89,71,82","1500","true","82","500","incongruent","green","red","4","practice"
"","-1","-1","250","0","fixation","poldrack-single-stim","11","56894","0.0-4.0-7.0","stroop","","<div class = centerbox><div class = fixation>+</div></div>","none","250","","","","","","","",""
"","705","82","1500","0","stim","poldrack-categorize","12","58902","0.0-4.0-8.0-0.0","stroop","","<div class = stroopbox><div class = stroop-stim style = ""color:#4FE829"">GREEN</div></div>","89,71,82","1500","true","82","500","congruent","green","green","5","practice"
"","-1","-1","250","0","fixation","poldrack-single-stim","13","59153","0.0-4.0-9.0","stroop","","<div class = centerbox><div class = fixation>+</div></div>","none","250","","","","","","","",""
"","557","82","1500","0","stim","poldrack-categorize","14","61164","0.0-4.0-10.0-0.0","stroop","","<div class = stroopbox><div class = stroop-stim style = ""color:#4FE829"">BLUE</div></div>","89,71,82","1500","true","82","500","incongruent","green","blue","6","practice"
"","-1","-1","250","0","fixation","poldrack-single-stim","15","61415","0.0-4.0-11.0","stroop","","<div class = centerbox><div class = fixation>+</div></div>","none","250","","","","","","","",""
"","481","89","1500","0","stim","poldrack-categorize","16","63426","0.0-4.0-12.0-0.0","stroop","","<div class = stroopbox><div class = stroop-stim style = ""color:red"">GREEN</div></div>","89,71,82","1500","true","89","500","incongruent","red","green","7","practice"
"","-1","-1","250","0","fixation","poldrack-single-stim","17","63677","0.0-4.0-13.0","stroop","","<div class = centerbox><div class = fixation>+</div></div>","none","250","","","","","","","",""
"","707","89","1500","0","stim","poldrack-categorize","18","65687","0.0-4.0-14.0-0.0","stroop","","<div class = stroopbox><div class = stroop-stim style = ""color:red"">RED</div></div>","89,71,82","1500","true","89","500","congruent","red","red","8","practice"
"","-1","-1","250","0","fixation","poldrack-single-stim","19","65938","0.0-4.0-15.0","stroop","","<div class = centerbox><div class = fixation>+</div></div>","none","250","","","","","","","",""
"","406","71","1500","0","stim","poldrack-categorize","20","67944","0.0-4.0-16.0-0.0","stroop","","<div class = stroopbox><div class = stroop-stim style = ""color:#1F45FC"">RED</div></div>","89,71,82","1500","true","71","500","incongruent","blue","red","9","practice"
"","-1","-1","250","0","fixation","poldrack-single-stim","21","68195","0.0-4.0-17.0","stroop","","<div class = centerbox><div class = fixation>+</div></div>","none","250","","","","","","","",""
"<div class = centerbox><div  class = center-text>Scanner Setup</div></div>","21304","32","21304","0","fmri_scanner_wait","poldrack-text","22","89500","0.0-5.0","stroop","74695,76565,77610,77643,77910,80752","","","","","","","","","","",""
"<div class = centerbox><div  class = center-text>Task about to start!</div></div>","1042","84","1042","0","fmri_trigger_wait","poldrack-text","23","90543","0.0-6.0","stroop","","","","","","","","","","","",""
"<div class = centerbox><div  class = center-text>Task about to start!</div></div>","679","84","679","0","fmri_trigger_wait","poldrack-text","24","91223","0.0-7.0","stroop","90544","","","","","","","","","","",""
"<div class = centerbox><div  class = center-text>Task about to start!</div></div>","680","84","680","0","fmri_trigger_wait","poldrack-text","25","91903","0.0-8.0","stroop","91223","","","","","","","","","","",""
"<div class = centerbox><div  class = center-text>Task about to start!</div></div>","679","84","679","0","fmri_trigger_wait","poldrack-text","26","92583","0.0-9.0","stroop","91903","","","","","","","","","","",""
"<div class = centerbox><div  class = center-text>Task about to start!</div></div>","680","84","680","0","fmri_trigger_wait","poldrack-text","27","93264","0.0-10.0","stroop","92583","","","","","","","","","","",""
"<div class = centerbox><div  class = center-text>Task about to start!</div></div>","679","84","679","0","fmri_trigger_wait","poldrack-text","28","93943","0.0-11.0","stroop","93264","","","","","","","","","","",""
"<div class = centerbox><div  class = center-text>Task about to start!</div></div>","680","84","680","0","fmri_trigger_wait","poldrack-text","29","94623","0.0-12.0","stroop","93943","","","","","","","","","","",""
"<div class = centerbox><div  class = center-text>Task about to start!</div></div>","680","84","680","0","fmri_trigger_wait","poldrack-text","30","95303","0.0-13.0","stroop","94623","","","","","","","","","","",""
"<div class = centerbox><div  class = center-text>Task about to start!</div></div>","680","84","680","0","fmri_trigger_wait","poldrack-text","31","95983","0.0-14.0","stroop","95303","","","","","","","","","","",""
"<div class = centerbox><div  class = center-text>Task about to start!</div></div>","680","84","680","0","fmri_trigger_wait","poldrack-text","32","96663","0.0-15.0","stroop","95983","","","","","","","","","","",""
"<div class = centerbox><div  class = center-text>Task about to start!</div></div>","680","84","680","0","fmri_trigger_wait","poldrack-text","33","97344","0.0-16.0","stroop","96663","","","","","","","","","","",""
"<div class = centerbox><div  class = center-text>Task about to start!</div></div>","679","84","679","0","fmri_trigger_wait","poldrack-text","34","98023","0.0-17.0","stroop","97344","","","","","","","","","","",""
"<div class = centerbox><div  class = center-text>Task about to start!</div></div>","680","84","680","0","fmri_trigger_wait","poldrack-text","35","98703","0.0-18.0","stroop","98023","","","","","","","","","","",""
"<div class = centerbox><div  class = center-text>Task about to start!</div></div>","680","84","680","0","fmri_trigger_wait","poldrack-text","36","99383","0.0-19.0","stroop","98703","","","","","","","","","","",""
"<div class = centerbox><div  class = center-text>Task about to start!</div></div>","681","84","681","0","fmri_trigger_wait","poldrack-text","37","100064","0.0-20.0","stroop","99383","","","","","","","","","","",""
"<div class = centerbox><div  class = center-text>Task about to start!</div></div>","679","84","679","0","fmri_trigger_wait","poldrack-text","38","100743","0.0-21.0","stroop","100064","","","","","","","","","","",""
"","-1","-1","1000","0","fmri_buffer","poldrack-single-stim","39","101749","0.0-22.0","stroop","100744,101423","","none","1000","","","","","","","",""
"","-1","-1","1500","500","test_start_block","poldrack-single-stim","40","103253","0.0-23.0","stroop","102103,102783","<div class = centerbox><div class = center-text>Get ready!</p></div>","none","1500","","","","","","","",""
"","-1","-1","500","0","fixation","poldrack-single-stim","41","104259","0.0-24.0","stroop","103463,104143","<div class = centerbox><div class = fixation>+</div></div>","none","500","","","","","","","",""
"","1044","89","2272","0","stim","poldrack-single-stim","42","106533","0.0-25.0-0.0","stroop","104823,105502,106182","<div class = stroopbox><div class = stroop-stim style = ""color:red"">BLUE</div></div>","89,71,82","1500","true","89","","incongruent","red","blue","0","test"
"","972","71","2000","0","stim","poldrack-single-stim","43","108539","0.0-25.0-1.0","stroop","106862,107542,108223","<div class = stroopbox><div class = stroop-stim style = ""color:#1F45FC"">RED</div></div>","89,71,82","1500","true","71","","incongruent","blue","red","1","test"
"","525","89","2000","0","stim","poldrack-single-stim","44","110544","0.0-25.0-2.0","stroop","108902,109582,110263","<div class = stroopbox><div class = stroop-stim style = ""color:red"">RED</div></div>","89,71,82","1500","true","89","","congruent","red","red","2","test"
"","541","89","2000","0","stim","poldrack-single-stim","45","112549","0.0-25.0-3.0","stroop","110942,111622,112302","<div class = stroopbox><div class = stroop-stim style = ""color:red"">RED</div></div>","89,71,82","1500","true","89","","congruent","red","red","3","test"
"","555","89","2000","0","stim","poldrack-single-stim","46","114555","0.0-25.0-4.0","stroop","112982,113662,114342","<div class = stroopbox><div class = stroop-stim style = ""color:red"">BLUE</div></div>","89,71,82","1500","true","89","","incongruent","red","blue","4","test"
"","556","71","2136","0","stim","poldrack-single-stim","47","116694","0.0-25.0-5.0","stroop","115022,115702,116382","<div class = stroopbox><div class = stroop-stim style = ""color:#1F45FC"">BLUE</div></div>","89,71,82","1500","true","71","","congruent","blue","blue","5","test"
"","522","71","2000","0","stim","poldrack-single-stim","48","118699","0.0-25.0-6.0","stroop","117063,117743,118422","<div class = stroopbox><div class = stroop-stim style = ""color:#1F45FC"">BLUE</div></div>","89,71,82","1500","true","71","","congruent","blue","blue","6","test"
"","532","89","2000","0","stim","poldrack-single-stim","49","120704","0.0-25.0-7.0","stroop","119103,119783,120465","<div class = stroopbox><div class = stroop-stim style = ""color:red"">GREEN</div></div>","89,71,82","1500","true","89","","incongruent","red","green","7","test"
"","546","82","2136","0","stim","poldrack-single-stim","50","122845","0.0-25.0-8.0","stroop","121143,121823,122503","<div class = stroopbox><div class = stroop-stim style = ""color:#4FE829"">GREEN</div></div>","89,71,82","1500","true","82","","congruent","green","green","8","test"
"","478","89","2000","0","stim","poldrack-single-stim","51","124848","0.0-25.0-9.0","stroop","123183,123863,124543","<div class = stroopbox><div class = stroop-stim style = ""color:red"">BLUE</div></div>","89,71,82","1500","true","89","","incongruent","red","blue","9","test"
"","582","89","2000","0","stim","poldrack-single-stim","52","126851","0.0-25.0-10.0","stroop","125223,125903,126583","<div class = stroopbox><div class = stroop-stim style = ""color:red"">BLUE</div></div>","89,71,82","1500","true","89","","incongruent","red","blue","10","test"
"","484","89","2136","0","stim","poldrack-single-stim","53","128990","0.0-25.0-11.0","stroop","127264,127943,128623","<div class = stroopbox><div class = stroop-stim style = ""color:red"">GREEN</div></div>","89,71,82","1500","true","89","","incongruent","red","green","11","test"
"","614","82","2136","0","stim","poldrack-single-stim","54","131131","0.0-25.0-12.0","stroop","129303,129983,130664","<div class = stroopbox><div class = stroop-stim style = ""color:#4FE829"">GREEN</div></div>","89,71,82","1500","true","82","","congruent","green","green","12","test"
"","500","89","2272","0","stim","poldrack-single-stim","55","133405","0.0-25.0-13.0","stroop","131342,132022,132702,133383","<div class = stroopbox><div class = stroop-stim style = ""color:red"">RED</div></div>","89,71,82","1500","true","89","","congruent","red","red","13","test"
"","750","71","2680","0","stim","poldrack-single-stim","56","136086","0.0-25.0-14.0","stroop","134062,134743,135422","<div class = stroopbox><div class = stroop-stim style = ""color:#1F45FC"">GREEN</div></div>","89,71,82","1500","true","71","","incongruent","blue","green","14","test"
"","570","71","2000","0","stim","poldrack-single-stim","57","138092","0.0-25.0-15.0","stroop","136104,136782,137463","<div class = stroopbox><div class = stroop-stim style = ""color:#1F45FC"">BLUE</div></div>","89,71,82","1500","true","71","","congruent","blue","blue","15","test"
"","533","71","2000","0","stim","poldrack-single-stim","58","140097","0.0-25.0-16.0","stroop","138142,138823,139502","<div class = stroopbox><div class = stroop-stim style = ""color:#1F45FC"">BLUE</div></div>","89,71,82","1500","true","71","","congruent","blue","blue","16","test"
