"text","rt","key_press","block_duration","timing_post_trial","trial_id","trial_type","trial_index","time_elapsed","internal_node_id","exp_id","trigger_times","stimulus","possible_responses","stim_duration","exp_stage","which_round","num_click_in_round","num_cards","num_loss_cards","gain_amount","loss_amount","round_points","clicked_on_loss_card","reward"
"<div class = centerbox><div style = 'font-size: 50px' class = center-text>Please press your index finger</p></div>","1989","89","1989","500","fmri_response_test","poldrack-text","0","1993","0.0-0.0","columbia_card_task_hot","","","","","","","","","","","","","",""
"<div class = centerbox><div style = 'font-size: 50px' class = center-text>Please press your middle finger</p></div>","1273","71","1273","500","fmri_response_test","poldrack-text","1","3773","0.0-1.0","columbia_card_task_hot","","","","","","","","","","","","","",""
"","6273","32","6273","500","instructions","poldrack-single-stim","2","10552","0.0-2.0","columbia_card_task_hot","","<div class = centerbox><div class = center-text>Try to get as many points as possible<br><br>The loss amount, the gain amount, and the number of loss cards may change each trial<br><br>Index Finger: Take Another Card<br>Middle Finger: End The Round</div></div>","32","6273","","","","","","","","","",""
"<div class = centerbox><div  class = center-text>Scanner Setup</div></div>","24138","32","24138","0","fmri_scanner_wait","poldrack-text","3","35195","0.0-3.0","columbia_card_task_hot","15686,17531,18585,18618,18886,25988","","","","","","","","","","","","",""
"<div class = centerbox><div  class = center-text>Task about to start!</div></div>","1238","84","1238","0","fmri_trigger_wait","poldrack-text","4","36434","0.0-4.0","columbia_card_task_hot","","","","","","","","","","","","","",""
"<div class = centerbox><div  class = center-text>Task about to start!</div></div>","679","84","679","0","fmri_trigger_wait","poldrack-text","5","37113","0.0-5.0","columbia_card_task_hot","36434","","","","","","","","","","","","",""
"<div class = centerbox><div  class = center-text>Task about to start!</div></div>","679","84","679","0","fmri_trigger_wait","poldrack-text","6","37793","0.0-6.0","columbia_card_task_hot","37114","","","","","","","","","","","","",""
"<div class = centerbox><div  class = center-text>Task about to start!</div></div>","680","84","680","0","fmri_trigger_wait","poldrack-text","7","38473","0.0-7.0","columbia_card_task_hot","37794","","","","","","","","","","","","",""
"<div class = centerbox><div  class = center-text>Task about to start!</div></div>","679","84","679","0","fmri_trigger_wait","poldrack-text","8","39153","0.0-8.0","columbia_card_task_hot","38474","","","","","","","","","","","","",""
"<div class = centerbox><div  class = center-text>Task about to start!</div></div>","680","84","680","0","fmri_trigger_wait","poldrack-text","9","39833","0.0-9.0","columbia_card_task_hot","39153","","","","","","","","","","","","",""
"<div class = centerbox><div  class = center-text>Task about to start!</div></div>","680","84","680","0","fmri_trigger_wait","poldrack-text","10","40513","0.0-10.0","columbia_card_task_hot","39834","","","","","","","","","","","","",""
"<div class = centerbox><div  class = center-text>Task about to start!</div></div>","680","84","680","0","fmri_trigger_wait","poldrack-text","11","41194","0.0-11.0","columbia_card_task_hot","40514","","","","","","","","","","","","",""
"<div class = centerbox><div  class = center-text>Task about to start!</div></div>","679","84","679","0","fmri_trigger_wait","poldrack-text","12","41873","0.0-12.0","columbia_card_task_hot","41194","","","","","","","","","","","","",""
"<div class = centerbox><div  class = center-text>Task about to start!</div></div>","680","84","680","0","fmri_trigger_wait","poldrack-text","13","42553","0.0-13.0","columbia_card_task_hot","41874","","","","","","","","","","","","",""
"<div class = centerbox><div  class = center-text>Task about to start!</div></div>","680","84","680","0","fmri_trigger_wait","poldrack-text","14","43233","0.0-14.0","columbia_card_task_hot","42554","","","","","","","","","","","","",""
"<div class = centerbox><div  class = center-text>Task about to start!</div></div>","679","84","679","0","fmri_trigger_wait","poldrack-text","15","43914","0.0-15.0","columbia_card_task_hot","43234","","","","","","","","","","","","",""
"<div class = centerbox><div  class = center-text>Task about to start!</div></div>","679","84","679","0","fmri_trigger_wait","poldrack-text","16","44594","0.0-16.0","columbia_card_task_hot","43914","","","","","","","","","","","","",""
"<div class = centerbox><div  class = center-text>Task about to start!</div></div>","679","84","679","0","fmri_trigger_wait","poldrack-text","17","45274","0.0-17.0","columbia_card_task_hot","44594","","","","","","","","","","","","",""
"<div class = centerbox><div  class = center-text>Task about to start!</div></div>","679","84","679","0","fmri_trigger_wait","poldrack-text","18","45953","0.0-18.0","columbia_card_task_hot","45274","","","","","","","","","","","","",""
"<div class = centerbox><div  class = center-text>Task about to start!</div></div>","681","84","681","0","fmri_trigger_wait","poldrack-text","19","46634","0.0-19.0","columbia_card_task_hot","45954","","","","","","","","","","","","",""
"","-1","-1","1000","0","fmri_buffer","poldrack-single-stim","20","47640","0.0-20.0","columbia_card_task_hot","46635,47313","","none","1000","","","","","","","","","",""
"","-1","-1","1500","500","test_start_block","poldrack-single-stim","21","49144","0.0-21.0","columbia_card_task_hot","47994,48673","<div class = centerbox><div class = center-text>Get ready!</p></div>","none","1500","","","","","","","","","",""
