"text","rt","key_press","block_duration","timing_post_trial","trial_id","trial_type","trial_index","time_elapsed","internal_node_id","exp_id","trigger_times","responses","stimulus","possible_responses","stim_duration","correct","correct_response","feedback_duration","exp_stage","trial_num","SS_stimulus","SS_delay","SS_trial_type","SS_duration"
"<div class = centerbox><div style = 'font-size: 50px' class = center-text>Please press your index finger</p></div>","1539","89","1539","500","fmri_response_test","poldrack-text","0","1541","0.0-0.0","stop_signal","746,1405","","","","","","","","","","","","",""
"<div class = centerbox><div style = 'font-size: 50px' class = center-text>Please press your middle finger</p></div>","682","71","682","500","fmri_response_test","poldrack-text","1","2727","0.0-1.0","stop_signal","2084","","","","","","","","","","","","",""
"","20172","","","","task_setup","survey-text","2","23405","0.0-2.0","stop_signal","2765,3444,4125,4805,5485,6164,6845,7525,8356,8884,9564,10244,10924,11604,12284,12964,13644,14324","{""Q0"":""300""}","","","","","","","","","","","",""
"","43178","32","43178","0","instructions","poldrack-single-stim","3","67610","0.0-3.0","stop_signal","","","<div class = instructbox><p class = instruct-text>Only one key is correct for each shape. The correct keys are as follows:<ul list-text><li><div class = prompt_container><img class = prompt_stim src = /static/experiments/stop_signal/images/moon.png></img>middle finger</div></li></li><li><div class = prompt_container><img class = prompt_stim src = /static/experiments/stop_signal/images/oval.png></img>middle finger</div></li> </li><li><div class = prompt_container><img class = prompt_stim src = /static/experiments/stop_signal/images/rectangle.png></img>index finger</div></li> </li><li><div class = prompt_container><img class = prompt_stim src = /static/experiments/stop_signal/images/trapezoid.png></img>index finger</div></li></ul></p><p class = instruct-text><strong>Do not respond if you see the red star!</strong></p><p class = instruct-text>We will start with practice</p></div>","32","43178","","","","","","","","",""
"","832","71","1850","250","stim","poldrack-categorize","4","69968","0.0-4.0-0.0-0.0","stop_signal","","","<div class = coverbox></div><div class = shapebox><img class = stim src = /static/experiments/stop_signal/images/moon.png></img></div>","89,71","850","true","71","500","practice","0","","","",""
"","641","89","1850","250","stim","poldrack-categorize","5","72576","0.0-4.0-0.0-1.0","stop_signal","","","<div class = coverbox></div><div class = shapebox><img class = stim src = /static/experiments/stop_signal/images/rectangle.png></img></div>","89,71","850","true","89","500","practice","1","","","",""
"","535","89","1850","250","stim","poldrack-categorize","6","75179","0.0-4.0-0.0-2.0","stop_signal","","","<div class = coverbox></div><div class = shapebox><img class = stim src = /static/experiments/stop_signal/images/trapezoid.png></img></div>","89,71","850","true","89","500","practice","2","","","",""
"","454","71","1850","250","stim","poldrack-categorize","7","77787","0.0-4.0-0.0-3.0","stop_signal","","","<div class = coverbox></div><div class = shapebox><img class = stim src = /static/experiments/stop_signal/images/moon.png></img></div>","89,71","850","true","71","500","practice","3","","","",""
"","472","89","1850","250","stim","poldrack-categorize","8","80395","0.0-4.0-0.0-4.0","stop_signal","","","<div class = coverbox></div><div class = shapebox><img class = stim src = /static/experiments/stop_signal/images/rectangle.png></img></div>","89,71","850","true","89","500","practice","4","","","",""
"","621","89","1850","250","stim","poldrack-categorize","9","83003","0.0-4.0-0.0-5.0","stop_signal","","","<div class = coverbox></div><div class = shapebox><img class = stim src = /static/experiments/stop_signal/images/trapezoid.png></img></div>","89,71","850","true","89","500","practice","5","","","",""
"","448","89","1850","250","stim","poldrack-categorize","10","85606","0.0-4.0-0.0-6.0","stop_signal","","","<div class = coverbox></div><div class = shapebox><img class = stim src = /static/experiments/stop_signal/images/trapezoid.png></img></div>","89,71","850","true","89","500","practice","6","","","",""
"","420","71","1850","250","stim","poldrack-categorize","11","88214","0.0-4.0-0.0-7.0","stop_signal","","","<div class = coverbox></div><div class = shapebox><img class = stim src = /static/experiments/stop_signal/images/moon.png></img></div>","89,71","850","true","71","500","practice","7","","","",""
"","376","71","1850","250","stim","poldrack-categorize","12","90817","0.0-4.0-0.0-8.0","stop_signal","","","<div class = coverbox></div><div class = shapebox><img class = stim src = /static/experiments/stop_signal/images/oval.png></img></div>","89,71","850","true","71","500","practice","8","","","",""
"","485","71","1850","250","stim","poldrack-categorize","13","93425","0.0-4.0-0.0-9.0","stop_signal","","","<div class = coverbox></div><div class = shapebox><img class = stim src = /static/experiments/stop_signal/images/oval.png></img></div>","89,71","850","true","71","500","practice","9","","","",""
"","453","89","1850","250","stim","poldrack-categorize","14","96028","0.0-4.0-0.0-10.0","stop_signal","","","<div class = coverbox></div><div class = shapebox><img class = stim src = /static/experiments/stop_signal/images/rectangle.png></img></div>","89,71","850","true","89","500","practice","10","","","",""
"","528","71","1850","250","stim","poldrack-categorize","15","98635","0.0-4.0-0.0-11.0","stop_signal","","","<div class = coverbox></div><div class = shapebox><img class = stim src = /static/experiments/stop_signal/images/oval.png></img></div>","89,71","850","true","71","500","practice","11","","","",""
"<div class = centerbox><div  class = center-text>Scanner Setup</div></div>","33693","32","33693","0","fmri_scanner_wait","poldrack-text","16","132580","0.0-5.0","stop_signal","119249,121116,122164,122197,122464,126509","","","","","","","","","","","","",""
"<div class = centerbox><div  class = center-text>Task about to start!</div></div>","771","84","771","0","fmri_trigger_wait","poldrack-text","17","133353","0.0-6.0","stop_signal","","","","","","","","","","","","","",""
"<div class = centerbox><div  class = center-text>Task about to start!</div></div>","679","84","679","0","fmri_trigger_wait","poldrack-text","18","134032","0.0-7.0","stop_signal","133353","","","","","","","","","","","","",""
"<div class = centerbox><div  class = center-text>Task about to start!</div></div>","680","84","680","0","fmri_trigger_wait","poldrack-text","19","134712","0.0-8.0","stop_signal","134032","","","","","","","","","","","","",""
"<div class = centerbox><div  class = center-text>Task about to start!</div></div>","679","84","679","0","fmri_trigger_wait","poldrack-text","20","135392","0.0-9.0","stop_signal","134713","","","","","","","","","","","","",""
"<div class = centerbox><div  class = center-text>Task about to start!</div></div>","680","84","680","0","fmri_trigger_wait","poldrack-text","21","136073","0.0-10.0","stop_signal","135392","","","","","","","","","","","","",""
"<div class = centerbox><div  class = center-text>Task about to start!</div></div>","679","84","679","0","fmri_trigger_wait","poldrack-text","22","136752","0.0-11.0","stop_signal","136073","","","","","","","","","","","","",""
"<div class = centerbox><div  class = center-text>Task about to start!</div></div>","680","84","680","0","fmri_trigger_wait","poldrack-text","23","137433","0.0-12.0","stop_signal","136752","","","","","","","","","","","","",""
"<div class = centerbox><div  class = center-text>Task about to start!</div></div>","679","84","679","0","fmri_trigger_wait","poldrack-text","24","138112","0.0-13.0","stop_signal","137433","","","","","","","","","","","","",""
"<div class = centerbox><div  class = center-text>Task about to start!</div></div>","681","84","681","0","fmri_trigger_wait","poldrack-text","25","138793","0.0-14.0","stop_signal","138112","","","","","","","","","","","","",""
"<div class = centerbox><div  class = center-text>Task about to start!</div></div>","679","84","679","0","fmri_trigger_wait","poldrack-text","26","139472","0.0-15.0","stop_signal","138793","","","","","","","","","","","","",""
"<div class = centerbox><div  class = center-text>Task about to start!</div></div>","681","84","681","0","fmri_trigger_wait","poldrack-text","27","140153","0.0-16.0","stop_signal","139472","","","","","","","","","","","","",""
"<div class = centerbox><div  class = center-text>Task about to start!</div></div>","679","84","679","0","fmri_trigger_wait","poldrack-text","28","140832","0.0-17.0","stop_signal","140153","","","","","","","","","","","","",""
