"text","rt","key_press","block_duration","timing_post_trial","trial_id","trial_type","trial_index","time_elapsed","internal_node_id","exp_id","trigger_times","stimulus","possible_responses","stim_duration","exp_stage","small_amount","large_amount","later_delay","choice","bonus"
"<div class = centerbox><div style = 'font-size: 50px' class = center-text>Please press your index finger</p></div>","1736","89","1736","500","fmri_response_test","poldrack-text","0","1738","0.0-0.0","discount_fixed","","","","","","","","","",""
"<div class = centerbox><div style = 'font-size: 50px' class = center-text>Please press your middle finger</p></div>","692","71","692","500","fmri_response_test","poldrack-text","1","2935","0.0-1.0","discount_fixed","","","","","","","","","",""
"","31471","32","31471","500","instructions","poldrack-single-stim","2","34913","0.0-2.0","discount_fixed","","<div class = centerbox><div class = center-text>Choose between <strong>$20 today</strong> or the presented option.<br><br><strong>Index:</strong> Accept option on screen (reject $20 today). <br><br><strong>Middle:</strong> Reject option on screen (accept $20 today)<br><br>We will start with a practice trial.</div></div>","32","31471","","","","","",""
"","2037","71","2037","1000","stim","poldrack-single-stim","3","37456","0.0-3.0","discount_fixed","","<div class = dd-stim><div class = amtbox style = ""color:white"">$53.75</div><br><br><div class = delbox style = ""color:white"">34 days</div></div>","89,71","2037","practice","","","","",""
"<div class = centerbox><div  class = center-text>Scanner Setup</div></div>","25059","32","25059","0","fmri_scanner_wait","poldrack-text","4","63522","0.0-4.0","discount_fixed","43869,45721,46769,46802,47068,53784","","","","","","","","",""
"<div class = centerbox><div  class = center-text>Task about to start!</div></div>","924","84","924","0","fmri_trigger_wait","poldrack-text","5","64446","0.0-5.0","discount_fixed","","","","","","","","","",""
"<div class = centerbox><div  class = center-text>Task about to start!</div></div>","679","84","679","0","fmri_trigger_wait","poldrack-text","6","65125","0.0-6.0","discount_fixed","64446","","","","","","","","",""
"<div class = centerbox><div  class = center-text>Task about to start!</div></div>","681","84","681","0","fmri_trigger_wait","poldrack-text","7","65806","0.0-7.0","discount_fixed","65126","","","","","","","","",""
"<div class = centerbox><div  class = center-text>Task about to start!</div></div>","680","84","680","0","fmri_trigger_wait","poldrack-text","8","66486","0.0-8.0","discount_fixed","65806","","","","","","","","",""
"<div class = centerbox><div  class = center-text>Task about to start!</div></div>","680","84","680","0","fmri_trigger_wait","poldrack-text","9","67166","0.0-9.0","discount_fixed","66486","","","","","","","","",""
"<div class = centerbox><div  class = center-text>Task about to start!</div></div>","680","84","680","0","fmri_trigger_wait","poldrack-text","10","67846","0.0-10.0","discount_fixed","67167","","","","","","","","",""
"<div class = centerbox><div  class = center-text>Task about to start!</div></div>","680","84","680","0","fmri_trigger_wait","poldrack-text","11","68526","0.0-11.0","discount_fixed","67847","","","","","","","","",""
"<div class = centerbox><div  class = center-text>Task about to start!</div></div>","679","84","679","0","fmri_trigger_wait","poldrack-text","12","69206","0.0-12.0","discount_fixed","68527","","","","","","","","",""
"<div class = centerbox><div  class = center-text>Task about to start!</div></div>","678","84","678","0","fmri_trigger_wait","poldrack-text","13","69884","0.0-13.0","discount_fixed","69207","","","","","","","","",""
"<div class = centerbox><div  class = center-text>Task about to start!</div></div>","680","84","680","0","fmri_trigger_wait","poldrack-text","14","70565","0.0-14.0","discount_fixed","69885","","","","","","","","",""
"<div class = centerbox><div  class = center-text>Task about to start!</div></div>","679","84","679","0","fmri_trigger_wait","poldrack-text","15","71245","0.0-15.0","discount_fixed","70566","","","","","","","","",""
"<div class = centerbox><div  class = center-text>Task about to start!</div></div>","680","84","680","0","fmri_trigger_wait","poldrack-text","16","71925","0.0-16.0","discount_fixed","71246","","","","","","","","",""
"<div class = centerbox><div  class = center-text>Task about to start!</div></div>","679","84","679","0","fmri_trigger_wait","poldrack-text","17","72605","0.0-17.0","discount_fixed","71926","","","","","","","","",""
"<div class = centerbox><div  class = center-text>Task about to start!</div></div>","679","84","679","0","fmri_trigger_wait","poldrack-text","18","73285","0.0-18.0","discount_fixed","72606","","","","","","","","",""
"<div class = centerbox><div  class = center-text>Task about to start!</div></div>","680","84","680","0","fmri_trigger_wait","poldrack-text","19","73966","0.0-19.0","discount_fixed","73286","","","","","","","","",""
"<div class = centerbox><div  class = center-text>Task about to start!</div></div>","678","84","678","0","fmri_trigger_wait","poldrack-text","20","74645","0.0-20.0","discount_fixed","73967","","","","","","","","",""
"","-1","-1","1000","0","fmri_buffer","poldrack-single-stim","21","75651","0.0-21.0","discount_fixed","74645,75325","","none","1000","","","","","",""
"","-1","-1","1500","500","test_start_block","poldrack-single-stim","22","77158","0.0-22.0","discount_fixed","76005,76685","<div class = centerbox><div class = center-text>Get ready!</p></div>","none","1500","","","","","",""
"","1358","71","4636","0","","poldrack-single-stim","23","82304","0.0-23.0","discount_fixed","77365,78045,78724,79405,80085,80765,81445,82125","<div class = dd-stim><div class = amtbox style = ""color:white"">$79</div><br><br><div class = delbox style = ""color:white"">92 days</div></div>","89,71","4000","","20","79","92","smaller_sooner",""
"","2020","89","4568","0","","poldrack-single-stim","24","86879","0.0-24.0","discount_fixed","82806,83485,84165,84845,85526,86205","<div class = dd-stim><div class = amtbox style = ""color:white"">$61</div><br><br><div class = delbox style = ""color:white"">141 days</div></div>","89,71","4000","","20","61","141","larger_later",""
"","1762","89","4568","0","","poldrack-single-stim","25","91453","0.0-25.0","discount_fixed","86885,87566,88245,88925,89605,90286,90966","<div class = dd-stim><div class = amtbox style = ""color:white"">$43</div><br><br><div class = delbox style = ""color:white"">38 days</div></div>","89,71","4000","","20","43","38","larger_later",""
"","1668","89","4908","0","","poldrack-single-stim","26","96366","0.0-26.0","discount_fixed","91646,92326,93006,93686,94367,95046,95725","<div class = dd-stim><div class = amtbox style = ""color:white"">$66</div><br><br><div class = delbox style = ""color:white"">145 days</div></div>","89,71","4000","","20","66","145","larger_later",""
"","1490","89","4840","0","","poldrack-single-stim","27","101211","0.0-27.0","discount_fixed","96406,97085,97765,98445,99125,99804,100484,101165","<div class = dd-stim><div class = amtbox style = ""color:white"">$30</div><br><br><div class = delbox style = ""color:white"">23 days</div></div>","89,71","4000","","20","30","23","larger_later",""
"","1904","89","5248","0","","poldrack-single-stim","28","106464","0.0-28.0","discount_fixed","101845,102524,103205,103885,104566,105245,105925","<div class = dd-stim><div class = amtbox style = ""color:white"">$32</div><br><br><div class = delbox style = ""color:white"">57 days</div></div>","89,71","4000","","20","32","57","larger_later",""
"","1971","89","4772","0","","poldrack-single-stim","29","111241","0.0-29.0","discount_fixed","106605,107285,107966,108645,109325,110005,110685","<div class = dd-stim><div class = amtbox style = ""color:white"">$27</div><br><br><div class = delbox style = ""color:white"">91 days</div></div>","89,71","4000","","20","27","91","larger_later",""
"","1500","89","5996","0","","poldrack-single-stim","30","117242","0.0-30.0","discount_fixed","111366,112046,112726,113406,114085,114767,115445,116126,116806","<div class = dd-stim><div class = amtbox style = ""color:white"">$43</div><br><br><div class = delbox style = ""color:white"">120 days</div></div>","89,71","4000","","20","43","120","larger_later",""
"","1869","71","5588","0","","poldrack-single-stim","31","122835","0.0-31.0","discount_fixed","117486,118165,118846,119526,120206,120886,121566,122246","<div class = dd-stim><div class = amtbox style = ""color:white"">$75</div><br><br><div class = delbox style = ""color:white"">60 days</div></div>","89,71","4000","","20","75","60","smaller_sooner",""
"","1447","89","4568","0","","poldrack-single-stim","32","127409","0.0-32.0","discount_fixed","122925,123605,124284,124966,125644,126325,127005","<div class = dd-stim><div class = amtbox style = ""color:white"">$34</div><br><br><div class = delbox style = ""color:white"">176 days</div></div>","89,71","4000","","20","34","176","larger_later",""
"","1338","89","5112","0","","poldrack-single-stim","33","132527","0.0-33.0","discount_fixed","127685,128365,129045,129725,130405,131085,131765,132446","<div class = dd-stim><div class = amtbox style = ""color:white"">$24</div><br><br><div class = delbox style = ""color:white"">38 days</div></div>","89,71","4000","","20","24","38","larger_later",""
"","2513","71","5656","0","","poldrack-single-stim","34","138188","0.0-34.0","discount_fixed","133125,133805,134486,135166,135846,136526,137206,137885","<div class = dd-stim><div class = amtbox style = ""color:white"">$82</div><br><br><div class = delbox style = ""color:white"">74 days</div></div>","89,71","4000","","20","82","74","smaller_sooner",""
"","1944","71","4568","0","","poldrack-single-stim","35","142762","0.0-35.0","discount_fixed","138565,139246,139926,140606,141285,141965,142646","<div class = dd-stim><div class = amtbox style = ""color:white"">$58</div><br><br><div class = delbox style = ""color:white"">53 days</div></div>","89,71","4000","","20","58","53","smaller_sooner",""
"","2552","71","4772","0","","poldrack-single-stim","36","147539","0.0-36.0","discount_fixed","143326,144006,144686,145365,146045,146725,147405","<div class = dd-stim><div class = amtbox style = ""color:white"">$54</div><br><br><div class = delbox style = ""color:white"">23 days</div></div>","89,71","4000","","20","54","23","smaller_sooner",""
"","1669","89","5044","0","","poldrack-single-stim","37","152588","0.0-37.0","discount_fixed","148085,148766,149444,150124,150805,151485,152165","<div class = dd-stim><div class = amtbox style = ""color:white"">$41</div><br><br><div class = delbox style = ""color:white"">55 days</div></div>","89,71","4000","","20","41","55","larger_later",""
"","2584","71","4840","0","","poldrack-single-stim","38","157433","0.0-38.0","discount_fixed","152845,153525,154205,154886,155565,156245,156925","<div class = dd-stim><div class = amtbox style = ""color:white"">$77</div><br><br><div class = delbox style = ""color:white"">142 days</div></div>","89,71","4000","","20","77","142","smaller_sooner",""
"","1831","89","5180","0","","poldrack-single-stim","39","162619","0.0-39.0","discount_fixed","157605,158285,158965,159645,160326,161005,161686,162366","<div class = dd-stim><div class = amtbox style = ""color:white"">$25</div><br><br><div class = delbox style = ""color:white"">108 days</div></div>","89,71","4000","","20","25","108","larger_later",""
