"text","rt","key_press","block_duration","timing_post_trial","trial_id","trial_type","trial_index","time_elapsed","internal_node_id","exp_id","trigger_times","responses","stimulus","possible_responses","stim_duration","correct","correct_response","feedback_duration","exp_stage","trial_num","SS_stimulus","SS_delay","SS_trial_type","SS_duration"
"<div class = centerbox><div style = 'font-size: 50px' class = center-text>Please press your index finger</p></div>","2123","89","2123","500","fmri_response_test","poldrack-text","0","2124","0.0-0.0","stop_signal","","","","","","","","","","","","","",""
"<div class = centerbox><div style = 'font-size: 50px' class = center-text>Please press your middle finger</p></div>","584","71","584","500","fmri_response_test","poldrack-text","1","3212","0.0-1.0","stop_signal","","","","","","","","","","","","","",""
"","8575","","","","task_setup","survey-text","2","12295","0.0-2.0","stop_signal","","{""Q0"":""200""}","","","","","","","","","","","",""
"","28815","32","28815","0","instructions","poldrack-single-stim","3","42141","0.0-3.0","stop_signal","","","<div class = instructbox><p class = instruct-text>Only one key is correct for each shape. The correct keys are as follows:<ul list-text><li><div class = prompt_container><img class = prompt_stim src = /static/experiments/stop_signal/images/moon.png></img>middle finger</div></li></li><li><div class = prompt_container><img class = prompt_stim src = /static/experiments/stop_signal/images/oval.png></img>middle finger</div></li> </li><li><div class = prompt_container><img class = prompt_stim src = /static/experiments/stop_signal/images/rectangle.png></img>index finger</div></li> </li><li><div class = prompt_container><img class = prompt_stim src = /static/experiments/stop_signal/images/trapezoid.png></img>index finger</div></li></ul></p><p class = instruct-text><strong>Do not respond if you see the red star!</strong></p><p class = instruct-text>We will start with practice</p></div>","32","28815","","","","","","","","",""
"","837","71","1850","250","stim","poldrack-categorize","4","44502","0.0-4.0-0.0-0.0","stop_signal","","","<div class = coverbox></div><div class = shapebox><img class = stim src = /static/experiments/stop_signal/images/oval.png></img></div>","89,71","850","true","71","500","practice","0","","","",""
"","520","71","1850","250","stim","poldrack-categorize","5","47118","0.0-4.0-0.0-1.0","stop_signal","","","<div class = coverbox></div><div class = shapebox><img class = stim src = /static/experiments/stop_signal/images/moon.png></img></div>","89,71","850","true","71","500","practice","1","","","",""
"","475","71","1850","250","stim","poldrack-categorize","6","49732","0.0-4.0-0.0-2.0","stop_signal","","","<div class = coverbox></div><div class = shapebox><img class = stim src = /static/experiments/stop_signal/images/moon.png></img></div>","89,71","850","true","71","500","practice","2","","","",""
"","423","71","1850","250","stim","poldrack-categorize","7","52347","0.0-4.0-0.0-3.0","stop_signal","","","<div class = coverbox></div><div class = shapebox><img class = stim src = /static/experiments/stop_signal/images/moon.png></img></div>","89,71","850","true","71","500","practice","3","","","",""
"","619","89","1850","250","stim","poldrack-categorize","8","54963","0.0-4.0-0.0-4.0","stop_signal","","","<div class = coverbox></div><div class = shapebox><img class = stim src = /static/experiments/stop_signal/images/trapezoid.png></img></div>","89,71","850","true","89","500","practice","4","","","",""
"","575","89","1850","250","stim","poldrack-categorize","9","57576","0.0-4.0-0.0-5.0","stop_signal","","","<div class = coverbox></div><div class = shapebox><img class = stim src = /static/experiments/stop_signal/images/rectangle.png></img></div>","89,71","850","true","89","500","practice","5","","","",""
"","548","89","1850","250","stim","poldrack-categorize","10","60190","0.0-4.0-0.0-6.0","stop_signal","","","<div class = coverbox></div><div class = shapebox><img class = stim src = /static/experiments/stop_signal/images/rectangle.png></img></div>","89,71","850","true","89","500","practice","6","","","",""
"","511","71","1850","250","stim","poldrack-categorize","11","62804","0.0-4.0-0.0-7.0","stop_signal","","","<div class = coverbox></div><div class = shapebox><img class = stim src = /static/experiments/stop_signal/images/oval.png></img></div>","89,71","850","true","71","500","practice","7","","","",""
"","565","89","1850","250","stim","poldrack-categorize","12","65419","0.0-4.0-0.0-8.0","stop_signal","","","<div class = coverbox></div><div class = shapebox><img class = stim src = /static/experiments/stop_signal/images/trapezoid.png></img></div>","89,71","850","true","89","500","practice","8","","","",""
"","482","89","1850","250","stim","poldrack-categorize","13","68036","0.0-4.0-0.0-9.0","stop_signal","","","<div class = coverbox></div><div class = shapebox><img class = stim src = /static/experiments/stop_signal/images/rectangle.png></img></div>","89,71","850","true","89","500","practice","9","","","",""
"","566","89","1850","250","stim","poldrack-categorize","14","70649","0.0-4.0-0.0-10.0","stop_signal","","","<div class = coverbox></div><div class = shapebox><img class = stim src = /static/experiments/stop_signal/images/trapezoid.png></img></div>","89,71","850","true","89","500","practice","10","","","",""
"","468","71","1850","250","stim","poldrack-categorize","15","73262","0.0-4.0-0.0-11.0","stop_signal","","","<div class = coverbox></div><div class = shapebox><img class = stim src = /static/experiments/stop_signal/images/oval.png></img></div>","89,71","850","true","71","500","practice","11","","","",""
"<div class = centerbox><div  class = center-text>Scanner Setup</div></div>","26840","32","26840","0","fmri_scanner_wait","poldrack-text","16","100358","0.0-5.0","stop_signal","84695,86550,87593,87628,87894,91952","","","","","","","","","","","","",""
"<div class = centerbox><div  class = center-text>Task about to start!</div></div>","1182","84","1182","0","fmri_trigger_wait","poldrack-text","17","101541","0.0-6.0","stop_signal","","","","","","","","","","","","","",""
"<div class = centerbox><div  class = center-text>Task about to start!</div></div>","679","84","679","0","fmri_trigger_wait","poldrack-text","18","102220","0.0-7.0","stop_signal","101541","","","","","","","","","","","","",""
"<div class = centerbox><div  class = center-text>Task about to start!</div></div>","680","84","680","0","fmri_trigger_wait","poldrack-text","19","102900","0.0-8.0","stop_signal","102221","","","","","","","","","","","","",""
"<div class = centerbox><div  class = center-text>Task about to start!</div></div>","680","84","680","0","fmri_trigger_wait","poldrack-text","20","103580","0.0-9.0","stop_signal","102901","","","","","","","","","","","","",""
"<div class = centerbox><div  class = center-text>Task about to start!</div></div>","680","84","680","0","fmri_trigger_wait","poldrack-text","21","104260","0.0-10.0","stop_signal","103581","","","","","","","","","","","","",""
"<div class = centerbox><div  class = center-text>Task about to start!</div></div>","680","84","680","0","fmri_trigger_wait","poldrack-text","22","104940","0.0-11.0","stop_signal","104261","","","","","","","","","","","","",""
"<div class = centerbox><div  class = center-text>Task about to start!</div></div>","679","84","679","0","fmri_trigger_wait","poldrack-text","23","105620","0.0-12.0","stop_signal","104941","","","","","","","","","","","","",""
"<div class = centerbox><div  class = center-text>Task about to start!</div></div>","680","84","680","0","fmri_trigger_wait","poldrack-text","24","106300","0.0-13.0","stop_signal","105621","","","","","","","","","","","","",""
"<div class = centerbox><div  class = center-text>Task about to start!</div></div>","679","84","679","0","fmri_trigger_wait","poldrack-text","25","106980","0.0-14.0","stop_signal","106301","","","","","","","","","","","","",""
