"rt","key_press","trial_type","trial_index","time_elapsed","internal_node_id","subject","text","block_duration","timing_post_trial","trial_id","stimulus","possible_responses","stim_duration","survey","item_responses","item_coding","item_text","options","response","coded_response","exp_id"
"2971","13","text","0","2973","0.0-0.0","s636","","","","","","","","","","","","","","",""
"1679","66","poldrack-text","1","5658","0.0-1.0","s636","<div class = centerbox><div style = 'font-size: 50px' class = center-text>Please press your thumb</p></div>","1679","500","fmri_response_test","","","","","","","","","","",""
"1013","89","poldrack-text","2","7176","0.0-2.0","s636","<div class = centerbox><div style = 'font-size: 50px' class = center-text>Please press your index finger</p></div>","1013","500","fmri_response_test","","","","","","","","","","",""
"367","71","poldrack-text","3","8048","0.0-3.0","s636","<div class = centerbox><div style = 'font-size: 50px' class = center-text>Please press your middle finger</p></div>","367","500","fmri_response_test","","","","","","","","","","",""
"534","82","poldrack-text","4","9087","0.0-4.0","s636","<div class = centerbox><div style = 'font-size: 50px' class = center-text>Please press your ring finger</p></div>","534","500","fmri_response_test","","","","","","","","","","",""
"550","77","poldrack-text","5","10143","0.0-5.0","s636","<div class = centerbox><div style = 'font-size: 50px' class = center-text>Please press your pinky finger</p></div>","550","500","fmri_response_test","","","","","","","","","","",""
"10318","32","poldrack-single-stim","6","20969","0.0-6.0","s636","","10318","0","instructions","<div class = centerbox><div class = center-text>Respond to the questions!</div></div>","32","10318","","","","","","","",""
"28431","32","poldrack-text","7","49400","0.0-7.0","s636","<div class = centerbox><div  class = center-text>Scanner Setup</div></div>","28431","0","fmri_scanner_wait","","","","","","","","","","",""
"981","84","poldrack-text","8","50382","0.0-8.0","s636","<div class = centerbox><div  class = center-text>Task about to start!</div></div>","981","0","fmri_trigger_wait","","","","","","","","","","",""
"679","84","poldrack-text","9","51061","0.0-9.0","s636","<div class = centerbox><div  class = center-text>Task about to start!</div></div>","679","0","fmri_trigger_wait","","","","","","","","","","",""
"681","84","poldrack-text","10","51742","0.0-10.0","s636","<div class = centerbox><div  class = center-text>Task about to start!</div></div>","681","0","fmri_trigger_wait","","","","","","","","","","",""
"679","84","poldrack-text","11","52421","0.0-11.0","s636","<div class = centerbox><div  class = center-text>Task about to start!</div></div>","679","0","fmri_trigger_wait","","","","","","","","","","",""
"680","84","poldrack-text","12","53101","0.0-12.0","s636","<div class = centerbox><div  class = center-text>Task about to start!</div></div>","680","0","fmri_trigger_wait","","","","","","","","","","",""
"680","84","poldrack-text","13","53781","0.0-13.0","s636","<div class = centerbox><div  class = center-text>Task about to start!</div></div>","680","0","fmri_trigger_wait","","","","","","","","","","",""
"679","84","poldrack-text","14","54461","0.0-14.0","s636","<div class = centerbox><div  class = center-text>Task about to start!</div></div>","679","0","fmri_trigger_wait","","","","","","","","","","",""
"679","84","poldrack-text","15","55141","0.0-15.0","s636","<div class = centerbox><div  class = center-text>Task about to start!</div></div>","679","0","fmri_trigger_wait","","","","","","","","","","",""
"680","84","poldrack-text","16","55821","0.0-16.0","s636","<div class = centerbox><div  class = center-text>Task about to start!</div></div>","680","0","fmri_trigger_wait","","","","","","","","","","",""
"680","84","poldrack-text","17","56501","0.0-17.0","s636","<div class = centerbox><div  class = center-text>Task about to start!</div></div>","680","0","fmri_trigger_wait","","","","","","","","","","",""
"680","84","poldrack-text","18","57181","0.0-18.0","s636","<div class = centerbox><div  class = center-text>Task about to start!</div></div>","680","0","fmri_trigger_wait","","","","","","","","","","",""
"678","84","poldrack-text","19","57861","0.0-19.0","s636","<div class = centerbox><div  class = center-text>Task about to start!</div></div>","678","0","fmri_trigger_wait","","","","","","","","","","",""
"680","84","poldrack-text","20","58541","0.0-20.0","s636","<div class = centerbox><div  class = center-text>Task about to start!</div></div>","680","0","fmri_trigger_wait","","","","","","","","","","",""
"679","84","poldrack-text","21","59221","0.0-21.0","s636","<div class = centerbox><div  class = center-text>Task about to start!</div></div>","679","0","fmri_trigger_wait","","","","","","","","","","",""
"680","84","poldrack-text","22","59902","0.0-22.0","s636","<div class = centerbox><div  class = center-text>Task about to start!</div></div>","680","0","fmri_trigger_wait","","","","","","","","","","",""
"679","84","poldrack-text","23","60582","0.0-23.0","s636","<div class = centerbox><div  class = center-text>Task about to start!</div></div>","679","0","fmri_trigger_wait","","","","","","","","","","",""
"-1","-1","poldrack-single-stim","24","61589","0.0-24.0","s636","","1000","0","fmri_buffer","","none","1000","","","","","","","",""
"3907","82","poldrack-single-stim","25","71955","0.0-25.0-0.0","s636","","10360","0","","<div class = centerbox><p class=item-text>Pleasure and fun sometimes keep me from getting work done.</p></div><div class=response-text><div class=response-item><span style=""font-weight: normal; font-size: 30px"">Not at all</span></div><div class=response-item>1</div><div class=response-item>2</div><div class=response-item>3</div><div class=response-item>4</div><div class=response-item>5</div><div class=response-item><span style=""font-weight: normal; font-size: 30px"">Very much</span></div></div>","66,89,71,82,77","8500","brief","66,89,71,82,77","reverse","Pleasure and fun sometimes keep me from getting work done.","<span style=""font-weight: normal; font-size: 30px"">Not at all</span>,1,2,3,4,5,<span style=""font-weight: normal; font-size: 30px"">Very much</span>","4","2",""
"6391","82","poldrack-single-stim","26","81642","0.0-25.0-1.0","s636","","9680","0","","<div class = centerbox><p class=item-text>Sometimes when I feel bad, I can't seem to stop what I am doing even though it is making me feel worse.</p></div><div class=response-text><div class=response-item><span style=""font-size: 30px"">Disagree Strongly</span></div><div class=response-item><span style=""font-size: 30px"">Disagree Some</span></div><div class=response-item><span style=""font-size: 30px"">Agree Some</span></div><div class=response-item><span style=""font-size: 30px"">Agree Strongly</span></div></div>","66,89,71,82,77","8500","upps","66,89,71,82","forward","Sometimes when I feel bad, I can't seem to stop what I am doing even though it is making me feel worse.","<span style=""font-size: 30px"">Disagree Strongly</span>,<span style=""font-size: 30px"">Disagree Some</span>,<span style=""font-size: 30px"">Agree Some</span>,<span style=""font-size: 30px"">Agree Strongly</span>","4","4",""
"3894","89","poldrack-single-stim","27","91804","0.0-25.0-2.0","s636","","10156","0","","<div class = centerbox><p class=item-text>I am good at resisting temptation.</p></div><div class=response-text><div class=response-item><span style=""font-weight: normal; font-size: 30px"">Not at all</span></div><div class=response-item>1</div><div class=response-item>2</div><div class=response-item>3</div><div class=response-item>4</div><div class=response-item>5</div><div class=response-item><span style=""font-weight: normal; font-size: 30px"">Very much</span></div></div>","66,89,71,82,77","8500","brief","66,89,71,82,77","forward","I am good at resisting temptation.","<span style=""font-weight: normal; font-size: 30px"">Not at all</span>,1,2,3,4,5,<span style=""font-weight: normal; font-size: 30px"">Very much</span>","2","2",""
"7368","82","poldrack-single-stim","28","101014","0.0-25.0-3.0","s636","","9204","0","","<div class = centerbox><p class=item-text>New ideas and projects sometimes distract me from previous ones.</p></div><div class=response-text><div class=response-item><span style=""font-weight: normal; font-size: 30px"">Not at all like me</span></div><div class=response-item>1</div><div class=response-item>2</div><div class=response-item>3</div><div class=response-item>4</div><div class=response-item>5</div><div class=response-item><span style=""font-weight: normal; font-size: 30px"">Very much like me</span></div></div>","66,89,71,82,77","8500","grit","66,89,71,82,77","reverse","New ideas and projects sometimes distract me from previous ones.","<span style=""font-weight: normal; font-size: 30px"">Not at all like me</span>,1,2,3,4,5,<span style=""font-weight: normal; font-size: 30px"">Very much like me</span>","4","2",""
"4364","89","poldrack-single-stim","29","112196","0.0-25.0-4.0","s636","","11176","0","","<div class = centerbox><p class=item-text>There are only limited possibilities in my future.</p></div><div class=response-text><div class=response-item><span style=""font-weight: normal; font-size: 30px"">Very Untrue</span></div><div class=response-item>1</div><div class=response-item>2</div><div class=response-item>3</div><div class=response-item>4</div><div class=response-item>5</div><div class=response-item><span style=""font-weight: normal; font-size: 30px"">Very True</span></div></div>","66,89,71,82,77","8500","future_time","66,89,71,82,77","forward","There are only limited possibilities in my future.","<span style=""font-weight: normal; font-size: 30px"">Very Untrue</span>,1,2,3,4,5,<span style=""font-weight: normal; font-size: 30px"">Very True</span>","2","2",""
"4583","71","poldrack-single-stim","30","121474","0.0-25.0-5.0","s636","","9272","0","","<div class = centerbox><p class=item-text>I refuse things that are bad for me.</p></div><div class=response-text><div class=response-item><span style=""font-weight: normal; font-size: 30px"">Not at all</span></div><div class=response-item>1</div><div class=response-item>2</div><div class=response-item>3</div><div class=response-item>4</div><div class=response-item>5</div><div class=response-item><span style=""font-weight: normal; font-size: 30px"">Very much</span></div></div>","66,89,71,82,77","8500","brief","66,89,71,82,77","forward","I refuse things that are bad for me.","<span style=""font-weight: normal; font-size: 30px"">Not at all</span>,1,2,3,4,5,<span style=""font-weight: normal; font-size: 30px"">Very much</span>","3","3",""
"5360","71","poldrack-single-stim","31","131092","0.0-25.0-6.0","s636","","9612","0","","<div class = centerbox><p class=item-text>I have difficulty maintaining my focus on projects that take more than a few months to complete.</p></div><div class=response-text><div class=response-item><span style=""font-weight: normal; font-size: 30px"">Not at all like me</span></div><div class=response-item>1</div><div class=response-item>2</div><div class=response-item>3</div><div class=response-item>4</div><div class=response-item>5</div><div class=response-item><span style=""font-weight: normal; font-size: 30px"">Very much like me</span></div></div>","66,89,71,82,77","8500","grit","66,89,71,82,77","reverse","I have difficulty maintaining my focus on projects that take more than a few months to complete.","<span style=""font-weight: normal; font-size: 30px"">Not at all like me</span>,1,2,3,4,5,<span style=""font-weight: normal; font-size: 30px"">Very much like me</span>","3","3",""
"3309","77","poldrack-single-stim","32","140162","0.0-25.0-7.0","s636","","9068","0","","<div class = centerbox><p class=item-text>I could do anything I want in the future.</p></div><div class=response-text><div class=response-item><span style=""font-weight: normal; font-size: 30px"">Very Untrue</span></div><div class=response-item>1</div><div class=response-item>2</div><div class=response-item>3</div><div class=response-item>4</div><div class=response-item>5</div><div class=response-item><span style=""font-weight: normal; font-size: 30px"">Very True</span></div></div>","66,89,71,82,77","8500","future_time","66,89,71,82,77","forward","I could do anything I want in the future.","<span style=""font-weight: normal; font-size: 30px"">Very Untrue</span>,1,2,3,4,5,<span style=""font-weight: normal; font-size: 30px"">Very True</span>","5","5",""
"2889","71","poldrack-single-stim","33","149168","0.0-25.0-8.0","s636","","9000","0","","<div class = centerbox><p class=item-text>People would say that I have iron self-discipline.</p></div><div class=response-text><div class=response-item><span style=""font-weight: normal; font-size: 30px"">Not at all</span></div><div class=response-item>1</div><div class=response-item>2</div><div class=response-item>3</div><div class=response-item>4</div><div class=response-item>5</div><div class=response-item><span style=""font-weight: normal; font-size: 30px"">Very much</span></div></div>","66,89,71,82,77","8500","brief","66,89,71,82,77","forward","People would say that I have iron self-discipline.","<span style=""font-weight: normal; font-size: 30px"">Not at all</span>,1,2,3,4,5,<span style=""font-weight: normal; font-size: 30px"">Very much</span>","3","3",""
"6882","71","poldrack-single-stim","34","163477","0.0-25.0-9.0","s636","","14304","0","","<div class = centerbox><p class=item-text>I tend to act without thinking when I am really excited.</p></div><div class=response-text><div class=response-item><span style=""font-size: 30px"">Disagree Strongly</span></div><div class=response-item><span style=""font-size: 30px"">Disagree Some</span></div><div class=response-item><span style=""font-size: 30px"">Agree Some</span></div><div class=response-item><span style=""font-size: 30px"">Agree Strongly</span></div></div>","66,89,71,82,77","8500","upps","66,89,71,82","forward","I tend to act without thinking when I am really excited.","<span style=""font-size: 30px"">Disagree Strongly</span>,<span style=""font-size: 30px"">Disagree Some</span>,<span style=""font-size: 30px"">Agree Some</span>,<span style=""font-size: 30px"">Agree Strongly</span>","3","3",""
"1761","71","poldrack-single-stim","35","172549","0.0-25.0-10.0","s636","","9068","0","","<div class = centerbox><p class=item-text>I finish whatever I begin.</p></div><div class=response-text><div class=response-item><span style=""font-weight: normal; font-size: 30px"">Not at all like me</span></div><div class=response-item>1</div><div class=response-item>2</div><div class=response-item>3</div><div class=response-item>4</div><div class=response-item>5</div><div class=response-item><span style=""font-weight: normal; font-size: 30px"">Very much like me</span></div></div>","66,89,71,82,77","8500","grit","66,89,71,82,77","forward","I finish whatever I begin.","<span style=""font-weight: normal; font-size: 30px"">Not at all like me</span>,1,2,3,4,5,<span style=""font-weight: normal; font-size: 30px"">Very much like me</span>","3","3",""
"4404","66","poldrack-single-stim","36","182846","0.0-25.0-11.0","s636","","10292","0","","<div class = centerbox><p class=item-text>I often set a goal but later choose to pursue a different one.</p></div><div class=response-text><div class=response-item><span style=""font-weight: normal; font-size: 30px"">Not at all like me</span></div><div class=response-item>1</div><div class=response-item>2</div><div class=response-item>3</div><div class=response-item>4</div><div class=response-item>5</div><div class=response-item><span style=""font-weight: normal; font-size: 30px"">Very much like me</span></div></div>","66,89,71,82,77","8500","grit","66,89,71,82,77","reverse","I often set a goal but later choose to pursue a different one.","<span style=""font-weight: normal; font-size: 30px"">Not at all like me</span>,1,2,3,4,5,<span style=""font-weight: normal; font-size: 30px"">Very much like me</span>","1","5",""
