"rt","key_press","trial_type","trial_index","time_elapsed","internal_node_id","subject","text","block_duration","timing_post_trial","trial_id","stimulus","possible_responses","stim_duration","correct","correct_response","feedback_duration","condition","stim_color","stim_word","trial_num","exp_stage","exp_id"
"1920","13","text","0","1922","0.0-0.0","s641","","","","","","","","","","","","","","","",""
"3047","89","poldrack-text","1","5971","0.0-1.0","s641","<div class = centerbox><div style = 'font-size: 50px' class = center-text>Please press your index finger</p></div>","3047","500","fmri_response_test","","","","","","","","","","","",""
"830","71","poldrack-text","2","7304","0.0-2.0","s641","<div class = centerbox><div style = 'font-size: 50px' class = center-text>Please press your middle finger</p></div>","830","500","fmri_response_test","","","","","","","","","","","",""
"716","82","poldrack-text","3","8521","0.0-3.0","s641","<div class = centerbox><div style = 'font-size: 50px' class = center-text>Please press your ring finger</p></div>","716","500","fmri_response_test","","","","","","","","","","","",""
"21253","32","poldrack-single-stim","4","30278","0.0-4.0","s641","","21253","500","instructions","<div class = centerbox><div class = center-text>Respond to the <strong>ink color</strong> of the word!<br><br><span style = ""color:red;padding-left:30px"">WORD</span>: Index<br><span style = ""color:#1F45FC;padding-left:65px"">WORD</span>: Middle<br><span style = ""color:#4FE829;"">WORD</span>: Ring<br><br>We will start with practice</div></div>","32","21253","","","","","","","","",""
"613","71","poldrack-categorize","5","32786","0.0-5.0-0.0-0.0","s641","","1500","0","stim","<div class = stroopbox><div class = stroop-stim style = ""color:#1F45FC"">BLUE</div></div>","89,71,82","1500","true","71","500","congruent","blue","blue","1","practice",""
"-1","-1","poldrack-single-stim","6","33039","0.0-5.0-1.0","s641","","250","0","fixation","<div class = centerbox><div class = fixation>+</div></div>","none","250","","","","","","","","",""
"523","71","poldrack-categorize","7","35044","0.0-5.0-2.0-0.0","s641","","1500","0","stim","<div class = stroopbox><div class = stroop-stim style = ""color:#1F45FC"">GREEN</div></div>","89,71,82","1500","true","71","500","incongruent","blue","green","2","practice",""
"-1","-1","poldrack-single-stim","8","35296","0.0-5.0-3.0","s641","","250","0","fixation","<div class = centerbox><div class = fixation>+</div></div>","none","250","","","","","","","","",""
"593","82","poldrack-categorize","9","37300","0.0-5.0-4.0-0.0","s641","","1500","0","stim","<div class = stroopbox><div class = stroop-stim style = ""color:#4FE829"">BLUE</div></div>","89,71,82","1500","true","82","500","incongruent","green","blue","3","practice",""
"-1","-1","poldrack-single-stim","10","37553","0.0-5.0-5.0","s641","","250","0","fixation","<div class = centerbox><div class = fixation>+</div></div>","none","250","","","","","","","","",""
"432","71","poldrack-categorize","11","39557","0.0-5.0-6.0-0.0","s641","","1500","0","stim","<div class = stroopbox><div class = stroop-stim style = ""color:#4FE829"">RED</div></div>","89,71,82","1500","false","82","500","incongruent","green","red","4","practice",""
"-1","-1","poldrack-single-stim","12","39809","0.0-5.0-7.0","s641","","250","0","fixation","<div class = centerbox><div class = fixation>+</div></div>","none","250","","","","","","","","",""
"689","71","poldrack-categorize","13","41813","0.0-5.0-8.0-0.0","s641","","1500","0","stim","<div class = stroopbox><div class = stroop-stim style = ""color:#1F45FC"">RED</div></div>","89,71,82","1500","true","71","500","incongruent","blue","red","5","practice",""
"-1","-1","poldrack-single-stim","14","42066","0.0-5.0-9.0","s641","","250","0","fixation","<div class = centerbox><div class = fixation>+</div></div>","none","250","","","","","","","","",""
"704","82","poldrack-categorize","15","44069","0.0-5.0-10.0-0.0","s641","","1500","0","stim","<div class = stroopbox><div class = stroop-stim style = ""color:#4FE829"">GREEN</div></div>","89,71,82","1500","true","82","500","congruent","green","green","6","practice",""
"-1","-1","poldrack-single-stim","16","44321","0.0-5.0-11.0","s641","","250","0","fixation","<div class = centerbox><div class = fixation>+</div></div>","none","250","","","","","","","","",""
"417","89","poldrack-categorize","17","46326","0.0-5.0-12.0-0.0","s641","","1500","0","stim","<div class = stroopbox><div class = stroop-stim style = ""color:red"">GREEN</div></div>","89,71,82","1500","true","89","500","incongruent","red","green","7","practice",""
"-1","-1","poldrack-single-stim","18","46579","0.0-5.0-13.0","s641","","250","0","fixation","<div class = centerbox><div class = fixation>+</div></div>","none","250","","","","","","","","",""
"475","89","poldrack-categorize","19","48582","0.0-5.0-14.0-0.0","s641","","1500","0","stim","<div class = stroopbox><div class = stroop-stim style = ""color:red"">BLUE</div></div>","89,71,82","1500","true","89","500","incongruent","red","blue","8","practice",""
"-1","-1","poldrack-single-stim","20","48834","0.0-5.0-15.0","s641","","250","0","fixation","<div class = centerbox><div class = fixation>+</div></div>","none","250","","","","","","","","",""
"424","89","poldrack-categorize","21","50839","0.0-5.0-16.0-0.0","s641","","1500","0","stim","<div class = stroopbox><div class = stroop-stim style = ""color:red"">RED</div></div>","89,71,82","1500","true","89","500","congruent","red","red","9","practice",""
"-1","-1","poldrack-single-stim","22","51091","0.0-5.0-17.0","s641","","250","0","fixation","<div class = centerbox><div class = fixation>+</div></div>","none","250","","","","","","","","",""
"22146","32","poldrack-text","23","73239","0.0-6.0","s641","<div class = centerbox><div  class = center-text>Scanner Setup</div></div>","22146","0","fmri_scanner_wait","","","","","","","","","","","",""
"4599","84","poldrack-text","24","77839","0.0-7.0","s641","<div class = centerbox><div  class = center-text>Task about to start!</div></div>","4599","0","fmri_trigger_wait","","","","","","","","","","","",""
"679","84","poldrack-text","25","78518","0.0-8.0","s641","<div class = centerbox><div  class = center-text>Task about to start!</div></div>","679","0","fmri_trigger_wait","","","","","","","","","","","",""
"679","84","poldrack-text","26","79198","0.0-9.0","s641","<div class = centerbox><div  class = center-text>Task about to start!</div></div>","679","0","fmri_trigger_wait","","","","","","","","","","","",""
"680","84","poldrack-text","27","79879","0.0-10.0","s641","<div class = centerbox><div  class = center-text>Task about to start!</div></div>","680","0","fmri_trigger_wait","","","","","","","","","","","",""
"679","84","poldrack-text","28","80559","0.0-11.0","s641","<div class = centerbox><div  class = center-text>Task about to start!</div></div>","679","0","fmri_trigger_wait","","","","","","","","","","","",""
"680","84","poldrack-text","29","81239","0.0-12.0","s641","<div class = centerbox><div  class = center-text>Task about to start!</div></div>","680","0","fmri_trigger_wait","","","","","","","","","","","",""
