"rt","key_press","trial_type","trial_index","time_elapsed","internal_node_id","subject","text","block_duration","timing_post_trial","trial_id","stimulus","possible_responses","stim_duration","exp_stage","small_amount","large_amount","later_delay","choice","exp_id","bonus"
"1840","13","text","0","1842","0.0-0.0","s647","","","","","","","","","","","","","",""
"1188","89","poldrack-text","1","4037","0.0-1.0","s647","<div class = centerbox><div style = 'font-size: 50px' class = center-text>Please press your index finger</p></div>","1188","500","fmri_response_test","","","","","","","","","",""
"426","71","poldrack-text","2","4970","0.0-2.0","s647","<div class = centerbox><div style = 'font-size: 50px' class = center-text>Please press your middle finger</p></div>","426","500","fmri_response_test","","","","","","","","","",""
"31313","32","poldrack-single-stim","3","36787","0.0-3.0","s647","","31313","500","instructions","<div class = centerbox><div class = center-text>Choose between <strong>$20 today</strong> or the presented option.<br><br><strong>Index:</strong> Accept option on screen (reject $20 today). <br><br><strong>Middle:</strong> Reject option on screen (accept $20 today)<br><br>We will start with a practice trial.</div></div>","32","31313","","","","","","",""
"1393","71","poldrack-single-stim","4","38684","0.0-4.0","s647","","1393","1000","stim","<div class = dd-stim><div class = amtbox style = ""color:white"">$53.75</div><br><br><div class = delbox style = ""color:white"">34 days</div></div>","89,71","1393","practice","","","","","",""
"18769","32","poldrack-text","5","58458","0.0-5.0","s647","<div class = centerbox><div  class = center-text>Scanner Setup</div></div>","18769","0","fmri_scanner_wait","","","","","","","","","",""
"907","84","poldrack-text","6","59365","0.0-6.0","s647","<div class = centerbox><div  class = center-text>Task about to start!</div></div>","907","0","fmri_trigger_wait","","","","","","","","","",""
"680","84","poldrack-text","7","60045","0.0-7.0","s647","<div class = centerbox><div  class = center-text>Task about to start!</div></div>","680","0","fmri_trigger_wait","","","","","","","","","",""
"678","84","poldrack-text","8","60724","0.0-8.0","s647","<div class = centerbox><div  class = center-text>Task about to start!</div></div>","678","0","fmri_trigger_wait","","","","","","","","","",""
"681","84","poldrack-text","9","61405","0.0-9.0","s647","<div class = centerbox><div  class = center-text>Task about to start!</div></div>","681","0","fmri_trigger_wait","","","","","","","","","",""
"679","84","poldrack-text","10","62085","0.0-10.0","s647","<div class = centerbox><div  class = center-text>Task about to start!</div></div>","679","0","fmri_trigger_wait","","","","","","","","","",""
"679","84","poldrack-text","11","62765","0.0-11.0","s647","<div class = centerbox><div  class = center-text>Task about to start!</div></div>","679","0","fmri_trigger_wait","","","","","","","","","",""
