block_duration,condition,correct,correct_response,exp_stage,experiment_exp_id,key_press,possible_responses,rt,stim_duration,text,time_elapsed,timing_post_trial,trial_id,trial_num,trial_type,worker_id
1500.0,AX,1.0,89.0,practice,dot_pattern_expectancy,89.0,"89,71",1392,500.0,,-89791,0.0,probe,0.0,poldrack-single-stim,s061
2500.0,AY,1.0,71.0,practice,dot_pattern_expectancy,71.0,"89,71",876,500.0,,-84279,0.0,probe,1.0,poldrack-single-stim,s061
1500.0,BX,1.0,71.0,practice,dot_pattern_expectancy,71.0,"89,71",1248,500.0,,-79769,0.0,probe,2.0,poldrack-single-stim,s061
2100.0,BX,1.0,71.0,practice,dot_pattern_expectancy,71.0,"89,71",508,500.0,,-74661,0.0,probe,3.0,poldrack-single-stim,s061
1500.0,AX,1.0,89.0,practice,dot_pattern_expectancy,89.0,"89,71",848,500.0,,-70152,0.0,probe,4.0,poldrack-single-stim,s061
1500.0,AX,1.0,89.0,practice,dot_pattern_expectancy,89.0,"89,71",612,500.0,,-65642,0.0,probe,5.0,poldrack-single-stim,s061
2300.0,BY,1.0,71.0,practice,dot_pattern_expectancy,71.0,"89,71",518,500.0,,-60336,0.0,probe,6.0,poldrack-single-stim,s061
1900.0,AY,1.0,71.0,practice,dot_pattern_expectancy,71.0,"89,71",856,500.0,,-55427,0.0,probe,7.0,poldrack-single-stim,s061
1700.0,BY,1.0,71.0,practice,dot_pattern_expectancy,71.0,"89,71",427,500.0,,-50720,0.0,probe,8.0,poldrack-single-stim,s061
1500.0,AX,1.0,89.0,practice,dot_pattern_expectancy,89.0,"89,71",884,500.0,,-46213,0.0,probe,9.0,poldrack-single-stim,s061
1636.0,BY,1.0,71.0,test,dot_pattern_expectancy,71.0,"89,71",785,500.0,,7145,0.0,probe,0.0,poldrack-single-stim,s061
1500.0,AY,1.0,71.0,test,dot_pattern_expectancy,71.0,"89,71",798,500.0,,11151,0.0,probe,1.0,poldrack-single-stim,s061
2044.0,AX,1.0,89.0,test,dot_pattern_expectancy,89.0,"89,71",515,500.0,,15700,0.0,probe,2.0,poldrack-single-stim,s061
1772.0,BY,1.0,71.0,test,dot_pattern_expectancy,71.0,"89,71",547,500.0,,19978,0.0,probe,3.0,poldrack-single-stim,s061
1636.0,BX,1.0,71.0,test,dot_pattern_expectancy,71.0,"89,71",817,500.0,,24119,0.0,probe,4.0,poldrack-single-stim,s061
1636.0,AX,1.0,89.0,test,dot_pattern_expectancy,89.0,"89,71",745,500.0,,28261,0.0,probe,5.0,poldrack-single-stim,s061
1500.0,AX,1.0,89.0,test,dot_pattern_expectancy,89.0,"89,71",793,500.0,,32266,0.0,probe,6.0,poldrack-single-stim,s061
1500.0,AX,1.0,89.0,test,dot_pattern_expectancy,89.0,"89,71",870,500.0,,36271,0.0,probe,7.0,poldrack-single-stim,s061
2044.0,AY,1.0,71.0,test,dot_pattern_expectancy,71.0,"89,71",780,500.0,,40821,0.0,probe,8.0,poldrack-single-stim,s061
2452.0,AX,1.0,89.0,test,dot_pattern_expectancy,89.0,"89,71",572,500.0,,45780,0.0,probe,9.0,poldrack-single-stim,s061
1908.0,AX,1.0,89.0,test,dot_pattern_expectancy,89.0,"89,71",736,500.0,,50195,0.0,probe,10.0,poldrack-single-stim,s061
1500.0,AX,1.0,89.0,test,dot_pattern_expectancy,89.0,"89,71",699,500.0,,54202,0.0,probe,11.0,poldrack-single-stim,s061
1908.0,AX,1.0,89.0,test,dot_pattern_expectancy,89.0,"89,71",716,500.0,,58617,0.0,probe,12.0,poldrack-single-stim,s061
2180.0,BX,1.0,71.0,test,dot_pattern_expectancy,71.0,"89,71",780,500.0,,63304,0.0,probe,13.0,poldrack-single-stim,s061
1500.0,AX,1.0,89.0,test,dot_pattern_expectancy,89.0,"89,71",616,500.0,,67310,0.0,probe,14.0,poldrack-single-stim,s061
1908.0,BY,1.0,71.0,test,dot_pattern_expectancy,71.0,"89,71",383,500.0,,71724,0.0,probe,15.0,poldrack-single-stim,s061
2316.0,BX,1.0,71.0,test,dot_pattern_expectancy,71.0,"89,71",616,500.0,,76545,0.0,probe,16.0,poldrack-single-stim,s061
2316.0,AY,1.0,71.0,test,dot_pattern_expectancy,71.0,"89,71",820,500.0,,81366,0.0,probe,17.0,poldrack-single-stim,s061
