SS_delay,SS_duration,SS_stimulus,SS_trial_type,block_duration,correct,correct_response,exp_stage,experiment_exp_id,feedback_duration,key_press,passed_check,possible_responses,rt,stim_duration,stopped,text,time_elapsed,timing_post_trial,trial_id,trial_num,trial_type,worker_id
,,,,1850.0,1.0,89.0,practice,stop_signal,500.0,89.0,True,"89,71",1080,850.0,False,,-142506,250.0,stim,0.0,poldrack-categorize,s061
,,,,1850.0,1.0,71.0,practice,stop_signal,500.0,71.0,True,"89,71",910,850.0,False,,-139898,250.0,stim,1.0,poldrack-categorize,s061
,,,,1850.0,1.0,71.0,practice,stop_signal,500.0,71.0,True,"89,71",910,850.0,False,,-137292,250.0,stim,2.0,poldrack-categorize,s061
,,,,1850.0,1.0,71.0,practice,stop_signal,500.0,71.0,True,"89,71",1025,850.0,False,,-134688,250.0,stim,3.0,poldrack-categorize,s061
,,,,1850.0,1.0,71.0,practice,stop_signal,500.0,71.0,True,"89,71",639,850.0,False,,-132082,250.0,stim,4.0,poldrack-categorize,s061
,,,,1850.0,1.0,71.0,practice,stop_signal,500.0,71.0,True,"89,71",777,850.0,False,,-129474,250.0,stim,5.0,poldrack-categorize,s061
,,,,1850.0,1.0,89.0,practice,stop_signal,500.0,89.0,True,"89,71",543,850.0,False,,-126866,250.0,stim,6.0,poldrack-categorize,s061
,,,,1850.0,1.0,89.0,practice,stop_signal,500.0,89.0,True,"89,71",614,850.0,False,,-124260,250.0,stim,7.0,poldrack-categorize,s061
,,,,1850.0,1.0,89.0,practice,stop_signal,500.0,89.0,True,"89,71",676,850.0,False,,-121655,250.0,stim,8.0,poldrack-categorize,s061
,,,,1850.0,1.0,89.0,practice,stop_signal,500.0,89.0,True,"89,71",513,850.0,False,,-119050,250.0,stim,9.0,poldrack-categorize,s061
,,,,1850.0,1.0,71.0,practice,stop_signal,500.0,71.0,True,"89,71",723,850.0,False,,-116441,250.0,stim,10.0,poldrack-categorize,s061
,,,,1850.0,1.0,89.0,practice,stop_signal,500.0,89.0,True,"89,71",703,850.0,False,,-113833,250.0,stim,11.0,poldrack-categorize,s061
500.0,500.0,<div class = coverbox></div><div class = stopbox><div class = centered-shape id = stop-signal></div><div class = centered-shape id = stop-signal-inner></div></div>,stop,2250.0,1.0,71.0,test,stop_signal,,71.0,True,"89,71",849,850.0,False,,5766,0.0,stim,0.0,stop-signal,s061
450.0,500.0,<div class = coverbox></div><div class = stopbox><div class = centered-shape id = stop-signal></div><div class = centered-shape id = stop-signal-inner></div></div>,go,2658.0,1.0,89.0,test,stop_signal,,89.0,True,"89,71",780,850.0,False,,8428,0.0,stim,1.0,stop-signal,s061
450.0,500.0,<div class = coverbox></div><div class = stopbox><div class = centered-shape id = stop-signal></div><div class = centered-shape id = stop-signal-inner></div></div>,go,2658.0,1.0,89.0,test,stop_signal,,89.0,True,"89,71",678,850.0,False,,11089,0.0,stim,2.0,stop-signal,s061
450.0,500.0,<div class = coverbox></div><div class = stopbox><div class = centered-shape id = stop-signal></div><div class = centered-shape id = stop-signal-inner></div></div>,go,2250.0,1.0,89.0,test,stop_signal,,89.0,True,"89,71",716,850.0,False,,13343,0.0,stim,3.0,stop-signal,s061
450.0,500.0,<div class = coverbox></div><div class = stopbox><div class = centered-shape id = stop-signal></div><div class = centered-shape id = stop-signal-inner></div></div>,go,2250.0,1.0,71.0,test,stop_signal,,71.0,True,"89,71",914,850.0,False,,15596,0.0,stim,4.0,stop-signal,s061
450.0,500.0,<div class = coverbox></div><div class = stopbox><div class = centered-shape id = stop-signal></div><div class = centered-shape id = stop-signal-inner></div></div>,go,2386.0,1.0,71.0,test,stop_signal,,71.0,True,"89,71",795,850.0,False,,17985,0.0,stim,5.0,stop-signal,s061
450.0,500.0,<div class = coverbox></div><div class = stopbox><div class = centered-shape id = stop-signal></div><div class = centered-shape id = stop-signal-inner></div></div>,stop,2794.0,1.0,71.0,test,stop_signal,,71.0,True,"89,71",745,850.0,False,,20782,0.0,stim,6.0,stop-signal,s061
400.0,500.0,<div class = coverbox></div><div class = stopbox><div class = centered-shape id = stop-signal></div><div class = centered-shape id = stop-signal-inner></div></div>,stop,2386.0,1.0,71.0,test,stop_signal,,71.0,True,"89,71",764,850.0,False,,23171,0.0,stim,7.0,stop-signal,s061
350.0,500.0,<div class = coverbox></div><div class = stopbox><div class = centered-shape id = stop-signal></div><div class = centered-shape id = stop-signal-inner></div></div>,stop,2250.0,0.0,71.0,test,stop_signal,,-1.0,True,"89,71",-1,850.0,True,,25425,0.0,stim,8.0,stop-signal,s061
400.0,500.0,<div class = coverbox></div><div class = stopbox><div class = centered-shape id = stop-signal></div><div class = centered-shape id = stop-signal-inner></div></div>,stop,2250.0,0.0,71.0,test,stop_signal,,-1.0,True,"89,71",-1,850.0,True,,27678,0.0,stim,9.0,stop-signal,s061
450.0,500.0,<div class = coverbox></div><div class = stopbox><div class = centered-shape id = stop-signal></div><div class = centered-shape id = stop-signal-inner></div></div>,stop,2250.0,1.0,89.0,test,stop_signal,,89.0,True,"89,71",662,850.0,False,,29931,0.0,stim,10.0,stop-signal,s061
400.0,500.0,<div class = coverbox></div><div class = stopbox><div class = centered-shape id = stop-signal></div><div class = centered-shape id = stop-signal-inner></div></div>,go,2658.0,1.0,89.0,test,stop_signal,,89.0,True,"89,71",749,850.0,False,,32593,0.0,stim,11.0,stop-signal,s061
400.0,500.0,<div class = coverbox></div><div class = stopbox><div class = centered-shape id = stop-signal></div><div class = centered-shape id = stop-signal-inner></div></div>,go,2658.0,1.0,71.0,test,stop_signal,,71.0,True,"89,71",799,850.0,False,,35254,0.0,stim,12.0,stop-signal,s061
400.0,500.0,<div class = coverbox></div><div class = stopbox><div class = centered-shape id = stop-signal></div><div class = centered-shape id = stop-signal-inner></div></div>,go,2250.0,1.0,89.0,test,stop_signal,,89.0,True,"89,71",674,850.0,False,,37508,0.0,stim,13.0,stop-signal,s061
400.0,500.0,<div class = coverbox></div><div class = stopbox><div class = centered-shape id = stop-signal></div><div class = centered-shape id = stop-signal-inner></div></div>,go,2522.0,1.0,89.0,test,stop_signal,,89.0,True,"89,71",614,850.0,False,,40032,0.0,stim,14.0,stop-signal,s061
400.0,500.0,<div class = coverbox></div><div class = stopbox><div class = centered-shape id = stop-signal></div><div class = centered-shape id = stop-signal-inner></div></div>,go,2250.0,1.0,71.0,test,stop_signal,,71.0,True,"89,71",777,850.0,False,,42285,0.0,stim,15.0,stop-signal,s061
400.0,500.0,<div class = coverbox></div><div class = stopbox><div class = centered-shape id = stop-signal></div><div class = centered-shape id = stop-signal-inner></div></div>,stop,2522.0,0.0,71.0,test,stop_signal,,-1.0,True,"89,71",-1,850.0,True,,44812,0.0,stim,16.0,stop-signal,s061
450.0,500.0,<div class = coverbox></div><div class = stopbox><div class = centered-shape id = stop-signal></div><div class = centered-shape id = stop-signal-inner></div></div>,go,2522.0,1.0,71.0,test,stop_signal,,71.0,True,"89,71",992,850.0,False,,47336,0.0,stim,17.0,stop-signal,s061
450.0,500.0,<div class = coverbox></div><div class = stopbox><div class = centered-shape id = stop-signal></div><div class = centered-shape id = stop-signal-inner></div></div>,stop,2522.0,1.0,71.0,test,stop_signal,,71.0,True,"89,71",651,850.0,False,,49862,0.0,stim,18.0,stop-signal,s061
400.0,500.0,<div class = coverbox></div><div class = stopbox><div class = centered-shape id = stop-signal></div><div class = centered-shape id = stop-signal-inner></div></div>,stop,2386.0,0.0,71.0,test,stop_signal,,-1.0,True,"89,71",-1,850.0,True,,52251,0.0,stim,19.0,stop-signal,s061
450.0,500.0,<div class = coverbox></div><div class = stopbox><div class = centered-shape id = stop-signal></div><div class = centered-shape id = stop-signal-inner></div></div>,stop,2522.0,1.0,71.0,test,stop_signal,,71.0,True,"89,71",848,850.0,False,,54777,0.0,stim,20.0,stop-signal,s061
400.0,500.0,<div class = coverbox></div><div class = stopbox><div class = centered-shape id = stop-signal></div><div class = centered-shape id = stop-signal-inner></div></div>,go,2522.0,1.0,71.0,test,stop_signal,,71.0,True,"89,71",845,850.0,False,,57304,0.0,stim,21.0,stop-signal,s061
400.0,500.0,<div class = coverbox></div><div class = stopbox><div class = centered-shape id = stop-signal></div><div class = centered-shape id = stop-signal-inner></div></div>,go,2386.0,1.0,89.0,test,stop_signal,,89.0,True,"89,71",554,850.0,False,,59693,0.0,stim,22.0,stop-signal,s061
